id,allslopes1_3,allslopes1_4,blockconds,conds,,,,,,,,,,
1,56.3099999999998,79.0699999999999,dist abs,1,,,,,,,,,,
2,55.7249999999999,72.9150000000000,dist abs,1,,,,,,,,,,
3,78.1500000000000,92.0550000000001,dist abs,1,,,,,,,,,,
4,73.1724999999998,73.1940000000000,dist abs,1,,,,,,,,,,
5,25.3924999999998,77.8055000000001,dist abs,1,,,,,,,,,,
6,104.267500000000,125.782000000000,dist abs,1,,,,,,,,,,
7,132.872500000000,119.382500000000,dist abs,1,,,,,,,,,,
8,137.082500000000,188.433500000000,dist abs,1,,,,,,,,,,
9,66.3974999999999,156.708000000000,dist abs,1,,,,,,,,,,
10,84.6200000000000,67.9450000000001,dist abs,1,,,,,,,,,,
11,106.625000000000,96.3530000000000,dist abs,1,,,,,,,,,,
12,101.190000000000,144.472000000000,dist abs,1,,,,,,,,,,
13,158.135000000000,158.195000000000,dist abs,1,,,,,,,,,,
14,117.655000000000,132.935000000000,dist abs,1,,,,,,,,,,
15,96.0350000000000,132.620000000000,dist abs,1,,,,,,,,,,
16,31.6349999999999,60.4210000000000,dist abs,1,,,,,,,,,,
17,23.2700000000000,52.9335000000001,dist abs,1,,,,,,,,,,
18,110.642500000000,175.032000000000,dist abs,1,,,,,,,,,,
19,63.5199999999999,97.9890000000000,dist abs,1,,,,,,,,,,
20,100.805000000000,154.252000000000,dist abs,1,,,,,,,,,,
1,97.3024999999999,138.068500000000,dist abs,2,,,,,,,,,,
2,101.782500000000,134.018500000000,dist abs,2,,,,,,,,,,
3,149.632500000000,160.334500000000,dist abs,2,,,,,,,,,,
4,107.637500000000,119.381500000000,dist abs,2,,,,,,,,,,
5,37.5150000000000,134.789000000000,dist abs,2,,,,,,,,,,
6,167.317500000000,201.710500000000,dist abs,2,,,,,,,,,,
7,168.277500000000,192.429000000000,dist abs,2,,,,,,,,,,
8,151.482500000000,324.818500000000,dist abs,2,,,,,,,,,,
9,206.610000000000,307.287500000000,dist abs,2,,,,,,,,,,
10,66.2174999999998,89.9180000000000,dist abs,2,,,,,,,,,,
11,118.415000000000,158.129500000000,dist abs,2,,,,,,,,,,
12,183.202500000000,188.365500000000,dist abs,2,,,,,,,,,,
13,176.670000000000,231.820500000000,dist abs,2,,,,,,,,,,
14,179.460000000000,209.241000000000,dist abs,2,,,,,,,,,,
15,167.350000000000,206.846500000000,dist abs,2,,,,,,,,,,
16,61.8775000000000,98.6470000000000,dist abs,2,,,,,,,,,,
17,44.5774999999998,85.6570000000000,dist abs,2,,,,,,,,,,
18,189.475000000000,274.164000000000,dist abs,2,,,,,,,,,,
19,96.3199999999999,117.424500000000,dist abs,2,,,,,,,,,,
20,214.185000000000,248.392500000000,dist abs,2,,,,,,,,,,
1,76.4525000000000,89.4260000000000,dist pre,1,,,,,,,,,,
2,91.6675000000000,95.0599999999999,dist pre,1,,,,,,,,,,
3,100.440000000000,115.713000000000,dist pre,1,,,,,,,,,,
4,81.9875000000000,72.4670000000000,dist pre,1,,,,,,,,,,
5,30.1999999999999,106.247000000000,dist pre,1,,,,,,,,,,
6,101.775000000000,153.717500000000,dist pre,1,,,,,,,,,,
7,115.417500000000,131.516000000000,dist pre,1,,,,,,,,,,
8,144.315000000000,154.997000000000,dist pre,1,,,,,,,,,,
9,143.635000000000,225.274000000000,dist pre,1,,,,,,,,,,
10,67.9549999999999,58.9840000000000,dist pre,1,,,,,,,,,,
11,134.930000000000,134.337500000000,dist pre,1,,,,,,,,,,
12,118.195000000000,138.374500000000,dist pre,1,,,,,,,,,,
13,148.335000000000,119.476000000000,dist pre,1,,,,,,,,,,
14,107.530000000000,130.589500000000,dist pre,1,,,,,,,,,,
15,125.360000000000,156.086000000000,dist pre,1,,,,,,,,,,
16,79.9724999999999,99.5795000000000,dist pre,1,,,,,,,,,,
17,34.4849999999998,71.3585000000001,dist pre,1,,,,,,,,,,
18,126.127500000000,179.253000000000,dist pre,1,,,,,,,,,,
19,86.7174999999999,95.5405000000000,dist pre,1,,,,,,,,,,
20,138.745000000000,166.202500000000,dist pre,1,,,,,,,,,,
1,124.480000000000,153.281000000000,dist pre,2,,,,,,,,,,
2,151.025000000000,148.636000000000,dist pre,2,,,,,,,,,,
3,202.292500000000,188.890500000000,dist pre,2,,,,,,,,,,
4,177.782500000000,129.592500000000,dist pre,2,,,,,,,,,,
5,74.0299999999999,132.802000000000,dist pre,2,,,,,,,,,,
6,201.727500000000,233.564500000000,dist pre,2,,,,,,,,,,
7,250.547500000000,240.076000000000,dist pre,2,,,,,,,,,,
8,226.117500000000,311.536500000000,dist pre,2,,,,,,,,,,
9,293.922500000000,310.855000000000,dist pre,2,,,,,,,,,,
10,106.160000000000,131.436500000000,dist pre,2,,,,,,,,,,
11,171.580000000000,173.373000000000,dist pre,2,,,,,,,,,,
12,253.647500000000,212.063500000000,dist pre,2,,,,,,,,,,
13,242.100000000000,241.886500000000,dist pre,2,,,,,,,,,,
14,223.510000000000,255.180500000000,dist pre,2,,,,,,,,,,
15,209.537500000000,228.572000000000,dist pre,2,,,,,,,,,,
16,96.1699999999999,111.927500000000,dist pre,2,,,,,,,,,,
17,71.6624999999999,90.4855000000000,dist pre,2,,,,,,,,,,
18,235.980000000000,268.466000000000,dist pre,2,,,,,,,,,,
19,118.865000000000,133.175000000000,dist pre,2,,,,,,,,,,
20,258.805000000000,289.272500000000,dist pre,2,,,,,,,,,,
