ScoreHard,ScoreMedium,ScoreEasy,ScoreAverage,ScoreComp,predict,win,bonus,closePredict,Round1,condition,skillPre,confidentPre,trustPre,effPre,skillPost1,confidentPost1,trustPost1,effPost1,compPerfPost1,perfChangePost2,momPost2,skillPost2,confidentPost2,trustPost2,effPost2,compPerfPost2,perfChangePost2,momPreComp,skillPreComp,confidentPreComp,trustPreComp,effPreComp,compPerfPreComp,predict,likelyWin,expWin,perfComp,effortComp,familiar,education,age,gender,fun,mood
10,17,15,14,14,12,0,0,2,Easy,negMom,8,8,8,8,7,7,7,7,7,5,5,7,7,7,7,7,7,-7,4,4,4,4,5,12,5,1,6,9,3,3,44,2,2,2
4,6,9,6,7,6,1,1,1,Hard,posMom,6,7,6,6.333333333,3,6,5,4.666666667,4,5,5,7,4,7,6,5,5,35,8,8,8,8,6,6,6,2,8,10,2,3,27,2,4,6
2,4,4,3,4,3,1,1,1,Easy,negMom,6,6,6,6,2,2,3,2.333333333,3,4,4,2,2,3,2.333333333,3,3,-5,2,2,2,2,2,3,2,1,3,9,1,4,55,1,2,6
7,8,12,9,9,10,0,0,1,Hard,posMom,7,8,8,7.666666667,7,7,8,7.333333333,7,5,5,7,7,8,7.333333333,8,8,27,8,8,8,8,8,10,8,1,4,10,2,2,50,2,4,3
6,10,20,12,12,7,0,0,5,Easy,negMom,4,4,4,4,5,5,5,5,5,2,2,4,3,4,3.666666667,5,5,11,2,2,3,2.333333333,5,7,5,2,5,10,1,3,34,1,5,3
6,11,15,11,13,11,1,2,2,Easy,negMom,8,8,8,8,6,6,6,6,5,3,3,4,4,4,4,4,4,-45,3,3,3,3,2,11,2,2,8,10,1,4,25,2,5,6
4,8,8,7,13,7,1,6,6,Hard,posMom,6,6,6,6,5,5,5,5,5,5,5,6,6,6,6,5,5,-4,5,5,5,5,5,7,5,2,6,10,3,2,36,2,4,4
12,17,22,17,13,20,0,0,7,Hard,posMom,7,8,8,7.666666667,3,3,3,3,5,6,6,7,7,7,7,8,8,36,9,9,9,9,9,20,9,1,3,9,1,3,25,2,5,5
6,7,11,8,5,8,0,0,3,Hard,posMom,7,7,7,7,6,6,7,6.333333333,6,5,5,7,7,7,7,7,7,16,7,7,7,7,7,8,7,1,3,10,2,5,58,2,2,3
2,8,9,6,8,10,1,2,2,Hard,posMom,6,6,7,6.333333333,1,1,1,1,3,5,5,5,6,6,5.666666667,7,7,18,6,6,6,6,5,10,5,1,4,9,2,2,38,1,4,5
12,16,21,16,14,20,0,0,6,Hard,posMom,8,8,8,8,8,8,8,8,5,6,6,8,8,8,8,5,5,50,9,9,9,9,7,20,7,1,4,9,2,3,35,2,5,6
7,12,10,10,14,12,1,4,2,Hard,posMom,2,4,4,3.333333333,2,3,3,2.666666667,1,5,5,3,3,3,3,2,2,-2,2,2,3,2.333333333,2,12,2,2,4,10,2,3,44,1,2,5
7,7,10,8,8,7,0,0,1,Easy,negMom,5,6,6,5.666666667,5,5,6,5.333333333,5,3,3,5,5,5,5,5,5,1,5,5,5,5,5,7,5,2,5,9,2,3,33,1,6,7
7,5,7,6,2,5,0,0,3,Hard,posMom,5,4,5,4.666666667,2,2,2,2,3,3,3,2,2,2,2,2,2,6,4,4,4,4,4,5,4,2,1,10,1,2,21,2,2,3
1,3,5,3,5,4,1,2,1,Hard,posMom,8,8,7,7.666666667,3,3,3,3,3,5,5,5,5,5,5,4,4,13,6,6,6,6,6,4,6,1,6,6,3,3,44,2,5,5
12,20,16,16,19,11,1,3,8,Easy,negMom,7,8,8,7.666666667,6,6,6,6,7,5,5,7,7,7,7,7,7,-10,4,5,5,4.666666667,4,11,4,2,7,10,3,2,33,2,4,6
9,13,22,15,9,20,0,0,11,Hard,posMom,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,26,8,8,8,8,8,20,8,1,1,1,3,3,26,2,5,3
11,11,8,10,12,12,1,2,0,Easy,negMom,7,8,8,7.666666667,7,8,8,7.666666667,7,6,6,8,8,9,8.333333333,8,8,36,8,9,9,8.666666667,8,12,8,1,9,10,2,3,71,2,4,5
9,12,6,9,10,10,1,1,0,Easy,negMom,5,5,5,5,2,2,3,2.333333333,3,5,5,6,5,3,4.666666667,4,4,21,2,2,3,2.333333333,2,10,2,1,3,10,2,4,35,1,2,5
8,11,16,12,11,11,0,0,0,Hard,posMom,5,5,5,5,3,3,3,3,3,5,5,4,4,4,4,5,5,9,5,5,5,5,5,11,5,2,4,10,1,2,47,2,5,4
14,18,18,17,17,18,0,0,1,Easy,negMom,7,7,7,7,7,7,7,7,7,4,4,7,7,7,7,7,7,22,7,7,7,7,7,18,7,1,6,6,1,3,32,2,5,6
5,8,8,7,10,8,1,3,2,Easy,negMom,3,5,4,4,1,5,5,3.666666667,1,4,4,2,2,5,3,1,1,-25,1,1,1,1,1,8,1,2,10,10,1,4,37,1,4,5
2,7,8,6,4,7,0,0,3,Easy,negMom,5,7,7,6.333333333,4,5,6,5,5,3,3,5,6,5,5.333333333,5,5,-5,1,1,6,2.666666667,5,7,5,1,1,10,2,5,36,2,1,4
12,10,15,12,12,13,0,0,1,Easy,negMom,7,8,10,8.333333333,10,10,10,10,8,3,3,7,9,10,8.666666667,6,6,30,7,10,10,9,6,13,6,1,7,10,3,2,63,2,5,5
12,14,10,12,13,14,1,1,1,Easy,negMom,6,6,6,6,6,5,6,5.666666667,5,5,5,6,6,6,6,6,6,14,5,5,5,5,5,14,5,1,6,9,2,2,25,2,4,4
10,5,15,10,11,10,1,1,1,Hard,posMom,7,7,7,7,6,6,6,6,5,2,2,3,3,3,3,3,3,26,8,8,8,8,8,10,8,1,10,10,2,4,42,2,2,4
5,6,9,7,11,9,1,4,2,Easy,negMom,6,6,6,6,6,6,6,6,5,1,1,3,3,4,3.333333333,3,3,-35,3,3,3,3,3,9,3,1,6,6,1,4,26,1,2,5
10,17,18,15,21,16,1,6,5,Hard,posMom,5,6,6,5.666666667,7,6,6,6.333333333,6,6,6,8,8,8,8,7,7,33,8,8,8,8,8,16,8,1,9,9,2,2,49,2,4,5
6,6,18,10,10,12,0,0,2,Easy,negMom,4,4,3,3.666666667,5,5,5,5,5,3,3,2,2,2,2,3,3,-18,3,3,4,3.333333333,3,12,3,2,5,9,1,5,35,1,4,3
6,4,10,7,8,3,1,1,5,Easy,negMom,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,-43,1,1,1,1,1,3,1,2,1,10,1,3,46,2,1,3
5,13,12,10,10,12,0,0,2,Hard,posMom,7,7,8,7.333333333,6,6,5,5.666666667,6,6,6,7,7,7,7,7,7,33,8,8,8,8,8,12,8,1,8,8,2,3,43,2,4,4
9,11,11,10,12,10,1,2,2,Hard,posMom,6,7,7,6.666666667,6,6,6,6,6,5,5,6,6,6,6,6,6,9,6,6,7,6.333333333,7,10,7,1,6,6,1,2,47,2,5,6
1,5,5,4,1,3,0,0,2,Easy,negMom,1,1,1,1,1,1,1,1,2,4,4,1,1,1,1,1,1,-22,1,1,1,1,1,3,1,2,1,10,2,3,35,1,2,4
9,11,14,11,12,11,1,1,1,Hard,posMom,4,3,3,3.333333333,4,3,2,3,3,5,5,4,3,3,3.333333333,3,3,23,7,6,5,6,4,11,4,1,5,10,2,3,38,2,5,5
19,24,36,26,23,20,0,0,3,Hard,posMom,9,9,10,9.333333333,8,9,8,8.333333333,8,6,6,8,9,9,8.666666667,9,9,43,9,10,9,9.333333333,9,20,9,1,8,10,2,4,41,2,5,6
9,7,11,9,9,7,0,0,2,Easy,negMom,6,6,6,6,6,7,7,6.666666667,6,2,2,3,6,6,5,6,6,47,5,6,6,5.666666667,6,7,6,2,4,10,3,3,59,2,5,3
4,7,6,6,7,4,1,1,3,Hard,posMom,3,4,3,3.333333333,3,4,2,3,3,4,4,3,2,3,2.666666667,3,3,-16,3,2,4,3,4,4,4,2,3,7,2,2,32,2,1,2
5,9,10,8,6,8,0,0,2,Easy,negMom,4,3,3,3.333333333,4,4,4,4,4,4,4,4,4,4,4,4,4,-28,3,4,4,3.666666667,3,8,3,2,3,8,2,3,32,1,2,2
5,5,11,7,10,8,1,3,2,Easy,negMom,7,7,8,7.333333333,6,5,8,6.333333333,5,4,4,4,4,5,4.333333333,4,4,-9,6,5,5,5.333333333,5,8,5,1,10,10,2,3,24,1,5,6
3,8,8,6,5,3,0,0,2,Easy,negMom,8,8,8,8,7,7,7,7,5,4,4,6,6,6,6,5,5,-38,4,3,3,3.333333333,4,3,4,2,5,10,2,3,67,1,4,3
2,4,9,5,9,7,1,4,2,Hard,posMom,4,3,3,3.333333333,1,1,1,1,1,5,5,1,1,1,1,1,1,12,3,3,4,3.333333333,3,7,3,2,5,10,1,4,32,2,5,6
5,8,13,9,10,10,1,1,0,Hard,posMom,7,7,7,7,4,4,4,4,5,5,5,5,5,5,5,5,5,20,7,7,6,6.666666667,6,10,6,1,7,9,3,2,60,2,5,7
2,7,8,6,4,7,0,0,3,Easy,negMom,5,3,3,3.666666667,3,3,3,3,2,3,3,1,1,1,1,1,1,-49,1,1,1,1,1,7,1,2,1,10,2,2,33,2,1,2
3,6,4,4,5,4,1,1,1,Easy,negMom,9,9,10,9.333333333,1,1,1,1,5,5,5,3,1,5,3,5,5,13,1,1,1,1,4,4,4,2,4,10,2,3,49,2,6,7
2,8,6,5,3,3,0,0,0,Easy,negMom,10,10,10,10,10,10,10,10,10,5,5,8,7,7,7.333333333,8,8,-30,6,5,5,5.333333333,4,3,4,1,7,6,1,2,29,1,1,4
11,19,29,20,15,25,0,0,10,Hard,posMom,7,6,9,7.333333333,5,6,6,5.666666667,4,5,5,7,7,7,7,5,5,26,7,8,7,7.333333333,5,25,5,2,1,10,2,3,37,2,5,6
17,19,19,18,18,19,0,0,1,Easy,negMom,6,5,7,6,7,7,7,7,5,4,4,7,7,7,7,5,5,8,6,6,7,6.333333333,5,19,5,1,4,7,2,3,48,1,5,5
8,6,7,7,7,8,0,0,1,Easy,negMom,9,8,8,8.333333333,6,6,6,6,6,3,3,5,5,5,5,5,5,7,6,6,6,6,6,8,6,1,6,5,1,3,31,2,4,4
8,8,12,9,31,20,1,22,11,Hard,posMom,7,7,8,7.333333333,8,8,8,8,7,6,6,8,7,8,7.666666667,8,8,44,9,8,8,8.333333333,7,20,7,1,10,10,4,3,23,1,4,5
2,7,7,5,9,6,1,4,3,Hard,posMom,4,3,3,3.333333333,2,2,2,2,1,5,5,6,6,7,6.333333333,5,5,16,6,5,5,5.333333333,4,6,4,1,8,8,3,3,34,2,4,5
9,14,15,13,10,10,0,0,0,Easy,negMom,6,7,6,6.333333333,8,9,8,8.333333333,7,4,4,7,8,8,7.666666667,7,7,4,6,7,7,6.666666667,5,10,5,2,5,9,2,3,45,2,4,5
1,7,5,4,0,4,0,0,4,Easy,negMom,3,3,3,3,2,2,3,2.333333333,2,4,4,3,4,4,3.666666667,4,4,-26,2,1,1,1.333333333,1,4,1,1,1,4,2,3,27,1,1,3
9,9,14,11,12,9,1,1,3,Hard,posMom,5,6,6,5.666666667,7,7,6,6.666666667,5,4,4,7,7,7,7,5,5,50,8,8,8,8,5,9,5,2,10,10,3,2,39,2,6,7
8,7,11,9,11,8,1,2,3,Easy,negMom,8,9,10,9,8,8,9,8.333333333,8,3,3,4,5,8,5.666666667,8,8,50,5,7,8,6.666666667,8,8,8,1,8,9,3,2,67,2,6,2
22,21,23,22,25,24,1,3,1,Easy,negMom,8,9,9,8.666666667,8,9,9,8.666666667,7,5,5,8,8,9,8.333333333,5,5,43,8,9,9,8.666666667,6,24,6,1,9,10,4,2,38,2,6,6
6,7,5,6,8,6,1,2,2,Hard,posMom,7,7,8,7.333333333,5,6,7,6,4,5,5,7,6,7,6.666666667,4,4,-10,6,5,6,5.666666667,3,6,3,2,6,8,3,3,65,2,6,4
6,6,10,7,10,7,1,3,3,Hard,posMom,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,2,7,2,2,1,10,2,2,36,2,4,3
4,7,7,6,6,5,0,0,1,Easy,negMom,2,2,1,1.666666667,4,4,2,3.333333333,2,4,4,4,4,4,4,3,3,3,3,3,2,2.666666667,1,5,1,2,4,10,1,4,58,2,1,4
3,8,11,7,1,2,0,0,1,Easy,negMom,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-33,1,1,1,1,1,2,1,2,1,10,2,4,50,2,1,3
11,7,13,10,12,12,1,2,0,Hard,posMom,7,8,8,7.666666667,5,5,5,5,6,3,3,3,6,7,5.333333333,5,5,16,7,7,7,7,7,12,7,1,6,10,1,3,28,2,5,5
5,5,1,4,6,7,1,2,1,Easy,negMom,6,6,7,6.333333333,3,4,4,3.666666667,4,5,5,6,6,6,6,4,4,9,6,6,6,6,5,7,5,2,6,10,1,3,26,1,4,6
4,3,3,3,7,5,1,4,2,Hard,posMom,2,5,5,4,6,5,6,5.666666667,5,4,4,5,6,5,5.333333333,5,5,-38,4,4,2,3.333333333,4,5,4,2,4,10,1,2,25,1,6,7
9,9,16,11,10,9,0,0,1,Hard,posMom,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,8,5,5,5,5,4,9,4,2,4,10,2,3,49,2,2,4
10,10,20,13,12,10,0,0,2,Hard,posMom,6,6,6,6,4,4,5,4.333333333,4,4,4,4,4,5,4.333333333,4,4,11,7,6,6,6.333333333,5,10,5,2,4,10,1,4,33,1,4,2
7,7,10,8,12,8,1,4,4,Hard,posMom,6,6,6,6,5,5,5,5,5,4,4,5,5,5,5,5,5,18,6,6,6,6,6,8,6,2,6,8,4,3,24,1,5,6
4,5,7,5,3,2,0,0,1,Easy,negMom,3,2,3,2.666666667,2,3,2,2.333333333,3,2,2,2,2,2,2,2,2,-46,1,1,2,1.333333333,2,2,2,2,1,5,2,2,58,2,1,2
25,29,40,31,33,40,1,2,7,Hard,posMom,7,7,7,7,6,6,6,6,5,5,5,7,7,7,7,5,5,21,8,8,8,8,5,40,5,2,2,10,3,3,30,2,2,4
4,10,10,8,10,10,1,2,0,Hard,posMom,7,7,7,7,3,3,3,3,6,6,6,6,6,6,6,6,6,15,6,6,6,6,6,10,6,1,6,6,2,2,32,1,6,6
6,7,12,8,9,8,1,1,1,Easy,negMom,7,7,6,6.666666667,6,7,6,6.333333333,5,2,2,4,3,3,3.333333333,2,2,-44,2,1,2,1.666666667,1,8,1,2,5,8,2,4,49,2,4,3
6,10,16,11,11,8,0,0,3,Hard,posMom,4,7,8,6.333333333,5,6,8,6.333333333,5,5,5,6,8,10,8,7,7,50,8,9,10,9,5,8,5,2,5,10,1,3,40,1,5,5
8,10,13,10,10,11,0,0,1,Easy,negMom,6,7,7,6.666666667,7,7,7,7,7,3,3,6,6,6,6,6,6,-24,5,5,7,5.666666667,5,11,5,2,5,10,2,3,32,2,5,4
15,15,10,13,20,14,1,7,6,Easy,negMom,4,4,6,4.666666667,5,4,4,4.333333333,5,5,5,5,5,6,5.333333333,6,6,-2,5,5,6,5.333333333,5,14,5,2,6,6,3,2,30,1,2,3
12,11,12,12,12,13,0,0,1,Hard,posMom,7,8,8,7.666666667,5,6,6,5.666666667,5,3,3,4,4,4,4,5,5,2,5,5,5,5,5,13,5,1,1,10,3,2,43,2,5,6
9,10,14,11,24,20,1,13,4,Easy,negMom,6,4,6,5.333333333,4,5,4,4.333333333,4,2,2,4,4,3,3.666666667,4,4,-36,2,3,4,3,4,20,4,2,8,6,2,4,32,1,2,2
5,3,8,5,9,3,1,4,6,Hard,posMom,8,9,8,8.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,-45,1,1,1,1,1,3,1,2,4,9,2,2,37,2,4,5
5,8,13,9,10,6,1,1,4,Hard,posMom,6,7,6,6.333333333,3,1,2,2,1,5,5,7,7,7,7,5,5,29,8,8,7,7.666666667,6,6,6,2,4,9,2,3,61,2,4,4
8,9,17,11,11,11,0,0,0,Hard,posMom,5,4,4,4.333333333,6,6,5,5.666666667,5,5,5,6,6,6,6,5,5,34,8,8,8,8,6,11,6,2,6,9,1,4,33,2,4,2
11,15,14,13,18,13,1,5,5,Easy,negMom,7,8,8,7.666666667,7,8,8,7.666666667,7,5,5,7,7,8,7.333333333,7,7,3,6,6,8,6.666666667,7,13,7,2,7,8,2,2,65,2,5,6
7,15,15,12,52,30,1,40,22,Hard,posMom,10,10,10,10,5,6,8,6.333333333,5,7,7,8,8,10,8.666666667,10,10,35,8,8,8,8,8,30,8,1,10,10,2,4,33,2,6,7
10,11,15,12,9,12,0,0,3,Hard,posMom,8,8,8,8,8,8,8,8,8,5,5,8,8,8,8,8,8,35,8,8,8,8,8,12,8,2,6,10,2,2,66,1,6,6
8,7,15,10,12,8,1,2,4,Hard,posMom,3,2,4,3,3,2,2,2.333333333,3,1,1,1,2,2,1.666666667,4,4,8,4,3,4,3.666666667,4,8,4,1,6,9,2,3,34,1,5,6
4,4,4,4,3,4,0,0,1,Easy,negMom,10,9,9,9.333333333,4,5,5,4.666666667,5,6,6,7,7,7,7,7,7,5,7,8,8,7.666666667,8,4,8,1,8,9,3,5,30,2,4,4
4,4,8,5,5,5,0,0,0,Hard,posMom,5,3,3,3.666666667,2,1,1,1.333333333,1,5,5,3,3,2,2.666666667,3,3,37,7,8,8,7.666666667,5,5,5,2,1,10,1,3,32,1,4,1
3,8,11,7,10,8,1,3,2,Easy,negMom,5,6,7,6,6,7,7,6.666666667,5,2,2,4,5,8,5.666666667,5,5,43,3,3,3,3,5,8,5,2,7,10,3,3,39,2,5,6
4,6,3,4,5,4,1,1,1,Hard,posMom,2,2,2,2,2,2,2,2,1,3,3,1,1,1,1,1,1,-35,1,1,1,1,1,4,1,2,1,10,1,2,35,2,4,4
5,5,9,6,8,9,1,2,1,Hard,posMom,6,8,8,7.333333333,3,4,4,3.666666667,2,4,4,4,5,5,4.666666667,3,3,20,6,6,6,6,3,9,3,2,4,10,1,2,51,1,5,5
4,6,12,7,8,9,1,1,1,Hard,posMom,7,9,10,8.666666667,7,6,6,6.333333333,5,6,6,8,7,9,8,10,10,42,9,10,10,9.666666667,10,9,10,1,10,10,2,3,39,2,6,7
23,25,29,26,24,26,0,0,2,Easy,negMom,10,10,10,10,10,10,10,10,10,3,3,10,10,10,10,10,10,14,10,10,10,10,9,26,9,1,8,10,3,3,53,1,6,6
10,6,11,9,20,15,1,11,5,Easy,negMom,7,8,8,7.666666667,5,7,7,6.333333333,5,2,2,4,4,5,4.333333333,3,3,-9,4,4,5,4.333333333,4,15,4,1,8,9,2,2,47,1,4,5
8,6,13,9,15,9,1,6,6,Hard,posMom,8,7,7,7.333333333,8,8,8,8,5,2,2,3,3,3,3,3,3,23,8,9,9,8.666666667,5,9,5,2,9,10,3,2,50,2,6,1
11,4,3,6,8,3,1,2,5,Easy,negMom,7,6,6,6.333333333,7,4,5,5.333333333,6,4,4,8,7,7,7.333333333,7,7,10,7,8,8,7.666666667,8,3,8,2,6,7,3,2,29,2,4,5
7,15,17,13,11,12,0,0,1,Hard,posMom,5,7,7,6.333333333,4,7,7,6,3,6,6,8,7,7,7.333333333,5,5,22,8,7,7,7.333333333,5,12,5,2,5,10,1,3,55,2,5,4
2,3,7,4,3,3,0,0,0,Easy,negMom,7,6,7,6.666666667,7,7,6,6.666666667,6,5,5,5,6,6,5.666666667,5,5,15,6,5,6,5.666666667,7,3,7,1,7,9,1,3,30,1,2,3
15,17,21,18,14,20,0,0,6,Hard,posMom,10,10,10,10,8,10,8,8.666666667,10,7,7,10,10,10,10,10,10,50,10,10,10,10,10,20,10,1,4,10,3,3,35,1,5,1
0,5,5,3,6,4,1,3,2,Hard,posMom,7,7,6,6.666666667,1,1,1,1,1,6,6,6,6,6,6,5,5,11,6,6,6,6,5,4,5,2,7,7,3,4,34,1,5,6
1,8,9,6,3,4,0,0,1,Hard,posMom,5,5,5,5,1,1,1,1,2,6,6,6,6,6,6,4,4,20,6,6,6,6,5,4,5,2,1,10,2,2,64,2,5,6
8,8,13,10,5,12,0,0,7,Hard,posMom,6,7,7,6.666666667,7,5,5,5.666666667,6,5,5,7,7,7,7,7,7,46,9,9,9,9,8,12,8,1,4,8,1,2,22,1,6,2
3,8,8,6,9,4,1,3,5,Easy,negMom,6,6,6,6,3,6,6,5,3,4,4,2,3,3,2.666666667,3,3,-10,1,3,3,2.333333333,1,4,1,2,5,10,4,3,34,2,2,6
14,15,24,18,18,18,0,0,0,Hard,posMom,8,8,8,8,7,7,7,7,6,5,5,7,7,7,7,6,6,24,7,7,7,7,6,18,6,1,8,9,3,2,27,1,5,2
16,14,24,18,17,13,0,0,4,Hard,posMom,7,7,7,7,4,4,4,4,3,2,2,3,3,3,3,3,3,6,6,6,6,6,4,13,4,2,3,10,4,4,62,2,2,3
