EndDate,CTS_ID,LS1,LS2,LS3,LS4,LS5,LS6,LS7,LS8,LS9,LS10,LS11,LS12,LS13,LS14,LS15,LS16,LS17,LS18,LS19,LS20
3/30/2020 14:24,CTS057,3,3,2,3,4,3,1,2,3,4,3,2,1,1,4,4,3,2,4,4
3/31/2020 11:14,CTS060,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/31/2020 21:07,CTS062,3,3,3,3,3,3,3,3,4,3,3,3,3,4,2,3,3,3,3,3
3/31/2020 21:58,CTS063,3,4,3,4,2,3,4,3,4,2,3,3,3,3,3,3,3,4,3,3
4/3/2020 11:22,CTS066,3,2,3,3,2,2,3,3,2,2,3,3,3,3,3,3,4,3,3,3
4/3/2020 21:00,CTS069,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,4,4
4/3/2020 23:51,CTS065,3,4,3,4,3,3,3,3,2,3,3,4,4,3,3,3,3,4,3,3
4/4/2020 14:06,CTS071,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,2,3,3,3
4/4/2020 15:39,CTS070,3,1,1,1,4,4,4,3,3,4,2,2,1,1,1,4,2,1,4,4
4/4/2020 16:41,CTS067,3,4,3,4,3,3,2,2,3,3,3,2,4,4,3,3,3,3,3,3
4/5/2020 1:37,CTS068,3,3,3,3,3,2,3,3,2,3,3,2,4,3,2,2,3,3,3,3
4/5/2020 12:19,CTS073,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,4,3
4/5/2020 14:48,CTS072,3,3,1,2,3,3,1,1,3,3,3,1,1,3,3,3,3,2,4,4
4/5/2020 17:38,CTS074,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,4,3,3,4,4
4/5/2020 23:37,CTS053,3,2,2,3,2,3,2,2,3,3,3,4,3,3,3,3,2,4,2,3
4/7/2020 12:11,CTS076,3,1,1,2,3,3,1,2,3,4,3,3,1,1,4,4,3,3,1,4
4/7/2020 19:05,CTS075,3,2,2,2,4,4,1,2,4,4,1,1,1,4,3,4,1,3,4,4
4/8/2020 0:18,CTS077,3,3,1,3,3,3,3,2,3,3,3,2,1,3,3,4,2,3,4,4
4/8/2020 21:01,CTS064,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3
4/10/2020 11:09,CTS080,3,2,2,3,3,2,2,3,3,4,3,2,2,3,2,3,3,3,4,4
4/11/2020 14:31,CTS083,3,1,1,1,2,2,1,2,2,3,3,2,2,2,4,2,3,3,4,4
4/11/2020 21:34,CTS078,3,1,1,2,2,4,1,2,3,4,3,2,1,2,4,4,2,2,4,4
4/12/2020 12:41,CTS087,4,2,2,2,4,4,2,2,4,4,2,1,1,2,2,4,1,2,4,4
4/12/2020 22:28,CTS079,3,4,3,3,4,3,3,3,3,2,3,3,4,3,3,2,2,3,4,3
4/13/2020 8:26,CTS084,3,2,2,2,3,3,2,2,3,3,2,3,2,2,4,4,3,3,4,4
4/13/2020 11:31,CTS081,3,4,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,4,4
4/13/2020 18:05,CTS089,3,2,2,3,3,3,2,3,3,4,2,2,1,3,4,4,2,2,4,4
4/14/2020 9:41,CTS088,3,2,2,2,3,3,1,2,3,3,2,2,2,2,3,4,2,2,4,4
4/14/2020 21:12,CTS082,3,3,2,2,3,2,1,2,2,3,2,1,2,2,2,2,3,2,3,3
4/14/2020 22:30,CTS092,4,2,1,2,4,3,2,2,3,4,1,1,1,3,3,4,2,2,4,4
4/15/2020 14:13,CTS091,3,2,2,2,3,3,2,3,4,4,2,2,3,3,4,3,1,3,4,4
4/18/2020 12:49,CTS086,2,3,3,3,3,2,4,2,2,3,2,3,4,3,3,2,3,3,2,2
4/19/2020 16:47,CTS093,3,3,3,3,4,4,2,2,4,3,3,1,2,3,3,3,3,3,4,4
4/20/2020 12:26,CTS095,3,3,2,2,3,3,2,2,4,4,3,2,2,3,3,3,1,3,4,4
4/21/2020 12:54,CTS098,3,3,2,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4
4/22/2020 14:12,CTS096,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
4/24/2020 12:04,CTS099,3,4,3,4,1,3,4,3,3,3,3,4,3,3,2,2,2,3,3,4
4/26/2020 18:47,CTS100,3,3,3,4,2,2,3,3,3,1,3,4,3,4,2,3,2,3,3,2
4/27/2020 16:27,CTS085,3,3,2,2,3,3,2,2,3,3,3,2,2,2,3,3,3,2,3,3
4/30/2020 10:51,CTS094,3,2,1,3,4,3,1,3,3,4,3,2,2,4,3,3,3,2,4,4
5/20/2020 14:51,CTS101,2,3,3,3,2,2,4,2,2,2,4,3,4,3,3,2,3,4,2,2
