id,draw,R,P,S,,W,L,D,,RT after W,RT after L,RT after D,,WinStay,LoseShift,DrawShift,,Final Score
1,0,0.375,0.141666666666667,0.483333333333333,,0.3,0.341666666666667,0.358333333333333,,542,400,492,,0.472222222222222,0.853658536585366,0.714285714285714,,-5
2,0,0.383333333333333,0.275,0.341666666666667,,0.25,0.416666666666667,0.333333333333333,,1226,459,417,,0.2,0.94,0.769230769230769,,-20
3,0,0.391666666666667,0.333333333333333,0.275,,0.325,0.266666666666667,0.408333333333333,,509,283.5,367,,0.184210526315789,0.8125,0.775510204081633,,7
4,0,0.383333333333333,0.408333333333333,0.208333333333333,,0.3,0.425,0.275,,467,584,434,,0.277777777777778,0.78,0.515151515151515,,-15
5,0,0.475,0.308333333333333,0.216666666666667,,0.275,0.358333333333333,0.366666666666667,,350,242,300,,0.363636363636364,0.69047619047619,0.681818181818182,,-10
6,0,0.5,0.233333333333333,0.266666666666667,,0.333333333333333,0.391666666666667,0.275,,384,317,459,,0.775,0.531914893617021,0.34375,,-7
7,0,0.558333333333333,0.183333333333333,0.258333333333333,,0.341666666666667,0.366666666666667,0.291666666666667,,467,617,400,,0.780487804878049,0.558139534883721,0.457142857142857,,-3
8,0,0.275,0.291666666666667,0.433333333333333,,0.316666666666667,0.308333333333333,0.375,,492,417,342,,0.421052631578947,0.783783783783784,0.590909090909091,,1
9,0,0.416666666666667,0.316666666666667,0.266666666666667,,0.391666666666667,0.316666666666667,0.291666666666667,,300,451,417,,0.148936170212766,0.837837837837838,0.857142857142857,,9
10,0,0.35,0.375,0.275,,0.341666666666667,0.291666666666667,0.366666666666667,,200,184,150,,0.325,0.571428571428571,0.795454545454545,,6
11,0,0.35,0.241666666666667,0.408333333333333,,0.233333333333333,0.325,0.441666666666667,,851,467,383.5,,0.464285714285714,0.358974358974359,0.403846153846154,,-11
12,0,0.308333333333333,0.366666666666667,0.325,,0.366666666666667,0.25,0.383333333333333,,292,200,267,,0.454545454545455,0.793103448275862,0.826086956521739,,14
13,0,0.325,0.366666666666667,0.308333333333333,,0.325,0.366666666666667,0.308333333333333,,317,292,350.5,,0.487179487179487,0.75,0.416666666666667,,-5
14,0,0.366666666666667,0.416666666666667,0.216666666666667,,0.291666666666667,0.341666666666667,0.366666666666667,,234,242,350,,0.885714285714286,0.85,0.636363636363636,,-6
15,0,0.3,0.325,0.375,,0.366666666666667,0.341666666666667,0.291666666666667,,3003,2503,1885,,0.162790697674419,0.829268292682927,0.628571428571429,,3
16,0,0.35,0.35,0.3,,0.291666666666667,0.391666666666667,0.316666666666667,,384,400,367,,0.428571428571429,0.74468085106383,0.891891891891892,,-12
17,0,0.316666666666667,0.383333333333333,0.3,,0.266666666666667,0.333333333333333,0.4,,317,275.5,200,,0.129032258064516,0.725,0.479166666666667,,-8
18,0,0.233333333333333,0.35,0.416666666666667,,0.375,0.391666666666667,0.233333333333333,,434,400,434,,0.222222222222222,0.74468085106383,0.592592592592593,,-2
19,0,0.575,0.175,0.25,,0.316666666666667,0.316666666666667,0.366666666666667,,1168,759,917.5,,0.540540540540541,0.815789473684211,0.568181818181818,,0
20,0,0.325,0.391666666666667,0.283333333333333,,0.375,0.266666666666667,0.358333333333333,,317,350,300,,0.288888888888889,0.65625,0.666666666666667,,13
21,0,0.233333333333333,0.425,0.341666666666667,,0.341666666666667,0.333333333333333,0.325,,5556,2536,2127,,0.121951219512195,0.925,0.868421052631579,,1
22,0,0.275,0.375,0.35,,0.333333333333333,0.308333333333333,0.358333333333333,,392,475.5,567,,0.125,0.916666666666667,0.930232558139535,,3
23,0,0.291666666666667,0.366666666666667,0.341666666666667,,0.375,0.275,0.35,,634,434,475.5,,0.113636363636364,0.909090909090909,0.857142857142857,,12
24,0,0.3,0.333333333333333,0.366666666666667,,0.325,0.333333333333333,0.341666666666667,,267,367,284,,0.692307692307692,0.675,0.55,,-1
