sid,group,nam,progressive,dwipc,dwfpc,ipc,fpc,sc_flat,sc_lep
0,0,3,False,0.4999999999999999,0.9666666666666666,0.6222222222222221,0.9555555555555554,0.24999999999999994,0.2507828942428098
1,0,3,True,0.7222222222222221,0.7888888888888888,0.7111111111111111,0.8222222222222223,0.4507555555555555,0.3108224315367173
2,0,1,True,0.4888888888888889,0.4888888888888889,0.5333333333333333,0.5777777777777778,0.43321818181818184,0.5110141912078532
3,0,3,True,0.8666666666666667,0.9555555555555555,0.8666666666666667,0.9555555555555554,0.4060333333333334,0.20465389784946247
4,0,2,False,0.5888888888888888,0.7333333333333333,0.6,0.7777777777777778,0.3232777777777777,0.26203932397973767
5,0,2,False,0.6333333333333333,0.7111111111111111,0.6444444444444444,0.7333333333333334,0.33661904761904765,0.19896061632463313
6,0,3,False,0.7,0.9333333333333333,0.7111111111111111,0.9555555555555556,0.5028444444444445,0.4434019075466444
7,0,1,True,0.6666666666666666,0.7888888888888889,0.7111111111111111,0.8222222222222223,0.48995959595959604,0.48924992900896586
8,0,2,False,0.6333333333333333,0.6888888888888889,0.6444444444444444,0.6444444444444444,0.5180569985569986,0.27994649685826145
9,0,2,False,0.6444444444444444,0.7777777777777777,0.6666666666666666,0.7999999999999999,0.47323405483405484,0.42711437839486627
10,0,1,True,0.6333333333333333,0.6444444444444444,0.6666666666666666,0.6888888888888888,0.1455,0.1460843373493976
11,0,1,True,0.5222222222222221,0.6555555555555554,0.5777777777777778,0.6888888888888888,0.5076,0.49998867411658104
12,0,3,False,0.711111111111111,0.9444444444444444,0.7333333333333334,0.9333333333333332,0.540989898989899,0.40301395530153705
13,0,2,False,0.6,0.7666666666666666,0.6,0.7777777777777777,0.443031746031746,0.3529475339913815
14,0,1,True,0.4555555555555555,0.5777777777777777,0.5111111111111112,0.6,0.19832727272727274,0.21663698552691116
15,0,1,False,0.4,0.5777777777777777,0.4000000000000001,0.5777777777777778,0.20184126984126982,0.2327780956619409
16,0,1,True,0.4222222222222222,0.42222222222222217,0.4222222222222222,0.5333333333333333,0.22566666666666663,0.1731941838649157
17,0,3,True,0.47777777777777775,0.7,0.4666666666666666,0.7555555555555555,0.4768111111111112,0.4440607003726288
18,0,2,False,0.7777777777777777,0.6777777777777778,0.7777777777777778,0.7777777777777777,0.31320779220779216,0.34817271143490663
19,0,1,False,0.6111111111111112,0.7111111111111111,0.6444444444444445,0.7111111111111112,0.3092142857142858,0.30604619565217384
20,0,2,False,0.5444444444444444,0.6888888888888889,0.5777777777777777,0.7555555555555555,0.34530909090909084,0.34568291765974346
21,0,2,False,0.6555555555555554,0.7777777777777777,0.6444444444444445,0.8222222222222223,0.0616,0.04623774509803922
22,0,3,False,0.6888888888888889,0.9,0.7333333333333334,0.888888888888889,0.184,0.23410007231517535
23,0,1,True,0.6888888888888889,0.711111111111111,0.7111111111111111,0.7555555555555555,0.0,0.0
24,0,2,False,0.711111111111111,0.8111111111111111,0.7555555555555555,0.8222222222222223,0.415174025974026,0.4918889933595817
25,0,3,False,0.6555555555555554,0.8777777777777778,0.6888888888888888,0.9111111111111111,0.42652222222222225,0.33881468803996695
