id,overallMeanDegTrav_WB_1,overallMeanDegTrav_WB_2,overallMeanDegTrav_WB_3,overallMeanDegTrav_WhB_1,overallMeanDegTrav_WhB_2,overallMeanDegTrav_WhB_3,overallMeanDegTrav_WhV_1,overallMeanDegTrav_WhV_2,overallMeanDegTrav_WhV_3,overallMeanDegTrav_WV_1,overallMeanDegTrav_WV_2,overallMeanDegTrav_WV_3
1,209.335817901904,189.748650801073,177.985743897837,227.120382355838,170.073173230569,183.302609261860,191.862284181703,178.448408711517,169.180875949708,245.951820804128,220.796486653957,231.244066049417
2,391.615630349001,409.467171745606,354.385315817198,376.867057770242,359.866655228579,325.638405188980,340.525190730923,400.987867276029,268.706154632028,338.120145721496,315.626533826992,298.083287300942
3,243.332866891524,198.739400044714,176.307765869654,221.117073321372,193.920350029430,224.571710394862,316.732567156781,326.261271102854,286.601839082521,330.295783249668,309.878774948543,328.199204512822
4,315.566436632252,303.107296941953,320.152664658308,328.532737000272,253.287985064964,279.066002025615,290.181340844415,267.746030357120,295.144515572758,355.041099035031,359.294119295511,361.602518587626
5,365.722833823556,348.270663891021,347.787097070014,340.233292306473,372.805790425158,398.258095365912,322.157355179475,310.383783254537,301.795377354278,359.287706596171,359.759148439834,352.753463256126
6,340.109921373061,302.504013509063,306.194459296847,301.513515534365,331.152129115812,265.967533757990,331.282898575880,300.916185338654,295.030278430316,316.732628552355,321.225880922411,344.597380504069
7,291.236438271469,315.850785282758,329.688657439103,288.486169204732,278.245666088161,326.080292112238,258.370335596100,255.566127274811,295.675135603826,292.503870469356,307.968483679403,362.472970670188
8,288.709992300709,278.557487077909,237.834999101893,268.105924756666,221.065333412324,175.453189237360,291.127951691895,292.998260680572,263.272853589573,306.905016822293,318.602824491239,315.404943242362
9,201.955626467240,156.128542253763,171.761004850741,164.020246260582,179.947676646710,177.742264185488,182.052167851547,209.733848476385,252.446440713551,184.876323656315,165.826874453162,152.498752091863
10,503.213259015409,369.994584013517,347.449269159757,362.589320828394,303.239780477218,236.181888545195,383.225452885800,426.103784565527,345.894478833737,457.400048870748,431.348441734908,399.588385615998
11,392.151802487356,396.966409370506,400.277036896658,392.988503371635,423.947619941084,374.995997999724,345.617455493665,390.298376417799,421.398950087141,373.115026958046,429.100168113647,379.950601153061
12,420.148242428603,438.688583218081,417.391725439834,373.062908322153,393.654307728020,435.613395245822,322.292085371740,351.486537449341,409.211590397207,374.388996531704,420.823000464651,408.028127822588
13,230.128192077284,230.372271981597,223.185831098877,244.291132273498,218.623420309930,181.998876027228,252.948941525045,253.514347947306,236.406241941622,282.774690307170,289.345255243989,305.281122198458
14,357.768777459796,313.165909588208,295.245490135821,358.759083044146,323.545013098771,321.695519052695,330.423120114834,302.704511649277,285.860657948275,325.070824736451,321.486736723896,334.074059968183
15,279.002669009212,292.615196388697,287.898088216345,259.979756222325,277.466419133030,270.449251545189,326.150345232609,325.955269730650,314.818199097139,327.378260922248,326.168068940268,347.874751364200
16,341.946175338265,342.650730128951,372.593577900574,358.596409484458,342.011968174096,388.285678127974,356.851839358714,369.612092760069,326.687449886873,392.530528527726,392.393256138739,425.474620257976
17,304.167435917528,277.412767189371,255.314482084461,265.918076407935,254.933500151080,262.302502711620,265.314959203955,255.888798969284,250.315464736486,363.590546841653,300.446294586704,318.296304012662
18,361.910903555020,385.008654802261,321.582327814234,400.746589402809,344.888307304060,306.769447458831,324.332362325783,341.021137181499,382.103122127843,394.329890278395,416.422491306005,430.715603077857
19,472.843495345032,519.102146318567,498.252544331396,443.099574585197,465.588736586232,531.323862364910,312.289211929264,383.334510018369,479.400224159883,412.555166617912,470.323695530645,492.176942671816
20,306.376285325299,288.587948268764,313.773263355435,338.156630445330,334.829640581951,301.157885502852,288.748886016841,326.159557878241,368.991837291900,288.671244860324,324.492471957885,346.790152648543
21,282.604891444619,260.489040421644,245.265043827420,202.903502082293,222.621217619426,209.219488736009,305.782246970931,291.208279390709,315.860368569270,278.862835987917,349.614425494059,369.429545817762
22,289.708384376898,342.963764366202,461.041937372690,192.577554038634,357.568292539054,346.751661054698,213.094419633088,303.453014188198,378.288322421037,285.731010449050,326.769108321875,375.742629283510
23,334.900758468163,307.944306753683,362.471066146875,258.345984464802,289.458702665955,219.786162623208,277.283046328610,280.921457685545,306.358544199289,321.198347045706,368.558437473401,415.207777186647
