StartDate,EndDate,Q54_Q54_1,Q54_Q54_2,Q54_Q54_3,Q54_Q54_4,Q54_Q54_5,Q54_Q54_6,Q54_Q54_7,Q54_Q54_8,Q54_Q54_9,Q54_Q54_10,Q54_Q54_11,Q54_Q54_12,Q54_Q54_13,Q54_Q54_14,Q54_Q54_15,Q54_Q54_16,Q54_Q54_17,Q54_Q54_18,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q2_Q2_14,Q2_Q2_15,Q2_Q2_16,Q2_Q2_17,Q2_Q2_18,Q2_Q2_19,Q2_Q2_20,Q2_Q2_21,Q2_Q2_22,Q2_Q2_23,Q2_Q2_24,Q2_Q2_25,Q2_Q2_26,Q2_Q2_27,Q2_Q2_28,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q3_Q3_6,Q3_Q3_7,Q3_Q3_8,Q5,Q6,Q7,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q9,Q10,Q11,Q12,Q13,Q14,Q15,adolescent_behavior,adult_behavior,adolescent_brain,adult_brain,adolescent_brainimage,adult_brainimage,Q25,Q55_Q55_1,Q55_Q55_2,Q55_Q55_3,Q55_Q55_4,Q55_Q55_5,Q55_Q55_6,Q55_Q55_7,Q55_Q55_8,Q55_Q55_9,Q55_Q55_10,Q55_Q55_11,Q55_Q55_12,Q55_Q55_13,Q55_Q55_14,Q55_Q55_15,Q55_Q55_16,Q55_Q55_17,Q55_Q55_18,Q26,Q27,Q28,Q30,Q31,Q32,Q33,Q34,Q35_1,Q35_2,Q35_3,Q52,Q48,Q49,Q36,Q37,Q39,Q40
2016/11/23 16:10,2016/11/23 16:16,,,,,,,,,,,,,,,,,,,2,4,2,3,2,2,2,3,2,4,2,4,1,3,2,4,2,4,2,3,4,4,4,4,2,4,2,3,4,4,4,4,4,4,4,4,2,1,4,3,4,3,2,2,3,2,3,3,5,2,2,2,1,29,7,4,2,2,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,5,6,4,6,6,6,5,4,7,6,5,,2,2,3,6,6,2
2016/11/23 20:42,2016/11/23 20:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/11/23 20:46,2016/11/23 20:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2016/11/23 21:37,2016/11/23 21:44,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,0,2,3,1,4,3,5,2,2,4,1,2,2,1,5,3,3,4,2,4,5,6,3,1,29,7,4,2,2,1,,,,,,1,0,,,,,,,,,,,,,,,,,,,4,5,2,6,5,7,3,4,6,6,6,1,2,2,2,5,7,1
2016/11/24 16:47,2016/11/24 16:53,4,4,4,3,4,3,4,4,3,1,2,2,1,2,2,2,2,1,2,3,3,2,2,3,4,3,1,2,3,4,1,3,4,5,2,2,4,3,2,3,4,4,2,4,4,3,2,3,3,1,3,2,3,2,5,3,7,5,5,4,5,4,4,4,5,4,6,5,5,3,1,28,6,3,2,3,5,1,,,,,,1,2,1,1,1,2,1,1,1,1,2,4,4,3,4,3,5,2,4,4,4,3,6,4,4,5,3,,,,,,,,,,
2016/11/24 16:50,2016/11/24 16:54,3,3,4,3,4,4,3,4,4,1,1,1,1,1,1,1,2,1,3,4,4,5,4,4,3,4,3,2,4,4,4,3,4,5,4,4,4,4,3,4,5,4,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/11/24 16:47,2016/11/24 16:56,3,3,3,3,3,1,2,2,2,1,1,1,2,1,1,1,2,1,2,3,2,3,1,1,2,2,3,2,4,4,1,1,4,2,4,4,2,3,2,4,4,4,3,5,1,3,2,1,1,2,0,1,1,1,6,5,8,3,5,4,5,5,5,5,5,5,6,5,5,5,2,23,6,3,4,2,3,,,1,,,,1,4,3,1,1,2,1,1,3,1,2,4,4,4,3,1,2,4,2,2,6,4,3,5,6,4,4,5,4,6,3,4,3,2,2,7,6
2016/11/24 16:49,2016/11/24 16:58,5,5,5,4,5,4,5,5,4,1,1,1,3,1,1,1,1,1,3,4,1,3,1,3,3,2,3,4,2,4,1,4,4,4,4,4,3,5,2,3,5,2,1,4,3,3,4,3,3,2,3,4,5,5,6,5,8,5,5,5,5,5,6,6,5,5,6,6,3,5,2,19,5,5,4,4,3,,1,,,,,1,3,3,3,2,2,1,2,2,2,2,4,4,3,2,2,1,1,1,5,3,4,3,5,6,5,4,6,5,5,2,5,5,2,2,4,4
2016/11/24 16:48,2016/11/24 17:01,3,3,3,3,3,3,3,3,2,1,3,1,1,1,1,1,1,1,3,4,2,3,2,3,3,4,3,2,3,5,3,4,4,4,3,5,3,4,4,5,5,4,3,5,4,3,4,3,1,3,3,3,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,2,24,7,5,4,4,3,,,,,1,,0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,6,4,4,6,5,5,4,4,7,7,2,5,4,4,4,4,1
2016/11/24 16:54,2016/11/24 17:03,3,3,3,3,4,3,3,3,3,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,2,3,3,3,3,4,5,4,4,4,4,3,4,4,5,3,4,4,5,3,5,4,1,3,4,3,4,5,6,4,8,5,5,5,5,5,4,5,5,6,6,4,5,6,2,22,5,5,5,3,3,,,,,,1,1,3,3,1,1,1,1,1,1,1,2,2,1,1,3,1,1,2,3,3,6,5,4,7,5,7,4,6,5,7,2,4,3,3,5,6,5
2016/11/24 16:53,2016/11/24 17:04,3,3,4,4,4,4,4,4,4,2,1,1,2,1,1,2,1,1,1,3,3,3,1,2,5,4,1,1,3,3,1,4,3,4,3,2,1,5,4,4,4,4,1,5,5,3,4,5,0,3,3,3,4,5,4,4,6,2,4,5,4,5,5,5,5,5,5,6,6,5,1,23,7,4,3,3,1,,,,1,,,1,3,3,1,1,1,1,1,1,1,1,4,3,3,2,1,4,1,4,3,4,3,5,5,4,6,4,7,7,7,1,4,4,4,4,6,4
2016/11/24 16:51,2016/11/24 17:06,2,3,4,3,3,3,4,1,2,1,1,2,2,1,1,1,1,1,1,4,4,2,1,1,5,2,2,1,4,4,2,2,5,3,2,4,2,4,1,2,4,4,2,2,4,3,3,4,2,3,3,3,4,4,3,2,4,3,4,4,5,5,4,5,4,4,5,4,4,4,1,20,5,2,2,2,2,,1,,,,,1,4,3,2,3,4,3,4,2,3,4,3,3,4,2,3,4,3,2,4,3,3,5,3,4,2,4,2,4,3,2,3,3,4,3,3,3
2016/11/24 16:52,2016/11/24 17:07,4,4,4,4,4,3,4,4,3,1,1,2,3,1,1,1,2,1,2,4,4,4,2,2,2,3,2,3,2,2,2,4,2,5,4,2,2,4,4,2,4,4,3,3,3,3,4,4,1,3,1,3,4,3,5,7,8,4,2,4,2,4,4,2,5,3,4,5,3,3,2,24,6,5,5,5,4,,,1,,,,0,3,4,2,2,3,3,2,4,1,2,4,3,3,2,2,3,2,4,3,6,2,5,7,5,6,4,5,7,6,2,2,5,3,5,3,1
2016/11/24 16:55,2016/11/24 17:08,3,4,3,3,4,4,4,4,5,4,4,3,3,4,3,3,4,4,1,2,2,3,2,2,4,2,2,2,2,4,2,3,4,5,4,5,2,3,2,4,4,4,3,3,4,3,4,4,2,3,3,3,4,2,6,4,7,4,5,5,4,5,5,4,5,4,6,5,3,3,1,19,5,4,4,3,1,,,,,1,,0,1,1,1,1,1,1,1,4,1,1,4,1,3,1,1,1,1,1,3,6,4,6,6,4,5,7,,,,,,,,,,
2016/11/24 17:02,2016/11/24 17:10,3,2,1,1,1,1,1,2,2,4,4,3,4,3,4,5,3,2,1,4,4,2,1,2,2,4,1,2,4,2,2,4,3,4,4,4,4,3,2,4,4,2,2,4,2,3,4,2,3,3,2,2,5,4,1,1,1,4,5,5,3,4,5,2,5,4,5,5,3,2,2,20,5,4,3,1,1,,,,1,,,0,2,1,1,1,1,1,1,1,1,1,3,4,3,2,1,1,2,1,2,6,3,6,6,6,5,5,,,,,,,,,,
2016/11/24 16:48,2016/11/24 17:11,2,2,2,1,2,2,2,3,3,4,1,1,1,2,1,1,1,1,2,4,2,4,1,2,3,2,1,3,4,2,1,4,4,3,3,4,2,3,4,4,5,2,4,3,4,3,3,2,2,3,4,3,3,3,5,5,6,5,5,5,5,5,5,5,5,4,5,5,4,4,2,21,5,3,5,4,4,1,,,,,,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,3,6,3,6,7,3,3,4,5,4,5,3,3,2,1,1,6,4
2016/11/24 17:01,2016/11/24 17:14,3,3,3,3,3,3,2,3,2,1,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,3,2,2,2,2,1,4,4,4,4,4,3,4,4,4,4,4,2,4,4,3,3,2,3,3,2,4,3,3,3,3,5,3,5,5,5,5,5,5,5,5,6,5,5,5,1,20,5,5,5,3,3,,,,,,1,1,2,2,1,1,1,1,1,2,1,1,3,3,2,3,1,2,1,2,2,6,2,5,6,6,6,4,4,6,5,2,5,6,2,2,5,2
2016/11/24 17:10,2016/11/24 17:16,4,2,3,2,2,1,1,4,2,4,2,2,1,1,1,1,1,1,4,4,3,3,3,4,5,5,4,4,4,3,3,3,3,5,4,2,4,3,4,3,4,5,4,3,3,3,3,3,1,3,4,2,2,2,4,3,6,6,3,6,5,5,6,5,6,4,5,5,6,5,2,23,5,5,5,2,2,,,1,,,,0,1,1,2,1,2,1,2,3,1,1,3,3,1,1,2,1,2,2,3,3,4,5,5,6,4,4,5,5,6,2,5,3,5,4,6,6
2016/11/24 17:07,2016/11/24 17:18,3,3,3,3,3,3,3,4,3,1,1,1,1,1,1,1,1,1,1,4,3,5,1,5,1,4,1,2,1,5,1,5,1,4,2,4,2,4,4,5,5,5,1,5,1,3,5,5,0,0,3,1,4,2,6,7,6,4,5,5,5,5,3,5,5,5,6,5,5,5,2,28,7,6,4,4,5,,1,,,,,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,6,4,6,6,4,4,4,7,7,7,1,4,4,3,3,7,3
2016/11/24 17:10,2016/11/24 17:21,4,4,2,1,3,1,1,4,1,3,2,3,1,2,1,1,1,1,4,5,4,5,3,3,4,4,3,3,3,4,2,5,5,3,2,3,3,3,4,4,5,3,4,4,4,3,4,3,4,4,3,4,4,2,5,4,7,5,5,5,4,5,4,5,5,5,6,5,4,5,2,21,5,5,5,2,3,,,,,1,,0,2,2,2,1,2,3,2,4,3,2,1,1,1,2,1,2,2,3,4,5,4,3,5,5,6,4,5,6,5,3,4,5,3,4,7,4
2016/11/24 17:09,2016/11/24 17:22,2,3,1,1,1,1,1,2,3,1,1,1,2,1,1,2,2,1,2,4,1,3,1,1,3,4,2,3,4,5,2,4,4,4,2,4,2,4,2,5,5,4,2,4,3,3,4,3,0,4,2,1,3,4,6,4,8,5,3,5,2,3,4,3,5,4,4,4,3,5,2,22,5,5,4,3,1,,,,,,1,1,3,1,1,1,1,1,1,1,1,1,3,4,3,3,1,3,2,2,3,5,5,2,6,5,7,7,,,,,,,,,,
2016/11/24 17:09,2016/11/24 17:22,1,1,1,1,1,1,1,1,1,2,5,5,5,5,3,4,2,5,3,4,3,1,4,1,5,4,3,4,4,1,3,4,5,5,1,4,4,3,1,4,5,4,1,4,4,3,3,3,2,3,2,4,4,3,2,3,2,3,2,4,2,4,2,1,4,2,2,6,4,4,1,24,7,3,3,1,1,1,,,,,,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,5,4,1,4,4,6,4,3,4,7,1,4,4,2,2,5,4
2016/11/24 17:15,2016/11/24 17:28,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,5,4,2,4,4,5,5,3,5,4,4,4,3,4,5,4,4,4,5,2,5,5,4,4,3,4,3,5,4,1,0,1,3,2,2,4,3,5,4,4,5,4,3,5,3,4,6,4,4,3,5,1,26,7,5,5,5,4,,,1,,,,0,1,1,1,1,1,1,1,1,1,1,4,4,3,3,3,3,2,3,5,3,6,3,3,4,6,5,,,,,,,,,,
2016/11/24 17:16,2016/11/24 17:28,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,3,2,2,4,3,1,2,4,4,2,3,5,4,4,3,4,3,2,4,3,4,3,2,3,3,4,4,2,2,3,3,5,4,5,3,7,4,5,4,4,4,3,2,3,5,4,5,2,3,2,23,5,3,4,4,2,,,,1,,,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,3,5,4,6,5,6,6,4,2,7,6,2,4,4,3,3,5,2
2016/11/24 17:06,2016/11/24 17:32,1,3,3,1,1,1,1,3,4,1,2,3,1,1,1,1,1,1,2,4,1,2,2,2,4,2,4,1,2,4,1,4,4,3,4,5,5,4,2,4,5,2,2,4,3,3,3,4,1,3,1,3,5,4,4,2,5,3,4,4,4,2,4,2,4,4,5,4,3,3,2,18,4,3,3,3,1,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,2,5,2,4,7,6,7,4,6,7,5,2,6,6,3,1,5,5
2016/11/24 17:28,2016/11/24 17:38,4,2,2,3,3,2,3,4,1,1,1,1,1,1,1,1,1,1,3,3,4,4,2,4,3,3,4,3,3,4,4,4,3,4,3,4,4,4,2,4,5,3,4,3,4,3,3,4,3,4,3,2,4,2,5,4,7,4,5,5,4,5,6,5,5,5,5,5,4,4,1,22,5,5,5,3,1,1,,,,,,0,4,4,3,1,1,1,1,4,1,1,3,4,1,2,1,1,1,1,4,6,4,5,6,6,5,4,5,4,5,2,4,5,4,5,5,5
2016/11/24 17:49,2016/11/24 17:58,4,2,4,1,1,2,3,2,3,1,1,1,1,1,2,1,1,1,4,4,4,4,3,4,4,5,4,4,4,5,4,3,4,5,3,5,3,4,4,3,4,3,3,4,4,3,4,2,1,3,3,4,3,4,5,4,7,6,4,5,5,5,5,4,5,5,5,4,5,6,2,21,5,5,5,3,2,,,,,1,,0,2,2,1,1,2,1,3,2,1,1,2,3,1,2,2,1,1,1,4,5,5,5,5,6,4,4,4,4,5,2,4,5,5,4,6,3
2016/11/24 18:37,2016/11/24 18:48,3,3,4,3,3,4,3,4,5,2,1,1,2,1,2,1,1,1,2,4,2,3,3,4,3,4,4,4,4,4,2,4,4,3,4,3,4,3,3,4,4,4,3,3,4,3,2,4,3,3,3,4,3,4,5,3,7,4,4,5,4,4,4,5,5,4,5,5,5,5,1,28,6,3,2,3,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,2,2,5,2,5,3,5,4,4,6,3,6,4,6,7,6,2,3,4,2,2,5,1
2016/11/24 18:37,2016/11/24 18:55,3,3,3,3,3,1,3,2,4,1,1,1,1,1,2,1,1,1,1,3,3,2,1,2,4,2,1,1,2,3,1,4,2,1,5,4,2,5,3,3,5,4,1,2,3,3,2,3,2,2,3,2,5,5,5,3,6,2,6,6,6,5,5,5,5,5,5,3,5,6,2,22,5,3,2,2,2,,,1,,,,0,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,4,6,4,5,6,7,6,4,4,5,4,1,6,5,2,2,5,1
2016/11/24 18:44,2016/11/24 18:55,2,3,3,2,2,1,1,2,3,4,2,1,1,1,3,1,1,1,2,4,4,2,1,2,4,4,2,2,5,4,1,2,4,5,4,4,5,4,5,4,5,2,3,5,4,3,2,4,2,2,4,3,5,4,4,4,5,3,5,3,4,5,4,4,5,4,6,5,5,5,2,21,5,3,4,3,4,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,3,1,4,1,6,6,7,7,6,7,4,7,7,7,2,2,5,4,5,6,4
2016/11/24 18:36,2016/11/24 19:00,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,3,2,2,2,5,3,4,2,2,4,4,5,4,2,4,4,3,4,3,3,3,3,3,4,4,6,8,7,5,5,5,5,5,5,5,4,5,4,4,4,5,2,25,7,5,5,5,4,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,4,5,5,6,5,6,6,4,4,6,5,2,3,4,2,1,5,1
2016/11/24 19:05,2016/11/24 19:17,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,4,4,3,2,4,4,3,3,3,3,2,2,4,4,3,4,4,3,4,2,4,4,4,3,4,4,3,3,4,3,3,3,3,4,4,4,4,6,3,4,3,3,4,4,4,4,4,4,4,3,4,2,22,5,3,4,2,2,1,,,,,,0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,3,6,5,3,6,6,6,4,5,5,5,2,5,5,3,3,6,2
2016/11/24 18:44,2016/11/24 20:23,2,3,3,2,2,3,2,4,3,1,1,1,1,1,1,1,2,1,3,1,2,3,2,3,3,5,2,1,2,4,2,3,4,5,3,4,2,3,5,3,3,3,2,3,4,3,4,3,0,1,3,3,4,4,4,3,4,3,4,4,3,4,3,4,3,3,4,4,4,3,2,27,5,5,3,5,4,,,,,1,,0,3,2,1,1,3,1,1,3,1,1,2,1,3,3,1,3,1,3,2,5,4,6,6,6,5,7,,,,,,,,,,
2016/11/24 21:00,2016/11/24 21:45,3,3,3,3,4,1,1,2,1,1,1,1,4,1,1,1,1,1,1,3,2,4,1,2,4,4,1,1,2,4,1,4,2,4,4,4,2,4,4,4,5,4,1,4,2,3,3,4,1,1,0,1,5,4,5,5,7,5,6,5,5,3,5,5,5,5,5,5,5,5,2,22,7,3,3,2,2,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,5,5,3,6,4,4,4,6,7,7,1,4,4,2,2,4,1
2016/11/25 8:31,2016/11/25 8:42,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,3,5,4,2,3,3,2,2,4,3,2,4,2,4,3,4,4,4,2,3,2,3,5,4,1,4,4,3,2,2,3,3,2,3,5,3,5,4,5,4,5,5,4,4,4,5,4,3,3,4,4,3,1,18,5,5,5,4,4,,,1,,,,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,6,4,6,5,5,5,4,5,4,4,1,4,4,2,3,6,1
2016/11/25 8:57,2016/11/25 9:18,4,4,4,4,5,3,4,5,5,1,2,2,3,2,2,1,2,1,4,5,5,3,2,2,4,5,4,2,5,3,3,2,5,3,4,5,5,5,2,5,4,5,3,4,5,3,4,5,2,1,1,1,4,2,4,5,5,5,5,5,4,2,2,5,2,4,1,1,2,2,2,22,6,6,4,5,2,,1,,,,,1,3,2,1,1,1,1,1,3,1,2,1,2,2,5,1,2,3,2,1,6,4,7,7,7,7,7,,,,,,,,,,
2016/11/25 9:23,2016/11/25 9:36,3,3,4,2,2,4,4,2,5,3,1,1,1,1,1,1,1,1,1,2,2,2,1,4,4,1,1,2,3,2,1,2,4,1,3,2,4,4,2,4,5,2,2,4,4,3,3,4,1,1,2,3,4,3,4,3,6,3,5,5,4,4,4,4,4,4,4,1,2,2,2,25,6,4,5,2,4,,,,1,,,1,2,2,1,1,1,1,1,3,2,1,4,1,1,1,1,1,1,4,3,6,5,4,6,5,7,4,6,5,4,1,5,5,2,1,5,1
2016/11/25 16:23,2016/11/25 16:27,3,3,2,3,2,1,2,3,3,2,2,2,3,3,3,2,1,1,2,2,5,4,4,1,5,2,4,2,4,4,3,2,5,4,3,1,3,2,2,2,3,2,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/11/25 16:22,2016/11/25 16:37,3,3,2,2,4,3,3,2,2,4,4,4,4,2,2,2,2,2,1,4,4,4,1,2,2,4,2,3,2,5,1,5,2,4,5,3,2,4,5,4,4,5,1,5,5,3,4,4,3,3,4,5,4,4,5,7,8,3,3,3,3,4,3,3,3,3,3,5,3,5,2,28,6,5,4,5,3,,,,,,1,1,1,4,3,3,3,2,3,2,1,1,1,1,1,1,1,1,1,1,5,5,4,4,5,6,6,5,,,,,,,,,,
2016/11/25 16:23,2016/11/25 16:37,3,3,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,4,2,4,2,3,1,2,3,4,4,2,3,4,2,2,5,4,4,3,4,2,3,4,2,3,4,4,3,4,4,1,4,3,4,4,5,5,4,7,4,5,4,5,2,4,4,3,3,5,4,2,4,1,21,5,5,4,4,2,1,,,,,,0,1,1,1,1,1,1,1,1,1,3,4,2,2,3,3,4,1,3,1,5,2,3,6,3,6,7,,,,,,,,,,
