"impactS","impact2S","ReversibleS","EasyLoseS","mcheckS","ReversibleB","ImpactB","ImpactfulB","EasyLose","mcchekB","sex","attcheck","country","race","educat","age_1","eduyrs_1","job","feedback","software_DO_EarlyNegativeS","Basketball_DO_EarlyNegativeB","software_DO_FinalPositiveS","Basketball_DO_FinalPositiveB","software_DO_EarlyPositiveS","Basketball_DO_EarlyPositiveB","software_DO_FinalNegativeS","Basketball_DO_FinalNegativeB","filter_$","Timing","Outcome change","IMPACT_B","IMPACT_S","REVERSIBILITY_B","REVERSIBILITY_S"
4,4,6,6,,4,6,5,3,,2,2,1,1,1,53.0,20.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.5,4.0,3.5,6.0
1,2,7,7,,2,7,7,2,,2,2,1,1,2,57.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",7.0,1.5,2.0,7.0
6,6,6,6,,6,2,2,6,,1,2,1,2,2,32.0,11.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,6.0,6.0,6.0
5,5,5,6,,5,5,3,5,,2,2,1,1,4,28.0,12.0,2,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,5.0,5.0,5.5
4,5,5,5,,5,3,4,5,,2,2,1,1,4,45.0,13.0,2,"none",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.5,4.5,5.0,5.0
4,4,5,5,,4,5,4,5,,1,2,1,1,2,28.0,17.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.5,4.0,4.5,5.0
2,2,6,6,,7,1,1,7,,2,2,1,1,2,28.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",1.0,2.0,7.0,6.0
3,3,5,6,,5,4,5,7,,1,2,1,1,5,28.0,12.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.5,3.0,6.0,5.5
3,3,5,5,,4,3,3,5,,1,2,1,1,4,47.0,14.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.0,3.0,4.5,5.0
6,5,5,4,,3,6,6,3,,2,2,1,1,4,27.0,15.0,1,"good",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",6.0,5.5,3.0,4.5
3,2,6,5,,4,1,1,5,,1,2,1,2,2,23.0,17.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.0,2.5,4.5,5.5
3,4,5,5,,4,1,2,4,,1,2,1,1,2,41.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.5,3.5,4.0,5.0
5,5,6,5,,4,5,4,4,,2,2,1,1,3,33.0,15.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.5,5.0,4.0,5.5
5,4,3,3,,3,1,2,7,,2,2,1,1,4,34.0,14.0,1,"Interesting survey",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.5,4.5,5.0,3.0
3,3,4,4,,4,3,3,4,,2,2,1,1,4,23.0,13.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,3.0,4.0,4.0
5,5,4,4,,4,4,4,4,,2,2,1,1,2,37.0,17.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.0,5.0,4.0,4.0
7,6,4,3,,7,1,1,7,,1,2,1,1,2,38.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",1.0,6.5,7.0,3.5
2,3,4,5,,5,3,3,3,,2,2,1,1,3,44.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.0,2.5,4.0,4.5
2,3,4,5,,4,3,2,3,,1,2,1,1,1,27.0,16.0,1,"interesting",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.5,2.5,3.5,4.5
5,4,4,6,,3,5,5,6,,1,2,1,1,2,27.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",5.0,4.5,4.5,5.0
3,3,5,5,,5,3,2,5,,2,2,1,5,4,40.0,12.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",2.5,3.0,5.0,5.0
5,4,6,6,,6,5,6,5,,2,2,1,2,2,23.0,15.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.5,4.5,5.5,6.0
4,4,5,4,,4,5,5,5,,2,2,1,3,2,31.0,18.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,4.0,4.5,4.5
3,3,5,5,,4,6,6,4,,1,2,1,1,3,49.0,15.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",6.0,3.0,4.0,5.0
3,3,5,4,,7,4,4,7,,2,2,1,1,2,33.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,3.0,7.0,4.5
5,5,6,6,,6,3,4,6,,2,2,1,1,3,44.0,14.0,6,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.5,5.0,6.0,6.0
2,3,4,2,,6,4,5,6,,2,2,1,1,3,31.0,13.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.5,2.5,6.0,3.0
3,3,3,5,,3,3,3,3,,1,2,1,1,4,20.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,3.0,3.0,4.0
7,4,1,3,,1,3,1,7,,1,2,1,1,2,35.0,20.0,1,"I enjoyed taking this study/survey.",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,5.5,4.0,2.0
5,6,5,5,,6,5,6,7,,1,2,1,1,2,44.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.5,5.5,6.5,5.0
3,3,5,5,,5,4,4,5,,1,2,1,5,2,27.0,16.0,2,"Some of the questions were worded weirdly and maybe didn't have the right grammar.",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.0,3.0,5.0,5.0
6,5,1,4,,3,5,4,3,,2,2,1,1,2,32.0,14.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.5,5.5,3.0,2.5
3,3,4,4,,4,3,3,4,,1,2,1,5,4,27.0,12.0,1,"Great study, a little lengthy tho, should pay more.",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,3.0,4.0,4.0
4,4,5,4,,2,6,6,2,,2,2,1,1,2,49.0,17.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",6.0,4.0,2.0,4.5
6,6,5,7,,4,1,5,4,,1,2,1,1,2,33.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.0,6.0,4.0,6.0
4,3,2,4,,6,2,2,5,,2,2,1,1,2,34.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",2.0,3.5,5.5,3.0
5,4,4,4,,4,2,2,6,,2,2,1,1,2,33.0,19.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,4.5,5.0,4.0
4,4,4,4,,4,4,4,4,,2,2,1,4,2,36.0,20.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,4.0,4.0,4.0
4,4,5,5,,5,3,6,4,,1,2,1,1,2,29.0,7.0,1,"Thanks",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.5,4.0,4.5,5.0
3,3,4,3,,2,1,2,2,,2,2,1,2,4,44.0,15.0,1,"N/A",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.5,3.0,2.0,3.5
4,4,7,7,,7,1,1,7,,1,2,1,1,1,54.0,18.0,2,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",1.0,4.0,7.0,7.0
3,4,4,6,,4,2,4,4,,1,2,1,1,4,54.0,14.0,3,"none",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.0,3.5,4.0,5.0
7,7,4,4,,4,4,4,4,,1,2,1,1,2,55.0,16.0,7,"On the question about Julie and what she replied to her husband about whether or not she was cheating, The answer for a couple of questions was grammatically incorrect.  It said""another thought popped into her head before he repined.(paraphrase).  Obviously this is a grammatical error.  i hope this is not why i haven't been able to get a secret code out of about 20% of the surveys i have completed recently.  It is not fair that we have to find grammar or spelling mistakes in a question to be paid for the su",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.0,7.0,4.0,4.0
5,6,2,3,,4,4,2,4,,2,2,1,4,4,29.0,12.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.0,5.5,4.0,2.5
7,7,4,3,,4,1,2,7,,1,2,1,2,4,33.0,14.0,1,"Good study",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.5,7.0,5.5,3.5
4,4,4,4,,4,4,4,4,,2,2,1,1,3,62.0,14.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.0,4.0,4.0,4.0
3,5,4,5,,5,3,4,4,,2,2,1,1,2,21.0,12.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.5,4.0,4.5,4.5
6,6,4,3,,4,5,5,4,,2,2,1,1,2,35.0,16.0,2,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,6.0,4.0,3.5
4,4,2,3,,7,1,1,7,,1,2,1,1,2,34.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",1.0,4.0,7.0,2.5
1,1,7,6,,4,1,1,6,,2,2,1,2,3,32.0,14.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.0,1.0,5.0,6.5
5,5,5,5,,5,7,7,5,,2,2,1,1,2,22.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",7.0,5.0,5.0,5.0
5,5,5,5,,4,5,5,4,,1,2,1,1,2,25.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",5.0,5.0,4.0,5.0
5,4,3,4,,4,5,4,4,,1,2,1,1,1,38.0,18.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.5,4.5,4.0,3.5
5,5,4,3,,4,2,4,2,,1,2,1,2,3,35.0,14.0,7,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,5.0,3.0,3.5
5,4,4,4,,3,4,3,4,,2,2,1,2,3,34.0,14.0,2,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.5,4.5,3.5,4.0
4,4,4,4,,4,5,4,4,,1,2,1,4,4,25.0,12.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.5,4.0,4.0,4.0
6,5,6,4,,6,7,5,4,,2,2,1,1,2,42.0,18.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",6.0,5.5,5.0,5.0
3,3,4,7,,4,4,3,5,,2,2,1,1,2,41.0,17.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.5,3.0,4.5,5.5
3,4,4,4,,4,4,4,4,,1,2,1,3,3,30.0,14.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,3.5,4.0,4.0
3,3,3,5,,4,2,2,6,,2,2,1,1,1,37.0,20.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,3.0,5.0,4.0
2,2,7,7,,4,6,6,4,,2,2,1,1,2,55.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",6.0,2.0,4.0,7.0
5,4,6,5,,6,2,2,6,,2,2,1,1,2,65.0,16.0,5,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,4.5,6.0,5.5
3,4,4,5,,4,1,2,5,,1,2,1,1,4,37.0,14.0,1,"None at all, thanks.",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.5,3.5,4.5,4.5
4,4,3,4,,4,3,3,5,,2,2,1,1,2,46.0,17.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.0,4.0,4.5,3.5
7,1,7,1,,7,1,1,7,,1,2,1,1,1,63.0,18.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.0,4.0,7.0,4.0
5,5,4,4,,4,5,5,4,,2,2,1,1,1,29.0,20.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,5.0,4.0,4.0
5,5,3,4,,4,4,3,4,,2,2,1,1,2,31.0,18.0,2,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.5,5.0,4.0,3.5
5,6,4,4,,6,2,2,6,,2,2,1,1,2,25.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,5.5,6.0,4.0
2,3,6,5,,4,2,3,6,,1,2,1,1,2,43.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.5,2.5,5.0,5.5
3,3,5,5,,6,1,3,7,,2,2,1,1,2,30.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",2.0,3.0,6.5,5.0
5,5,4,4,,4,3,3,4,,1,2,1,1,2,26.0,17.0,4,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.0,5.0,4.0,4.0
5,5,3,4,,6,2,2,5,,2,2,1,1,3,30.0,15.0,2,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,5.0,5.5,3.5
4,6,5,4,,3,3,4,4,,1,2,1,1,1,27.0,17.0,2,"good survey",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.5,5.0,3.5,4.5
7,7,7,6,,7,6,7,6,,1,2,1,1,1,28.0,17.0,1,"great work",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",6.5,7.0,6.5,6.5
4,3,4,6,,7,1,2,1,,2,2,1,1,4,54.0,12.0,5,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.5,3.5,4.0,5.0
4,5,5,4,,4,3,5,4,,1,2,1,1,2,23.0,16.0,4,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.0,4.5,4.0,4.5
5,5,4,4,,5,3,4,5,,2,2,1,2,1,52.0,19.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.5,5.0,5.0,4.0
1,2,5,6,,4,2,2,5,,2,2,1,1,2,38.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,1.5,4.5,5.5
3,3,5,5,,5,2,2,5,,2,2,1,1,1,34.0,18.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",2.0,3.0,5.0,5.0
4,5,5,3,,3,3,2,5,,2,2,1,1,1,32.0,20.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",2.5,4.5,4.0,4.0
4,5,4,4,,4,4,2,3,,1,2,1,1,2,39.0,16.0,1,"None",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,4.5,3.5,4.0
5,5,4,5,,3,4,4,3,,2,2,1,5,2,41.0,18.0,2,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.0,5.0,3.0,4.5
6,4,3,4,,4,6,4,2,,1,2,1,1,3,25.0,15.0,1,"no one",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",5.0,5.0,3.0,3.5
5,5,6,6,,4,4,5,5,,1,2,1,1,1,35.0,19.0,1,"None.",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.5,5.0,4.5,6.0
5,6,3,3,,6,1,1,5,,1,2,1,1,1,55.0,20.0,3,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.0,5.5,5.5,3.0
2,2,7,7,,4,4,2,6,,1,2,1,1,3,57.0,14.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.0,2.0,5.0,7.0
5,5,5,4,,5,5,3,5,,2,2,1,1,4,25.0,15.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,5.0,5.0,4.5
2,2,4,5,,5,1,1,6,,2,2,1,1,1,29.0,18.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.0,2.0,5.5,4.5
3,3,6,6,,4,3,3,4,,1,2,1,1,2,27.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,3.0,4.0,6.0
3,2,4,5,,4,2,2,6,,1,2,1,1,2,35.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,2.5,5.0,4.5
7,7,7,7,,7,7,7,1,,1,2,1,4,3,28.0,10.0,2,"none",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",7.0,7.0,4.0,7.0
5,5,4,4,,5,3,5,5,,2,2,1,1,1,45.0,18.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.0,5.0,5.0,4.0
4,5,5,4,,4,5,6,4,,2,2,1,3,2,40.0,13.0,3,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.5,4.5,4.0,4.5
6,7,6,3,,4,4,5,5,,2,2,1,1,3,37.0,14.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.5,6.5,4.5,4.5
6,6,4,4,,4,4,4,4,,1,2,1,4,2,46.0,19.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.0,6.0,4.0,4.0
6,6,6,6,,6,5,5,6,,2,2,1,1,2,42.0,14.0,1,"good survey",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,6.0,6.0,6.0
4,4,5,5,,6,3,3,5,,1,2,1,1,2,35.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.0,4.0,5.5,5.0
5,4,5,5,,2,6,6,2,,1,2,1,1,2,28.0,8.0,1,"nice analysis",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",6.0,4.5,2.0,5.0
6,6,4,4,,3,5,5,3,,1,2,1,1,1,30.0,14.0,1,"NO",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,6.0,3.0,4.0
1,3,4,4,,4,1,2,4,,2,2,1,1,4,20.0,13.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",1.5,2.0,4.0,4.0
4,5,4,3,,4,4,5,4,,2,2,1,1,3,28.0,17.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.5,4.5,4.0,3.5
6,2,3,6,,6,6,6,6,,1,2,1,1,5,49.0,10.0,3,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",6.0,4.0,6.0,4.5
5,5,5,4,,6,2,2,6,,2,2,1,1,2,40.0,17.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,5.0,6.0,4.5
3,3,4,5,,5,5,3,5,,2,2,1,1,2,29.0,15.0,1,"No comment.",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,3.0,5.0,4.5
4,4,4,7,,5,4,4,5,,1,2,1,1,6,37.0,9.0,3,"Thank you",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,4.0,5.0,5.5
2,2,5,5,,7,3,1,7,,1,2,1,1,1,25.0,17.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",2.0,2.0,7.0,5.0
5,5,4,3,,5,5,5,4,,2,2,1,1,2,40.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,5.0,4.5,3.5
3,3,4,4,,5,2,2,5,,1,2,1,4,2,23.0,16.0,4,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,3.0,5.0,4.0
5,5,3,4,,4,4,5,4,,1,2,1,1,3,25.0,14.0,1,"no feedback, thank you.",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.5,5.0,4.0,3.5
3,3,5,7,,7,1,1,7,,2,2,1,1,4,37.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",1.0,3.0,7.0,6.0
4,5,4,4,,5,5,5,5,,1,2,1,4,4,30.0,12.0,1,"nogracias",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,4.5,5.0,4.0
4,3,4,3,,4,3,4,4,,1,2,1,1,2,33.0,16.0,1,"No",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.5,3.5,4.0,3.5
4,3,3,3,,6,3,3,6,,1,2,1,1,2,36.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.0,3.5,6.0,3.0
5,5,5,5,,5,5,5,5,,1,2,1,1,2,36.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",5.0,5.0,5.0,5.0
5,5,3,3,,5,2,2,5,,2,2,1,1,2,29.0,17.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,5.0,5.0,3.0
5,5,4,4,,4,3,3,4,,1,2,1,1,2,26.0,17.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,5.0,4.0,4.0
2,2,6,5,,6,7,7,4,,1,2,1,1,1,39.0,18.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",7.0,2.0,5.0,5.5
3,3,5,6,,4,2,2,6,,1,2,1,1,2,52.0,16.0,1,"Thank you and good luck with your research!",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,3.0,5.0,5.5
5,7,3,2,,4,1,2,4,,2,2,1,1,4,27.0,12.0,3,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.5,6.0,4.0,2.5
2,2,5,6,,4,4,4,4,,2,2,1,2,4,30.0,13.0,6,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,2.0,4.0,5.5
6,5,3,3,,6,2,2,6,,1,2,1,1,4,26.0,12.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,5.5,6.0,3.0
6,5,3,2,,3,5,6,3,,1,2,1,1,2,25.0,13.0,1,"great study",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.5,5.5,3.0,2.5
6,6,4,3,,2,4,5,5,,1,2,1,3,2,30.0,16.0,1,"no comment",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.5,6.0,3.5,3.5
4,5,2,3,,4,5,6,4,,2,2,1,1,3,28.0,14.0,6,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",5.5,4.5,4.0,2.5
4,4,6,3,,7,4,4,7,,1,2,1,1,1,55.0,15.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,4.0,7.0,4.5
6,6,3,3,,5,5,5,6,,1,2,1,1,3,24.0,14.0,2,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,6.0,5.5,3.0
7,6,7,6,,6,7,6,6,,1,2,1,1,1,86.0,17.0,1,"good survey",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",6.5,6.5,6.0,6.5
4,4,4,4,,4,4,5,3,,1,2,1,1,1,30.0,18.0,1,"no comment",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.5,4.0,3.5,4.0
4,4,4,5,,6,3,4,5,,2,2,1,1,4,31.0,14.0,2,"I answered that the answers were probably not the first things that popped into the individual's heads because they probably thought something like ""how dare he accuse me of that!"" or a cuss word or something that they repressed.",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.5,4.0,5.5,4.5
3,6,7,2,,1,6,6,6,,1,2,1,1,3,25.0,12.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",6.0,4.5,3.5,4.5
7,7,5,3,,4,7,5,1,,2,2,1,1,2,32.0,12.0,1,"good study",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",6.0,7.0,2.5,4.0
3,5,6,6,,4,3,5,5,,1,2,1,1,2,30.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,4.0,4.5,6.0
3,3,2,4,,6,5,5,3,,2,2,1,1,2,70.0,16.0,5,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,3.0,4.5,3.0
3,3,5,5,,4,3,3,4,,2,2,1,1,2,36.0,16.0,6,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,3.0,4.0,5.0
1,1,4,7,,5,3,3,6,,2,2,1,1,2,29.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.0,1.0,5.5,5.5
3,3,5,4,,4,1,2,4,,1,2,1,3,2,32.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.5,3.0,4.0,4.5
5,5,3,3,,5,2,2,3,,2,2,1,1,2,47.0,16.0,2,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,5.0,4.0,3.0
6,6,4,3,,5,4,5,4,,1,2,1,1,2,30.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.5,6.0,4.5,3.5
6,5,3,5,,5,3,4,5,,2,2,1,5,3,45.0,15.0,2,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.5,5.5,5.0,4.0
3,2,7,7,,5,7,6,6,,2,2,1,1,2,28.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",6.5,2.5,5.5,7.0
5,5,3,3,,4,6,6,3,,1,2,1,2,4,37.0,12.0,1,"n/a",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",6.0,5.0,3.5,3.0
4,4,4,3,,5,1,2,5,,2,2,1,1,2,20.0,14.0,4,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.5,4.0,5.0,3.5
4,4,5,5,,5,4,4,3,,2,2,1,1,4,67.0,12.0,5,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.0,4.0,4.0,5.0
4,4,5,5,,4,3,3,4,,2,2,1,1,3,31.0,15.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,4.0,4.0,5.0
3,3,4,5,,4,7,7,4,,1,2,1,1,3,47.0,14.0,1,"Thank you. Very interesting survey!",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",7.0,3.0,4.0,4.5
7,7,2,7,,5,6,7,4,,1,2,1,1,2,34.0,18.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",6.5,7.0,4.5,4.5
7,4,5,4,,4,6,7,4,,2,2,1,1,4,43.0,13.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",6.5,5.5,4.0,4.5
5,5,3,4,,6,5,5,2,,2,2,1,1,3,37.0,16.0,2,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,5.0,4.0,3.5
5,3,4,4,,5,1,2,4,,2,2,1,1,2,43.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.5,4.0,4.5,4.0
2,2,5,5,,4,1,2,4,,1,2,1,1,2,45.0,16.0,1,"none",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.5,2.0,4.0,5.0
5,5,3,3,,4,5,3,4,,2,2,1,1,4,37.0,13.0,2,"Thank you",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,5.0,4.0,3.0
6,6,5,3,,3,4,6,3,,2,2,1,1,2,43.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,6.0,3.0,4.0
5,5,3,3,,5,4,4,5,,2,2,1,2,2,31.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,5.0,5.0,3.0
5,3,5,2,,4,2,2,4,,1,2,1,1,6,28.0,9.0,3,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,4.0,4.0,3.5
