subjID,trialNum,uniqueID,trialType,numInSequence,numCorrect,ITI,Total Trial Duration,Correct Sequence,Response Sequence,Accuracy
100,1,5,space,6,6,1.5,17.8101842,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle']",1
100,2,9,space,6,6,1.5,18.3122057,"['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Diamond', 'Pentagon']","['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Diamond', 'Pentagon']",1
100,3,9,space,7,7,1.5,23.3286174,"['Circle', 'Diamond', 'Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond']",1
100,4,7,space,6,6,1.5,18.4981529,"['Circle', 'Pentagon', 'Diamond', 'Circle', 'Circle', 'Circle']","['Circle', 'Pentagon', 'Diamond', 'Circle', 'Circle', 'Circle']",1
100,5,6,space,6,6,1.5,21.1052154,"['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond']",1
100,6,4,space,5,5,1.5,15.0669252,"['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Diamond']","['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Diamond']",1
100,7,1,space,5,5,1.5,16.553443,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle']",1
100,8,14,space,7,7,1.5,19.2289091,"['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Pentagon', 'Circle', 'Circle']","['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Pentagon', 'Circle', 'Circle']",1
100,9,10,space,6,6,1.5,17.7748602,"['Pentagon', 'Diamond', 'Circle', 'Circle', 'Circle', 'Diamond']","['Pentagon', 'Diamond', 'Circle', 'Circle', 'Circle', 'Diamond']",1
100,10,8,space,6,6,1.5,16.4869743,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon']","['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon']",1
100,11,2,space,5,5,1.5,15.0251697,"['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Diamond']",1
100,12,3,space,5,5,1.5,14.6327436,"['Circle', 'Diamond', 'Pentagon', 'Circle', 'Circle']","['Circle', 'Diamond', 'Pentagon', 'Circle', 'Circle']",1
100,13,12,space,7,7,1.5,18.8894826,"['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Pentagon', 'Circle', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Pentagon', 'Circle', 'Circle']",1
100,14,6,space,5,5,1.5,15.017784,"['Diamond', 'Circle', 'Pentagon', 'Circle', 'Circle']","['Diamond', 'Circle', 'Pentagon', 'Circle', 'Circle']",1
100,15,13,space,7,7,1.5,18.9419939,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon']",1
100,16,10,space,7,7,1.5,19.2671854,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Circle', 'Diamond', 'Pentagon']","['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Circle', 'Diamond', 'Pentagon']",1
100,17,11,space,7,7,1.5,21.4258239,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Pentagon']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Pentagon']",1
100,18,5,space,5,5,1.5,14.5774913,"['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Diamond']","['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Diamond']",1
100,1,13,color,7,7,1.5,19.5477545,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Pentagon']",1
100,2,6,color,5,5,1.5,15.2622031,"['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon']",1
100,3,9,color,7,7,1.5,18.0223315,"['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Diamond', 'Diamond', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Diamond', 'Diamond', 'Circle']",1
100,4,4,color,5,5,1.5,14.3435505,"['Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle']","['Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle']",1
100,5,8,color,6,6,1.5,20.2734197,"['Diamond', 'Circle', 'Pentagon', 'Circle', 'Circle', 'Diamond']","['Diamond', 'Circle', 'Pentagon', 'Circle', 'Circle', 'Diamond']",1
100,6,6,color,6,6,1.5,17.1734744,"['Circle', 'Pentagon', 'Diamond', 'Circle', 'Diamond', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Circle', 'Diamond', 'Pentagon']",1
100,7,5,color,5,5,1.5,14.298008,"['Pentagon', 'Diamond', 'Circle', 'Circle', 'Pentagon']","['Pentagon', 'Diamond', 'Circle', 'Circle', 'Pentagon']",1
100,8,3,color,5,5,1.5,15.351265,"['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Circle']",1
