Subject	Group	Sex	NNN	NNY	NYN	NYY	YNN	YNY	YYN	YYY
432	1	1.00	0.0	0.0	5.6	11.1	0.0	0.0	5.6	11.1
433	1	1.00	5.6	0.0	0.0	5.6	16.7	5.6	0.0	5.6
434	1	2.00	0.0	0.0	11.1	11.1	5.6	5.6	11.1	27.8
435	1	2.00	5.6	5.6	11.1	11.1	5.6	5.6	5.6	0.0
436	1	2.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
437	1	1.00	0.0	5.6	5.6	5.6	0.0	0.0	0.0	0.0
438	1	1.00	5.6	0.0	5.6	0.0	0.0	0.0	0.0	5.6
439	1	2.00	0.0	0.0	11.1	11.1	5.6	5.6	11.1	22.2
441	1	1.00	16.7	0.0	11.1	16.7	0.0	0.0	27.8	5.6
442	1	2.00	0.0	0.0	5.6	0.0	0.0	0.0	11.1	16.7
443	1	2.00	5.6	5.6	0.0	0.0	5.6	0.0	0.0	5.6
444	1	2.00	11.1	0.0	27.8	11.1	0.0	11.1	27.8	5.6
445	1	2.00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.1
446	1	2.00	0.0	0.0	0.0	5.6	5.6	0.0	0.0	5.6
447	1	2.00	0.0	0.0	0.0	5.6	0.0	0.0	0.0	0.0
448	1	1.00	0.0	0.0	11.1	0.0	0.0	5.6	11.1	5.6
449	1	1.00	5.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
450	1	1.00	0.0	0.0	0.0	5.6	0.0	0.0	11.1	0.0
451	1	2.00	0.0	5.6	0.0	0.0	16.7	0.0	5.6	5.6
452	1	2.00	0.0	5.6	0.0	0.0	0.0	5.6	0.0	0.0
