IDs,age,ageDifference,gender,genderDifference,fullLiking_1,fullLiking_2,fullLiking_3,fullLiking_4,fullLiking_5,liking,similarity,positionFirst,positionSecond,distance,orientationFirst,orientationSecond,extremityFirst,extremitySecond,deltaExtremity,consistencyFirst,consistencySecond,certaintyFirst,certaintySecond,deltaCertainty
332,18,-1,1,0,4,3,3,4,2,3,1,3,-1,4,1,-1,3,1,2,-3,-1,5,5,0
350,39,0,1,0,5,5,5,5,2,5,1,2,3,1,1,1,2,3,-1,2,3,2,5,-3
348,27,9,0,0,4,4,4,4,3,4,2,1,-1,2,1,-1,1,1,0,-1,-1,5,5,0
18,46,-31,1,1,5,5,5,5,3,5,1,3,-2,5,1,-1,3,2,1,-3,-2,3,4,-1
39,51,4,1,0,4,3,3,3,2,3,3,1,-3,4,1,-1,1,3,-2,-1,-3,5,5,0
76,34,-2,1,0,5,4,5,5,1,5,4,-3,-1,2,-1,-1,3,1,2,3,1,5,5,0
81,29,-3,1,0,5,5,5,5,5,5,4,3,5,2,1,1,3,5,-2,3,5,5,5,0
72,19,8,0,0,5,5,5,5,4,5,2,2,4,2,1,1,2,4,-2,2,4,4,4,0
85,43,-26,0,1,5,4,5,5,5,5,5,3,3,0,1,1,3,3,0,3,3,5,5,0
82,50,-27,0,1,4,4,4,5,3,4,2,-1,1,2,-1,1,1,1,0,-1,-1,5,3,2
106,40,0,1,1,4,4,4,4,4,4,3,3,3,0,1,1,3,3,0,3,3,5,5,0
106,40,0,1,1,5,5,5,5,5,5,4,3,1,2,1,1,3,1,2,3,1,5,5,0
81,26,3,0,0,5,5,5,5,5,5,4,5,3,2,1,1,5,3,2,5,3,5,5,0
75,57,-43,1,1,5,5,5,5,5,5,4,2,1,1,1,1,2,1,1,2,1,4,5,-1
80,31,2,1,1,5,5,5,5,3,5,2,2,2,0,1,1,2,2,0,2,2,4,4,0
80,33,-2,1,1,4,4,4,5,4,4,2,2,2,0,1,1,2,2,0,2,2,4,4,0
77,32,-5,1,0,4,3,4,4,3,4,1,1,1,0,1,1,1,1,0,1,1,5,5,0
79,32,26,1,1,5,3,3,2,3,3,4,1,-1,2,1,-1,1,1,0,-1,-1,5,5,0
78,35,-12,1,1,4,3,4,3,2,4,3,-3,0,3,-1,0,3,0,3,0,-0,5,4,1
74,39,8,1,0,5,5,5,5,1,5,2,1,3,2,1,1,1,3,-2,1,3,5,5,0
65,27,13,1,1,5,5,5,5,5,5,2,1,1,0,1,1,1,1,0,1,1,5,3,2
119,21,27,1,0,5,5,5,5,2,5,4,1,-1,2,1,-1,1,1,0,-1,-1,5,5,0
