caseid,weight,sample,int_date,lang,cregion,state,usr,density,form,q1,q2a,q2b,q2c,q2e,q2f,q2gf1,q2hf2,q3,q4,q5a,q5b,q5c,q6,conf.external,conf.internal,q9f1,q9f1_code1,q9f1_code2,q9f1_code3,q12a,q12b,q13,evol1,evol2,evol.science3,q20f1,q21af2,q21bf2,q21cf2,global.warm.science,q24a,q24b,q24c,q24d,q24e,q24f,q25,q27,q28,q29,q30,big.bang.science,q33,q34,q35,q37,q38,gmo.science,q40,q41,knosct14,knosct15,knosct16,knosct17,knosct18,knosct19,knowledge.sum,sexz,agerec,educ2,scideg,hisp,racecmb,race3m1,race3m2,race3m3,race3m4,racethn,birth_hisp,usborn,marital,parent,citizen,relig,chr,born,attend,income,reg,party,partyln,ideo,hh1,hh3,eminuse,intmob,ql1,ql1a,qc1,believ,believ2,filter_$,agreement.science.MEAN,COO_1,COO_2,agreement.science.2MEAN,COO_3,COO_4,religion.2cat
205954,4.57142857142857,2,82114,1,4,6,U,4,2,2,3,2,4,3,3, ,4,3,2,1,1,1,1,1,1, , , , ,2,1,2,1,1,1, ,1,1, ,1,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,4,2,2,1,3,1,2,1,3,2,1,6,2,49,6,1,2,3,3, , , ,4, ,2,5,1,2,1, ,1,2,6,3,3,2,4,2,1,1,1, , ,2,1,1,1,1.25,.000173967544975778,.000216177751838947,1,.000397452731879568,.000459706622940235,1
205989,6.35714285714286,2,81914,1,4,53,R,1,2,2,2,1,3,3,2, ,4,1,1,1,2,1,1,1,2, , , , ,1,1,1,1,1,1, ,1,1, ,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,3,1,1,2,3,1,2,1,3,2,1,6,2,63,3, ,2,1,1, , , ,1, ,1,3,2, ,1, ,2,4,2,1,3,2,4,2,2,1,2, , ,2,1,1,1,1,.00171731203087838,.00214032175405307,1,.000739670271843313,.000802221648690475,1
206031,10.5,2,81914,1,3,28,R,1,2,2,2,3,4,3,3, ,2,4,2,2,1,1,2,1,1, , , , ,2,2,1,1,2,2, ,2, ,2,2,2,1,1,2,1,2,2,1,2,2,1,2,2,2,2,4,2,2,2,3,1,2,1,3,1,4,4,1,66,6,2,2,5,5, , , ,4, ,1,1,2, ,1, ,1,2,2,1,1, ,3,2,2,1,2, , ,2,1,1,1,2,.0011416250449807,.00135176421457341,2,.00102833196187417,.000891018527327071,1
206086,2.21428571428571,2,81914,1,3,48,S,3,1,2,2,1,2,3,2,1, ,1,1,1,1,1,1,2,2, , , , ,1,1,2,1,1,1,3, , , ,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,3,1,1,2,1,1,8,1,3,2,1,5,2,70,6,2,2,1,1, , , ,1, ,1,3,2, ,1, ,2,6,3,1,1, ,1,1, ,1,1, , ,2,1,1,1,1,.000990101335144079,.00117446671457824,1,.000457798899739423,.000366863356581454,1
206274,11.0714285714286,2,82014,1,3,12,S,3,2,1,3,2,3,4,9, ,3,3,1,1,1,1,1,2,1, , , , ,1,1,1,1,9,1, ,1,9, ,9,2,9,2,1,2,1,2,1,2,1,2,1,2,1,2,4,9,2,1,9,1,2,8,3,2,1,5,2,41,4, ,2,1,1, , , ,1, ,1,6,2, ,1, ,2,2,1,1,3,2,9,2,2,1,1, , ,2,1,1,1,1.33333333333333,.000156240938868422,.000193739413215759,1,.000830833694234413,.000558612640196282,1
206289,3.64285714285714,2,82014,1,1,36,U,5,1,2,3,1,2,3,2,3, ,1,1,2,1,2,1,1,2, , , , ,1,1,1,1,2,1,2, , , ,1,1,2,2,1,2,2,1,1,1,1,2,2,1,1,2,1,2,2,1,3,1,2,1,1,2,1,5,1,31,3, ,1,5,7, , , ,3,3, ,2,2,2,1, ,1,4,5,3,3,2,3,2,2,1,1, , ,2,1,1,1,1.5,2.79759469525371E-005,3.0397282919617E-005,1.5,6.27535013840924E-005,3.99513349312439E-005,1
206345,7.42857142857143,2,82314,1,1,36,U,5,2,9,2,1,9,2,3, ,1,1,2,1,1,1,2,1,2, , , , ,1,1,2,1,2,2, ,1,1, ,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,2,3,2,2,1,3,1,1,4,1,1,1,2,2,50,2, ,2,2,2, , , ,2, ,2,1,1,2,1, ,1,5,3,3,3,2,3,3,2,2,1, , ,2,1,1,1,1.5,2.78951901380886E-005,3.08419263671449E-005,1.5,2.9665915576576E-005,4.30449811711716E-005,1
206486,6.42857142857143,2,82014,1,3,48,S,3,1,2,2,1,2,1,3,1, ,2,1,1,1,1,1,1,1,1,2, , ,1,1,2,2, ,1,1, , , ,2,1,9,9,1,1,1,2,1,1,1,1,1,2,1,2,4,1,1,1,1,1,2,1,2,2,1,5,1,58,6,2,2,1,1, , , ,1, ,1,1,2, ,1, ,1,2,7,1,1, ,2,2,2,1,1, , ,2,1,1,1,1.25,.000247604756058314,.000298914745069083,1,.00050791017895107,.000549847476649484,1
206491,1.07142857142857,2,82014,1,2,17,S,4,2,2,1,3,4,4,1, ,4,2,1,1,1,1,2,2,1, , , , ,1,2,2,1,9,1, ,9, , ,2,2,1,1,1,1,9,1,1,1,1,1,2,2,2,1,4,1,9,1,3,8,2,8,3,8,2,2,1,71,8,2,2,1,1, , , ,1, ,1,1,2, ,1, ,2,2,8,1,1, ,1,2,2,1,1, , ,1,1,1,1,1.66666666666667,4.63352196545792E-005,7.31179908911706E-005,1.5,6.06751412250328E-005,2.40803155685098E-005,1
206508,4.64285714285714,2,82014,1,3,48,U,2,2,2,3,1,4,4,4, ,4,2,1,1,1,2,2,1,2, , , , ,1,1,1,2, ,2, ,2, ,2,2,1,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,3,2,1,5,2,59,4, ,2,1,1, , , ,1, ,1,1,2, ,1, ,1,1,10,1,1, ,2,2,2,1,2, , ,2,1,1,1,1.75,.000260807305714036,.000299625712979891,1.5,2.64042351579335E-005,1.05096309589451E-005,1
