condition	stimulus	cohort	unrel
None	bag	0.063157895	0.072340426
None	bark	0.048592642	0.08216977
None	barn	0.046487145	0.07535461
None	bat	0.093057111	0.077743561
None	beach	0.099955674	0.072556516
None	beak	0.135028812	0.083333333
None	bed	0.038009752	0.088015293
None	bell	0.055795656	0.087045656
None	braid	0.124742622	0.104552734
None	brain	0.077995521	0.073012318
None	bug	0.070589539	0.069869238
None	bus	0.051695479	0.046154699
None	cab	0.205655095	0.060330347
None	cake	0.098238032	0.05859375
None	cat	0.049312943	0.028424202
None	cave	0.115580674	0.067985372
None	cork	0.082945479	0.050698138
None	corn	0.094027039	0.062250665
None	crowd	0.147974196	0.078004753
None	crown	0.113031915	0.071586879
None	goal	0.080119681	0.092281693
None	goat	0.033577128	0.066295434
None	hole	0.153283002	0.151738733
None	horn	0.084441489	0.102005762
None	horse	0.048925089	0.046431738
None	hose	0.132299683	0.08652105
None	judge	0.106103024	0.098852184
None	jug	0.115580674	0.091201241
None	moon	0.129266401	0.095910904
None	moose	0.078568262	0.069204344
None	peace	0.099401596	0.075382314
None	peach	0.078291223	0.06576906
None	peak	0.137023493	0.121841755
None	peas	0.07485594	0.088292332
None	pig	0.077349291	0.063885195
None	pit	0.06299867	0.105413342
None	plane	0.109984486	0.092281693
None	plate	0.056848404	0.072140957
None	plug	0.06506159	0.085134378
None	plum	0.104087346	0.064613662
None	race	0.119625443	0.099678635
None	rake	0.059175532	0.069259752
None	robe	0.21143617	0.064023715
None	rose	0.162430011	0.043868981
None	snail	0.265032377	0.065130666
None	snake	0.137466755	0.058011968
None	web	0.094848824	0.066013438
None	well	0.094082447	0.078789894
SelfPaced	bag	0.128022244	0.092208656
SelfPaced	bark	0.072205918	0.078992419
SelfPaced	barn	0.092687699	0.089386158
SelfPaced	bat	0.137874758	0.091120648
SelfPaced	beach	0.170091876	0.107954545
SelfPaced	beak	0.179490351	0.103785255
SelfPaced	bed	0.05775076	0.097907412
SelfPaced	bell	0.102079847	0.084538609
SelfPaced	braid	0.152304965	0.104905437
SelfPaced	brain	0.112004352	0.092117988
SelfPaced	bug	0.08498818	0.071483452
SelfPaced	bus	0.104898565	0.090796635
SelfPaced	cab	0.266935681	0.079756664
SelfPaced	cake	0.117738465	0.071479799
SelfPaced	cat	0.062137331	0.038956721
SelfPaced	cave	0.153643923	0.09082294
SelfPaced	cork	0.145067698	0.080663685
SelfPaced	corn	0.107168762	0.058510638
SelfPaced	crowd	0.184779981	0.082869923
SelfPaced	crown	0.193423598	0.097860251
SelfPaced	goal	0.11285058	0.10677587
SelfPaced	goat	0.036448259	0.061230658
SelfPaced	hole	0.165072914	0.142212527
SelfPaced	horn	0.147364603	0.092843327
SelfPaced	horse	0.109707447	0.066459139
SelfPaced	hose	0.182397328	0.074653637
SelfPaced	judge	0.169693825	0.084782045
SelfPaced	jug	0.214172169	0.088560773
SelfPaced	moon	0.19699193	0.096570066
SelfPaced	moose	0.118320139	0.05600569
SelfPaced	peace	0.178520201	0.112598613
SelfPaced	peach	0.110432785	0.100126934
SelfPaced	peak	0.180606505	0.131266813
SelfPaced	peas	0.077718676	0.08679078
SelfPaced	pig	0.100452433	0.088805331
SelfPaced	pit	0.100459381	0.122310203
SelfPaced	plane	0.101970503	0.123186654
SelfPaced	plate	0.105527024	0.072053069
SelfPaced	plug	0.158229396	0.074376376
SelfPaced	plum	0.120345745	0.092329545
SelfPaced	race	0.213255075	0.10268403
SelfPaced	rake	0.116650173	0.093301583
SelfPaced	robe	0.224565909	0.08724627
SelfPaced	rose	0.200538029	0.079878944
SelfPaced	snail	0.322885005	0.084568136
SelfPaced	snake	0.170640743	0.086420885
SelfPaced	web	0.156189555	0.122310203
SelfPaced	well	0.151564456	0.106320401
