id,controlCond_1,controlCond_2
's02.mat',141.176470588235,188.235294117647
's03.mat',105.882352941176,141.176470588235
's04.mat',200,411.764705882353
's05.mat',176.470588235294,82.3529411764706
's06.mat',70.5882352941177,-17.6470588235294
's08.mat',123.529411764706,123.529411764706
's09.mat',-94.1176470588235,-111.764705882353
's10.mat',200,247.058823529412
's11.mat',135.294117647059,-58.8235294117647
's13.mat',164.705882352941,135.294117647059
's14.mat',223.529411764706,258.823529411765
's15.mat',94.1176470588235,135.294117647059
's16.mat',35.2941176470588,147.058823529412
's17.mat',364.705882352941,117.647058823529
's18.mat',35.2941176470588,17.6470588235294
's19.mat',-41.1764705882353,129.411764705882
's21.mat',241.176470588235,411.764705882353
's22.mat',35.2941176470588,258.823529411765
