scoreHard,scoreMedium,scoreEasy,scoreAverage,scoreComp,Round1,condition,perfChange1 ,momentum1,perfChange2,momentum2,likelyWin,playAgain,familiarTask,education,age,gender,fun,mood,easierHarder
6,6,14,9,12,Easy,negMom,1,50,2,50,3,1,1,3,24,2,4,5,2
5,11,14,10,9,Easy,negMom,3,50,1,5,4,1,1,3,29,1,2,5,2
5,5,10,7,9,Easy,negMom,3,51,2,33,4,1,1,2,35,1,5,5,2
9,11,12,11,0,Easy,negMom,4,73,3,59,3,2,2,3,36,2,4,5,2
6,9,10,8,12,Hard,posMom,5,100,5,99,5,1,3,3,40,2,5,6,3
7,10,12,10,14,Hard,posMom,6,67,6,73,9,1,2,2,37,1,6,6,1
16,12,7,12,0,Easy,negMom,7,95,7,99,10,2,3,3,24,1,4,5,3
11,12,14,12,0,Easy,negMom,3,20,1,5,1,2,2,3,27,2,2,4,2
14,26,24,21,25,Hard,posMom,6,79,5,67,9,1,2,3,43,2,2,5,3
1,10,10,7,5,Easy,negMom,4,67,3,24,5,1,2,3,26,2,4,5,2
1,8,5,5,0,Easy,negMom,4,97,3,77,10,2,2,2,41,1,1,2,2
7,12,18,12,15,Hard,posMom,7,93,7,98,4,1,1,2,43,2,6,1,1
8,6,11,8,0,Hard,posMom,2,13,6,33,3,2,1,2,21,2,2,4,1
1,1,0,1,0,Easy,negMom,4,0,4,0,1,2,1,2,37,2,2,1,3
8,8,8,8,0,Easy,negMom,4,50,4,50,1,2,4,3,43,2,4,4,1
7,10,15,11,0,Hard,posMom,5,50,6,71,4,2,2,3,40,2,2,5,3
1,2,3,2,0,Easy,negMom,3,50,1,0,1,2,1,2,41,2,2,1,2
8,12,14,11,13,Hard,posMom,5,62,6,80,9,1,4,4,58,2,6,7,3
8,10,12,10,0,Easy,negMom,3,69,2,4,1,2,2,3,25,2,1,4,2
1,7,6,5,0,Easy,negMom,4,80,1,11,1,2,1,3,38,1,4,2,2
6,3,8,6,8,Hard,posMom,4,47,5,65,5,1,2,2,43,1,4,4,3
6,6,9,7,11,Hard,posMom,4,86,6,84,7,1,2,3,37,2,2,6,1
5,6,7,6,10,Easy,negMom,4,78,3,80,5,1,3,4,41,2,5,5,2
1,2,3,2,3,Hard,posMom,1,5,4,0,1,1,1,2,34,2,2,4,3
30,24,28,27,0,Easy,negMom,3,91,4,48,2,2,2,3,29,2,4,4,3
9,9,10,9,13,Easy,negMom,3,47,3,48,5,1,2,2,35,2,6,6,2
7,15,16,13,17,Hard,posMom,6,45,5,50,7,1,2,4,46,2,1,4,1
3,5,6,5,6,Easy,negMom,3,100,1,100,3,1,3,3,66,2,4,6,2
12,7,12,10,0,Easy,negMom,1,34,4,50,1,2,2,3,30,2,2,4,3
3,6,10,6,0,Easy,negMom,2,80,1,7,1,2,2,2,77,2,2,6,2
8,10,14,11,10,Hard,posMom,5,54,6,70,8,1,4,3,40,2,5,6,3
4,5,12,7,12,Hard,posMom,5,51,6,62,5,1,1,2,41,2,5,6,1
1,1,6,3,0,Hard,posMom,4,3,7,50,2,2,1,3,36,1,2,3,3
2,3,4,3,0,Hard,posMom,4,84,5,67,6,2,1,2,25,1,4,6,3
7,7,12,9,17,Hard,posMom,3,88,5,56,5,1,3,2,62,2,6,7,3
6,10,12,9,0,Hard,posMom,5,60,6,86,5,2,3,2,26,2,4,5,3
1,5,6,4,0,Easy,negMom,4,27,2,9,2,2,1,4,39,2,2,4,2
5,8,16,10,10,Easy,negMom,4,50,3,49,5,1,3,4,39,2,4,4,3
9,11,16,12,0,Easy,negMom,3,50,2,30,5,2,2,3,23,1,4,6,2
5,8,5,6,8,Easy,negMom,4,50,4,50,1,1,3,2,30,2,4,4,3
6,6,9,7,12,Hard,posMom,4,67,6,78,8,1,2,3,28,2,5,6,3
15,21,27,21,27,Hard,posMom,6,81,7,97,7,1,2,2,38,1,5,5,3
19,17,20,19,0,Easy,negMom,3,35,3,41,3,2,1,3,33,1,5,5,3
7,7,6,7,9,Easy,negMom,7,84,7,84,9,1,5,4,67,2,6,7,1
12,12,11,12,14,Easy,negMom,6,78,4,50,6,1,2,2,34,2,5,6,3
2,1,1,1,0,Easy,negMom,4,71,4,53,1,2,2,3,25,2,4,4,3
19,21,26,22,20,Hard,posMom,5,58,5,72,10,1,3,3,55,2,5,5,1
8,12,11,10,15,Hard,posMom,6,93,4,67,9,1,3,4,35,1,6,6,1
5,9,14,9,0,Easy,negMom,3,46,2,23,5,2,2,3,26,2,5,5,2
5,6,9,7,7,Hard,posMom,5,58,6,61,3,1,3,2,63,1,4,4,3
6,6,16,9,17,Hard,posMom,4,11,6,78,5,1,2,3,30,1,4,6,1
7,6,12,8,10,Hard,posMom,4,67,5,65,7,1,2,2,20,1,2,6,3
