Oord,C_R,L_R,Sno,SID,FixSrcBnd,VarSrcBnd,B1,B2,DirShift,DirFix,DirVar,AlShift,AlFix,AlVar,VarP,VarPClip,FixPClip,Outlier,Kvary,Kfix,TrustVary,TrustFixed,AccVary,AccFixed,AttVary,AttFixed,Kdiff,Tdiff,AccDiff,AttDiff,MnDiff
57,R,RB,7,RRB7,135,181,132,154,22,3,49,-22,-3,49,0.4,0.4,0.6,0,68,75,70,72,56,58,59,72,7,2,2,13,3.7
58,R,RB,8,RRB8,135,173,143,143,0,-8,30,0,8,30,0.21,0.21,0.79,0,35,82,56,82,56,88,38,73,47,26,32,35,35
59,R,RB,9,RRB9,135,171,135,136,0,0,36,0,0,36,0.02,0.02,0.98,0,88,92,90,87,92,98,8,7,4,-3,6,-1,2.3
60,R,RB,10,RRB10,135,216,153,161,8,-18,63,-8,18,63,0.32,0.32,0.68,0,21,84,28,85,19,79,81,65,63,57,60,-16,60
61,R,RB,11,RRB11,135,185,143,168,25,-8,42,-25,8,42,0.66,0.66,0.34,0,50,50,73,73,56,56,50,50,0,0,0,0,0
62,R,RB,12,RRB12,135,186,161,157,-4,-26,25,4,26,25,0.43,0.43,0.57,0,62,36,92,50,22,25,30,30,-26,-42,3,0,-21.7
63,R,RB,13,RRB13,135,188,172,164,-8,-37,16,8,37,16,0.55,0.55,0.45,0,67,27,76,36,64,41,44,59,-40,-40,-23,15,-34.3
64,R,RB,14,RRB14,135,202,154,154,0,-19,48,0,19,48,0.28,0.28,0.72,0,27,84,65,93,64,79,50,61,57,28,15,11,33.3
65,R,RB,15,RRB15,135,263,154,146,-8,-19,109,8,19,109,0.09,0.09,0.91,0,25,61,68,67,44,56,36,41,36,-1,12,5,15.7
66,R,RB,16,RRB16,135,204,161,177,16,-26,43,-16,26,43,0.61,0.61,0.39,0,64,42,73,75,65,65,50,50,-22,2,0,0,-6.7
