Crime Language,CrimP PPrspPctivP,Gender,Age,Age of Acquisition English,English written comprehension,English written production,English oral comprehension,English oral production,English overall proficiency,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Comprehension Scenario 1,Comprehension Scenario 2,Comprehension Scenario 3,Comprehension Scenario 4
E,P,f,18,13,5,5,4,4,4.5,8.4,7.8,7.6,7.8,50,70,60,60
E,P,f,19,13,5,5,6,3,4.75,9,5.4,7.5,7.2,90,90,80,80
E,P,f,17,13,4,4,5,5,4.5,8.3,5.8,8,7.8,90,87,86,82
E,P,f,18,13,5.5,5,6,5.5,5.5,7.5,3.7,7,7.8,100,100,100,100
E,P,f,18,13,4.5,4,5,4,4.375,6.9,8,8.3,7.3,90,95,95,100
E,P,f,18,12,6,5,6,6,5.75,5.2,7.8,8,6,60,90,90,90
E,P,f,18,13,5,4,6,4,4.75,6.4,5.2,8.3,8.4,90,90,90,80
E,P,f,18,13,4.5,4.5,6,4.5,4.875,6,4.4,8.2,2.3,100,100,100,75
E,P,f,18,13,6,6,6,6,6,7.6,7.5,5.4,8,100,100,100,100
E,P,f,18,12,5,6,5.5,6,5.625,6.6,5.2,7.9,5.6,75,80,65,70
E,P,f,18,13,5,5,5,5,5,7.1,6.3,6,7.3,85,85,85,85
E,P,f,18,14,6.5,6,6.5,6,6.25,8.4,6.4,8.4,9,100,100,100,100
E,P,m,18,13,6,6,6.5,5,5.875,7.9,7.3,8.2,7.6,95,95,95,95
E,P,f,18,12,5,6,4,3,4.5,6,7.5,9,8,90,90,75,85
E,P,f,18,14,5,6,6,3,5,7.6,6.5,8.1,8.7,70,80,90,90
E,T,f,19,13,5,5,5,5,5,7.8,6.6,7.3,7.8,90,80,70,90
E,T,f,18,11,5,5,5,5,5,7.6,5.3,7.3,7,95,95,80,95
E,T,f,18,12,7,4,7,5,5.75,6.5,6.3,9,8.2,100,100,100,100
E,T,f,18,13,5,5,5,5,5,8.5,7.9,5.5,7,80,70,65,80
E,T,f,19,13,5,5,6,5,5.25,8.3,5,8.7,8.2,80,70,80,80
E,T,f,18,11,6,5,5,5,5.25,3.5,6,6.5,5.5,95,80,90,90
E,T,m,18,10,7,7,6,5,6.25,7.3,5.3,7.6,9,100,100,100,100
E,T,f,18,13,6,4,6,5,5.25,8.1,2.2,8.5,5.6,95,90,90,85
E,T,f,18,13,7,6,6,6,6.25,7.8,6.3,7.7,8.2,100,100,100,100
E,T,f,18,12,6,5,6,6,5.75,8.4,5.7,9,7.5,96,96,96,96
E,T,f,19,13,6,5,6,5,5.5,7.3,6,7.2,8.2,85,85,90,95
E,T,f,17,12,6,5,6,6,5.75,8.7,8,9,8.6,100,100,100,100
E,T,f,18,13,6,6,5,4.5,5.375,8,5.7,8.7,9,87,90,70,90
E,T,f,17,13,6,5,6,5,5.5,7,5.7,7,6.5,100,100,100,100
E,T,f,17,13,4,4,6,6,5,5.5,5.5,7,6,80,80,80,80
E,T,f,18,12,7,6,7,6,6.5,7.8,6.4,7.5,7.8,95,95,95,95
E,T,f,18,13,5,5,5,5,5,7,7,8,8.7,78,70,80,78
E,T,f,18,13,7,6,7,5,6.25,8.3,5.7,7.5,8.2,88,95,92,85
E,T,m,19,13,6,6,6,6,6,9,4,9,8.7,100,100,100,100
E,T,f,18,12,6,5,6,4,5.25,4.8,6,6.7,7.2,95,95,95,95
E,T,f,19,13,7,6,7,6,6.5,9,5.7,9,9,100,100,100,100
E,T,f,18,13,3,4,3,4,3.5,7.2,5.7,7.5,7,90,80,80,90
E,T,f,19,14,6,6,6,3.5,5.375,0.8,0.8,6.3,4.9,100,100,100,100
E,T,f,18,12,6,5,6,5,5.5,7.6,5.2,8.4,7.9,100,100,100,100
E,T,f,19,12,4,4,5,5,4.5,8,8.8,9,6.4,70,70,70,70
E,T,m,18,13,6,6,6,6,6,7.1,5.6,8.7,8.7,90,90,90,60
E,T,f,18,14,5,4,6,5,5,7.5,7.7,6.5,7.9,90,78,70,85
E,T,f,19,12,7,6,7,6,6.5,8.5,6.5,7.8,8.5,100,100,100,100
E,T,m,18,12,6,6,6,5,5.75,6.3,7.7,9,8.3,100,100,100,100
E,T,f,17,13,6,5,6,5,5.5,6.5,1.6,9,4,100,80,80,50
E,T,f,18,13,6,5,6,6,5.75,7.5,6.3,8,8.3,80,95,70,95
E,T,f,18,13,6,3,6,4.5,4.875,6,2.3,6.5,5.5,95,95,95,95
E,T,f,18,14,6,5,5,4,5,3.2,4.8,8.4,2.3,95,90,95,95
E,T,f,17,12,5,4,6,5,5,7.5,8.5,7.4,8.3,90,85,85,95
E,T,f,18,12,7,6,7,6,6.5,5.2,5.7,7.5,8.2,95,97,95,91
E,T,f,17,13,5,5,5,5,5,5.5,6.8,6.5,8.9,100,99,99,99
E,T,f,18,12,6,5,5,6,5.5,7.3,6.2,7.2,8,90,90,100,90
E,T,f,18,12,6,6,6,5,5.75,9,8.9,8.8,8.8,90,90,90,90
E,T,m,17,11,5,6,4,4,4.75,7.5,6.8,6.8,9,100,100,100,100
E,T,f,18,13,5,5,6,6,5.5,7.4,6.8,4.6,2.6,80,70,90,75
E,T,f,18,14,,,,,,5.5,3.3,4.4,5.2,80,90,95,100
E,T,f,18,13,6,7,7,6,6.5,4.2,6.7,6.5,7.2,100,100,90,70
E,T,f,19,14,5.5,5,6.5,6,5.75,8,8.3,8.5,7.8,90,92,89,87
E,T,f,18,13,6,7,7,7,6.75,8.5,9,7.6,8.2,92,97,95,87
E,T,f,18,14,6,7,7,6,6.5,6.2,8.6,5.6,7.3,100,100,100,100
E,T,f,20,12,6,4,6,4,5,6.5,5.2,7.3,7,90,90,90,90
E,T,f,18,12,7,6,6,6,6.25,9,7.2,8,9,100,100,95,99
E,T,f,19,13,5,5,6,6,5.5,6.3,4.3,6.4,8,90,95,90,95
E,T,f,18,13,5,3,5,3,4,6,6.5,8,7.2,80,80,80,80
E,T,f,17,14,6,5,6,5,5.5,8.1,5.4,8.2,8.7,100,85,80,95
E,T,f,18,14,4,2,5,3,3.5,5.4,5.1,4.1,6.3,70,60,70,50
E,T,f,18,14,6,6,7,7,6.5,7.9,7.3,7.6,8,95,100,100,100
E,T,f,18,13,6,6,7,7,6.5,9,5.9,8.8,7.7,100,100,100,100
E,T,f,18,13,4,4,4,3,3.75,5.5,6.2,7.2,7.3,80,80,80,80
E,T,f,18,12,6,6,6,6,6,8.4,7.5,8.8,8.6,100,100,100,100
E,T,f,19,12,5,5,6,6,5.5,5.4,3,4.1,7.5,90,100,100,100
E,T,f,18,12,4,6,5,5,5,6.9,5.8,8.8,5.1,85,85,90,95
E,T,f,18,13,6,7,7,6,6.5,8.3,8.2,8.9,8,100,100,95,80
E,T,f,18,13,5,4,6,6,5.25,7.1,8,7.8,8.2,75,60,75,60
E,T,f,19,13,5,4,5.5,4,4.625,8.8,6.9,8.9,8.9,100,100,100,100
E,T,f,18,12,6,6,6,6,6,5.8,5.1,7.3,5.2,90,85,85,95
E,T,f,18,13,5,5,5,5,5,6.5,8,8.1,8,90,75,85,80
E,T,f,18,13,6,6,4,4,5,6.7,8,8,8,70,80,80,89
E,T,f,18,13,6,5,5,5,5.25,5.9,7.2,6.5,7,99,99,99,99
E,T,f,18,12,6,4,6,4,5,6.5,5.6,8.5,6.6,70,90,85,100
E,T,f,17,12,6,6,7,6,6.25,8.8,5.6,8,8.6,100,100,70,50
E,T,f,18,13,5,5,6,6,5.5,6.8,5.2,7.6,8.2,90,85,80,90
E,T,f,18,13,6,6,7,6,6.25,5.9,8.4,7.8,6.5,100,100,100,100
E,T,f,18,13,6,6,6,6,6,7.9,7,7,6.9,90,90,90,90
E,T,f,18,12,7,5,7,5,6,8,6,6.8,7.8,100,100,100,100
E,T,f,18,13,6.5,5,6.5,5.5,5.875,3.4,8.2,7,5.7,100,80,90,100
E,T,f,19,13,5,5,6,6,5.5,7,8,7,7,80,99,80,90
E,T,f,18,13,4,4,4.5,4,4.125,4.8,8.2,7.5,7.6,100,100,100,100
E,T,f,18,13,4,4,5,4,4.25,7.9,6.5,7.4,8.8,90,85,95,80
E,T,f,18,13,5,4,5,6,5,5.7,4.6,6.6,5.8,60,70,50,70
E,T,f,18,13,7,5,6,6,6,6,4.1,5.5,6.6,80,95,80,100
E,T,f,18,14,6,6,6,6,6,5.2,3.4,5.3,6.5,90,90,90,80
E,T,f,18,13,4,4,4,4,4,8.5,8.5,9,8,80,80,60,60
E,T,f,18,13,7,6,7,6,6.5,7.7,3.4,8,7.6,100,100,100,100
E,T,f,17,12,3,3,4,4,3.5,6.9,6.7,6.7,7,90,90,90,85
E,T,f,18,14,7,5,6,5,5.75,8.7,8.8,8.9,9,90,90,90,90
E,T,m,18,13,6,5,5,6,5.5,3.4,5.5,3.7,6.8,95,80,65,75
E,T,f,18,13,6,5,5,4,5,6.7,6,8.2,8.3,80,75,90,90
E,T,f,20,14,6,4,5,4,4.75,7.4,7.6,7.6,7.7,100,100,100,100
E,T,m,18,13,4,3,7,5,4.75,5.5,7.4,6.3,8.5,90,90,100,100
E,T,f,18,12,5,5,6,6,5.5,6.3,5.3,7,6.9,87,80,80,88
E,T,f,18,14,6,6,7,6,6.25,9,9,8.9,9,100,100,100,100
