Crime Language,CrimP PPrspPctivP,Gender,Age,Age of Acquisition English,English written comprehension,English written production,English oral comprehension,English oral production,English overall proficiency,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Comprehension Scenario 1,Comprehension Scenario 2,Comprehension Scenario 3,Comprehension Scenario 4
D,P,f,18,12,5,4,6,4,4.75,7.7,4.5,8.3,8.5,100,100,100,100
D,P,f,18,13,5,4.5,4.5,4,4.5,6.5,4.5,7.6,7.2,78,90,95,65
D,P,f,18,14,6,5,6,6,5.75,7.7,7.5,8.4,8.5,100,100,100,100
D,P,m,19,12,5,5,6,5,5.25,6.1,7.9,5.8,5.6,85,80,85,85
D,P,f,17,13,6,5,6,6,5.75,7.6,6.7,8.2,6.1,100,100,100,100
D,P,f,18,13,5,5,5,5.5,5.125,8.7,7,8.6,8.5,95,97,85,90
D,P,f,18,10,6,6,5,5,5.5,6.3,8.4,7.6,8.3,95,95,95,95
D,P,f,19,12,5,4,6,5,5,8.5,6.5,8.7,8.2,100,100,100,100
D,P,f,18,13,5,6,6,6,5.75,9,9,9,9,85,90,100,100
D,P,m,20,14,5,5,6,5,5.25,7.4,7.1,8,8.2,70,80,90,100
D,P,f,22,11,6,5,6,5,5.5,6,5.7,5.5,7.7,70,80,80,70
D,P,f,18,9,5,6,6,6,5.75,5.1,6.4,8.3,8.1,100,100,90,100
D,P,f,18,12,6,6,6,5.5,5.875,8.4,8.7,8.7,8.7,90,90,90,90
D,P,f,19,13,6,3,6,6,5.25,6.3,5.2,9,6.2,100,100,100,100
D,P,f,18,14,6,5,6,5,5.5,4.1,5.8,7.3,7.2,95,95,95,80
D,P,m,19,12,7,6,7,5,6.25,6.9,5.1,8.6,9,100,100,100,100
D,P,f,17,14,4,3,6,5,4.5,7.2,8.5,8,8.3,95,90,90,99
D,P,f,18,13,7,6,7,5,6.25,7,6.8,8.6,7,90,100,90,80
D,P,f,18,10,6,6,6,5,5.75,8.4,8.5,8.4,8.4,100,100,100,100
D,P,f,18,14,5,5,6,5,5.25,7.8,7,8.4,7.9,80,80,60,70
D,P,f,18,10,6,5,6,5,5.5,7.2,6,7.5,7,80,95,75,80
D,P,f,22,8,7,6,6,5,6,8.4,8.4,8.2,8.4,95,95,95,80
D,P,f,19,12,5,5,6,5,5.25,6.9,7.8,7.6,8,100,90,90,80
E,P,f,24,10,6,5,6,4,5.25,7.3,7.8,8,8.9,95,90,95,95
E,P,f,18,8,3,3,5,6,4.25,9,3.8,9,8.7,70,70,70,70
E,P,m,19,9,6,5,7,5,5.75,6.7,5.9,6.5,7,100,100,100,100
E,P,m,18,10,6,5,6,4,5.25,7.8,5.8,8.9,9,90,90,90,80
E,P,f,19,11,6,5,6,6,5.75,8,6,9,7.5,90,90,100,100
E,P,f,18,6,4,4,7,6,5.25,4.4,6.3,7.4,6,100,100,100,100
E,P,f,18,10,6,5,6,5,5.5,5.2,7.5,7.2,6.2,80,75,85,80
E,P,f,19,11,6,5,6,5,5.5,8.5,8.9,8.9,8.5,100,100,92,87
E,P,m,18,5,6,6,5,5,5.5,7,5.8,8,6.5,100,100,100,100
E,P,f,18,10,5,5,6,6,5.5,6.9,7.1,8.8,8.3,80,80,80,80
E,P,f,17,11,6,6,6,5,5.75,8.1,8,8.9,8.2,90,65,70,65
E,P,f,19,11,5,6,6,5,5.5,8.5,6.2,8.5,8.3,85,90,90,80
E,T,f,20,11,6,5,5,4,5,8.9,6.5,9,9,90,80,90,80
E,T,m,18,5,7,6,5,5,5.75,6.6,6.7,7,8.8,95,95,90,95
E,T,f,18,10,6,5,7,5,5.75,7.8,7.5,7.5,7.5,60,70,60,75
E,T,f,18,10,4,4,5,5,4.5,6.8,5,4.8,6.5,60,70,70,50
E,T,f,18,11,5,5,6,6,5.5,5.7,8.7,8.8,9,90,90,90,90
E,T,m,21,7.5,5,5,6,6,5.5,5.9,5.4,8,5.2,100,100,100,100
E,T,f,17,5,4,5,6,6,5.25,8.1,5.2,6.3,7.8,90,80,85,90
E,T,f,19,5,5,5,7,6,5.75,4.6,7.2,6.8,8,73,80,86,80
D,T,f,18,14,5,4,4,4,4.25,5.7,3.2,4.7,7.2,70,60,70,70
D,T,f,18,13,5,4,6,6,5.25,5.8,6.6,8.2,8.2,100,100,100,100
D,T,m,18,11,5,5,7,7,6,2.9,3.5,5,5.7,100,100,100,100
D,T,f,18,13,6,6,5,6,5.75,6.6,6.1,7,7.7,83,95,95,90
D,T,f,18,12,6,6,7,5,6,8.2,9,8,9,100,100,100,50
D,T,f,19,12,7,6,7,5,6.25,9,7.5,8.3,9,100,100,100,100
D,T,m,17,14,5,4.5,6,5,5.125,5.2,5,5.6,4.5,100,100,100,100
D,T,m,18,13,5,5,4,4,4.5,7.4,4.8,8.8,8.8,90,90,85,90
D,T,f,18,13,6,5,5,5,5.25,8.2,9,9,9,100,100,100,100
D,T,f,17,11,4,5,6,6,5.25,5.6,4.5,8.9,6.7,100,100,100,100
D,T,f,18,13,5,5,5,4,4.75,7.7,7.7,7.7,9,100,99,100,100
D,T,m,21,12,5,5,5,5,5,6,6,7,6,100,100,100,100
D,T,f,18,12,7,6,6,6,6.25,5.3,4.5,8.4,8.5,100,100,100,100
D,T,f,18,12,5.5,6,5.5,5.5,5.625,8.6,8.6,8.8,8.7,100,100,100,100
D,T,f,18,13,5,3,5,4,4.25,7.2,7,7.1,5.6,100,100,100,100
D,T,f,17,13,7,6,7,6,6.5,9,9,9,9,100,90,100,80
D,T,f,18,10,6,6,6,5,5.75,7.9,8,8.3,8.5,95,95,95,95
D,T,m,18,14,6.5,5.5,6.5,5.5,6,5.7,7.7,6.8,6.1,99,99,99,99
D,T,f,18,13,6,5,6,6,5.75,6.4,5.2,8.7,7.5,95,95,95,95
D,T,f,18,13,5,4,6,4,4.75,9,9,9,9,80,80,100,100
D,T,f,18,13,5,4,4,3,4,5.3,6.5,7.8,6.3,100,100,100,100
D,T,f,19,14,4,4,4,3,3.75,6.4,5.7,7,8.5,80,80,80,80
D,T,f,19,12,7,6,7,7,6.75,6.7,5.4,6.9,7.8,75,90,90,90
D,T,f,19,10,6,6,7,5,6,6.7,5.3,7.6,8.1,80,75,90,85
D,T,f,18,13,6,5,6,5,5.5,7.9,8.1,7.6,9,100,100,100,100
D,T,f,18,13,5,4,5,4,4.5,8.9,8.7,7.9,8.6,100,100,100,100
D,T,f,20,12,4.5,3.5,6.5,6,5.125,7.8,5.4,8.2,8,98,87,98,90
D,T,f,18,13,4,3,4,4,3.75,8.6,8.5,8.6,7.7,100,100,100,80
D,T,f,19,12,6,5,7,5,5.75,8.2,7.5,8.4,8.7,100,100,100,100
D,T,m,19,7,6,6,7,7,6.5,9,9,9,9,100,100,100,100
D,T,f,19,11,6,6,7,6,6.25,5.5,9,7.5,9,100,80,80,90
D,T,m,18,13,6,6,6,6,6,6,7,7,7,100,100,100,100
D,T,m,18,12,3,4,4,3,3.5,7.6,5.7,7.8,9,100,100,100,100
D,T,m,18,10,7,7,7,7,7,6.9,7.8,7.4,7.5,80,70,80,90
D,T,f,18,12,5,6,6,6,5.75,9,9,9,9,100,100,90,100
D,T,f,18,14,5,4,6,5,5,8.8,7.2,8.9,8.9,100,100,100,100
D,T,f,19,13,7,7,6,5,6.25,9,5.8,8.2,9,100,100,100,100
D,T,f,18,13,5,5,6,6,5.5,8,8.3,9,7.7,100,100,100,100
D,T,f,17,13,5,4,5,5,4.75,6.9,7.2,6.2,7.4,100,100,100,100
D,T,f,19,14,6,6,6,6,6,8.5,7,8.5,8.4,100,100,100,100
D,T,f,18,6.5,6,6,7,7,6.5,5.2,4.5,7,5.4,100,100,100,100
D,T,f,18,12,6,4,6,4,5,6.2,8,8.8,8.5,100,100,100,100
D,T,f,18,12,7,7,7,7,7,9,9,9,9,100,100,100,100
D,T,f,18,13,5,4,6,5,5,7,8.7,8,9,100,100,100,100
D,T,f,19,13,6,5,5,5,5.25,7.6,8.2,9,7.6,90,90,90,90
D,T,f,17,12,6,5,7,6,6,8.8,5,8.7,8.5,100,100,100,100
D,T,f,18,13,6,6,6,5,5.75,7.9,5.3,9,9,100,100,100,100
D,T,f,18,15,6,5,6.5,5.5,5.75,8,8,7,9,100,100,100,100
D,T,f,18,13,5,5,6,5,5.25,8,8,8,8,90,90,70,80
D,T,f,18,13,6,5,7,5,5.75,7.8,9,9,9,100,100,100,100
D,T,f,18,13,5,5,6,5,5.25,6.5,6.6,8,7.9,100,100,100,100
D,T,m,19,10,6,3,6,4,4.75,7.8,7.9,8,9,100,100,100,100
D,T,f,22,10,5,5,5,4,4.75,8.6,4.1,9,9,90,90,90,90
D,T,f,20,14,6,5,7,6,6,8.9,7.7,8.8,8.7,100,100,100,100
D,T,f,18,14,5,4,5,5,4.75,5.3,5.3,5.2,7.2,95,98,98,98
D,T,f,18,7,6,5,6,6,5.75,9,7,9,6.3,100,98,98,90
D,T,f,20,13,6,4,7,6,5.75,8.2,5.6,7.7,7.4,98,98,94,95
D,T,f,18,12,7,6,7,7,6.75,8.4,7.4,8.3,9,100,100,100,100
D,T,f,18,13,5,6,5,5,5.25,7.3,9,8.4,8.4,100,100,100,100
D,T,f,20,11,5,4,5,4,4.5,8.1,6.6,7.8,6.1,100,100,100,100
D,T,f,18,12,6,5,6,5,5.5,8,6.3,8.3,7.5,100,100,100,100
D,T,f,17,12,6,5,7,5,5.75,9,7.3,9,7.4,100,80,80,100
D,T,f,17,14,5,3,4,3,3.75,8.5,6.1,8.7,8.2,100,100,100,100
D,T,m,18,7,7,7,7,7,7,6.8,4,8,7,90,100,100,100
D,T,f,18,15,4,5,5,4,4.5,8,5.2,8.5,7,90,90,80,100
D,T,f,17,12,4,4,5,5,4.5,6.3,5.3,8.6,8.5,100,95,100,100
D,T,f,19,13,6,5,7,6,6,5.7,7.5,6.8,7.9,90,90,95,95
D,T,f,18,14,6,4,5.5,4.5,5,5.2,5.7,6.3,5.6,90,100,100,100
D,T,f,18,15,4,5,5,4,4.5,6.5,6,8.2,7.8,100,100,100,100
D,T,f,19,10,5,3,6,4,4.5,6,6.2,7,7.9,90,90,95,98
D,T,f,18,10,4,5,6,5,5,9,6.8,8.5,8.4,90,70,60,70
D,T,f,18,9,7,6,7,7,6.75,9,4,9,9,100,100,100,100
D,T,f,18,10,7,7,6,6,6.5,8.1,6.8,8.7,7.3,98,97,95,97
D,T,f,18,14,5,4,6,5,5,8.2,5.1,8.3,6.8,90,90,90,90
D,T,f,18,14,4,4,5,4,4.25,6.8,9,9,9,100,100,100,100
D,T,f,18,14,5,5,4,4,4.5,8.9,8,9,9,70,65,65,80
D,T,f,18,14,6,4,5,4,4.75,8.3,4.5,9,7.7,99,99,99,99
D,T,f,18,12,6,6,5,4,5.25,8.9,6.6,9,9,100,100,100,100
D,T,f,19,12,5,6,7,6,6,8.4,5.3,8.2,8.8,100,100,100,50
D,T,f,18,11,6,6,6,5,5.75,8,6.5,8.8,8.8,100,100,100,100
D,T,f,19,12,7,6,6,5,6,8.4,6.4,7.7,7.6,100,100,100,95
D,T,f,18,14,4,4,3,3,3.5,7,7.6,8.8,8.8,100,100,100,100
D,T,f,18,13,6,4,5,4,4.75,6.7,6.5,6.9,6.9,100,100,100,100
D,T,f,18,14,6,5,6,5,5.5,9,4.6,9,9,100,100,100,100
D,T,f,17,12,6,6,5.5,4.5,5.5,8.8,8.3,9,9,90,90,90,90
D,T,f,18,12,5,6,6,7,6,8.6,6.9,8.8,8.9,98,98,70,98
D,T,f,19,11,7,6,7,7,6.75,5.8,6.6,8.4,7.2,100,100,100,100
D,T,f,17,10,6,6,7,6,6.25,5,7,5.7,6.5,100,100,100,100
D,T,f,19,11,6,5,6,6,5.75,7.9,8.3,8.8,9,90,95,95,90
D,T,f,18,13,4,3,4,4.5,3.875,8.5,8.7,9,8,100,100,100,100
D,T,f,20,10,6,5,7,5,5.75,6,5.5,8.8,7.5,100,100,100,100
D,T,f,18,13,5,5,5,5,5,7,6.4,7.4,7.9,90,90,90,90
D,T,f,18,7,6,6,7,5,6,8,8,9,9,80,80,80,80
D,T,f,18,13,7,5,7,7,6.5,6.7,5.2,7.1,8.1,100,100,100,100
D,T,f,19,14,6,5,6,4,5.25,6.3,7,7.1,7,90,90,90,90
D,T,f,17,14,5,3,3,2,3.25,7.7,6.3,5.7,3.7,65,85,80,95
D,T,f,18,14,6,4,6,5,5.25,6.8,3.6,8.2,3.9,100,90,95,70
D,T,f,18,11,6,6,5,6,5.75,6.9,7.4,8.2,7.9,90,90,90,90
D,T,f,19,13,3,2,3,2,2.5,6,7.9,7.7,8.1,75,70,75,70
D,T,m,19,7,6,5,7,6,6,7.3,7.7,9,5.6,90,80,75,60
D,T,f,18,13,6,7,6,7,6.5,4.7,4.4,8.3,7.2,100,100,100,100
D,T,m,18,12,6,5,7,7,6.25,8.6,5,8.3,7.5,100,100,100,100
D,T,f,18,13,6,5,6,6,5.75,7.5,7.4,7.6,8.1,100,100,100,100
D,T,m,18,12,5,4,6,5,5,2.9,5.6,6,4.8,80,95,87,77.5
D,T,f,18,12,6,5,6,6,5.75,8.2,8.3,8.1,7.6,100,100,100,100
D,T,f,17,12,6,6,7,7,6.5,9,9,9,9,100,100,100,100
D,T,f,18,12,4,4,4,4,4,9,8.8,8.9,8.7,100,100,100,100
D,T,f,18,14,,,,,,6.8,6.4,7.5,6.8,,,,
D,T,f,18,12,6,5,7,5,5.75,8.1,6.4,8.6,8.5,95,95,95,95
D,T,f,18,14,6,5,6,6,5.75,9,8,9,9,100,100,100,100
D,T,f,18,14,5,4,5,3,4.25,8.2,6.4,9,9,70,80,100,100
D,T,f,19,12,6,6,6,6,6,8.2,8.6,8.9,8.8,100,100,100,100
D,T,f,18,7,5,5,6,6,5.5,9,8.6,9,8.9,100,100,100,100
D,T,m,17,13,6,5,6,5,5.5,4.8,7.3,4.5,6.3,100,100,100,100
D,T,f,18,12,7,7,7,7,7,9,4.2,8.9,9,100,100,100,100
D,T,f,18,13,6,4,5,4,4.75,7,9,9,9,100,100,100,100
D,T,f,18,13,5,4,6,5,5,7.5,5.6,7.5,5.7,95,93,90,95
D,T,f,19,12,5,6,6,5,5.5,9,9,9,9,100,100,100,100
D,T,f,18,14,6,5,5,4,5,8.6,6.6,8,8.7,100,100,100,100
D,T,f,18,10,5,3,6,4,4.5,6,5,6.9,4.5,95,90,70,60
D,T,m,21,12,6,5,7,6,6,5.7,5,7.5,7.9,95,99,99,99
D,T,f,18,11,6,6,6,6.5,6.125,6.5,8.3,8.6,7.6,85,90,94,98
D,T,f,18,15,4,2,5,3,3.5,4.6,4.5,4.2,4.6,60,70,80,60
D,T,f,18,13,5,4,5,5,4.75,6,4.1,7.4,6.9,100,100,100,100
D,T,f,18,12,6.5,3,6.5,6,5.5,9,9,9,9,100,100,100,100
D,T,f,18,12,6,5,5,4,5,7.6,9,8.4,8.9,100,100,100,95
D,T,m,18,10,7,6,6,6,6.25,9,3.2,6.9,8.1,100,100,100,100
D,T,m,18,14,5,4,5,5,4.75,6.5,7.6,6.7,7.5,95,95,95,95
D,T,f,18,12,4,4,5,3,4,6.3,7.2,7.2,7.2,100,100,100,100
D,T,f,18,10,4,4,5,4,4.25,8.4,6.3,8.5,8.7,90,85,80,75
D,T,f,18,10,6,5,5,1,4.25,7.4,7.3,8.3,8.5,100,100,100,100
D,T,f,18,11,5.5,4.5,6,4.5,5.125,6.8,8.5,5.7,7.3,90,85,85,95
D,T,f,18,14,6,6,7,6,6.25,9,6.7,9,9,100,100,100,100
D,T,f,18,11,6,6,6,5,5.75,5.4,7.7,7.6,7.6,95,100,100,90
E,T,f,18,10,6,6,7,6,6.25,6,6.6,7.1,9,90,95,90,95
E,T,f,18,10,6,6,7,6,6.25,8.1,8.1,7.8,9,100,100,100,100
E,T,f,23,8,5,5,7,7,6,7.4,7.7,7.1,6.7,80,80,80,80
E,T,m,18,6,6,6,6,6,6,7.2,3.4,6.6,6.8,100,100,100,100
E,T,m,18,9,7,5,7,6,6.25,4.9,6.9,4.7,7.1,90,70,95,90
E,T,f,18,9,7,7,7,7,7,7.4,6.2,7,7.7,100,100,100,100
E,T,f,26,5,7,6,7,6,6.5,6.7,3.7,6.3,7.7,98,98,98,98
E,T,f,18,7,7,7,5,6,6.25,6.5,5.6,9,9,100,100,100,100
E,T,f,19,10,7,7,7,7,7,7,2.7,6.7,6.8,90,90,85,85
E,T,f,18,10,4,5,6,6,5.25,9,8.9,8.9,8.8,89,80,80,95
E,T,m,18,7,6,6,6,6,6,6,5.8,5.4,5.9,100,100,100,100
E,T,m,18,8,7,6,7,6,6.5,8.3,9,8.7,8,100,100,100,100
E,T,f,18,11,6,7,7,7,6.75,8.4,8,9,8.4,100,99,100,100
E,T,f,17,11,7,6,7,6,6.5,9,7.8,8.7,9,100,100,100,100
E,T,f,18,4,7,6,7,6,6.5,8,7.7,7.5,9,100,100,100,100
E,P,f,18,5,6,6,6,6,6,6.1,7.3,8.8,8.6,95,100,98,95
E,P,m,17,8.9,6,5,7,6,6,6.5,7.5,6.8,7,,,,
E,P,f,18,7,7,5,7,6,6.25,3.8,3.3,7.5,9,100,100,90,50
E,P,f,18,6,7,7,7,7,7,7.9,7.8,8.8,8.9,100,100,100,90
E,P,m,20,10,6,6,6,6,6,7.5,4.8,7.3,8.2,90,90,90,90
E,P,f,18,10,7,5,6,6,6,8.2,4.1,7.2,6.2,100,90,95,100
E,P,m,18,4,6,6,7,7,6.5,7.7,4.7,5.9,5.6,90,90,95,95
E,P,f,18,11.5,7,7,7,7,7,7,5.7,7.7,8.4,100,100,100,100
E,P,f,18,5.6,7,5,7,5,6,8.3,5,8.8,9,50,80,100,100
E,P,f,19,9,6,6,5,5,5.5,9,8.8,8.2,8.8,97,96,94,93
E,P,m,18,7,7,7,7,6,6.75,8.9,8.9,8.9,8.9,100,100,100,100
E,P,f,19,10,7,7,7,7,7,7.5,7.9,8.3,8.3,100,100,100,100
