ID,Block,Trial,BlockType,Condition_Director,CorrectAnswer,IncorrectAnswer,Position,ACC,Stimulus.RT,TrialType,Testlist,Item
3,3,4,1,1,O,?,1,1,2921,0,2,6
3,4,2,1,1,E,?,1,0,0,1,3,7
3,4,3,1,1,M,?,1,1,2257,0,3,8
3,4,4,1,1,P,?,1,1,2521,0,3,9
3,5,2,2,1,C,?,3,1,2449,0,4,10
3,5,3,2,1,H,?,3,1,2174,0,4,11
3,5,4,2,1,K,N,3,0,3998,2,4,12
3,6,2,1,1,H,?,2,1,3526,0,5,13
3,6,3,1,1,K,?,2,0,3902,1,5,14
3,6,4,1,1,P,?,2,1,3382,0,5,15
3,7,2,2,1,N,?,3,1,3853,0,6,16
3,7,3,2,1,P,?,3,1,2438,0,6,17
3,7,4,2,1,F,B,3,0,2509,2,6,18
3,8,2,1,1,M,?,3,1,3421,0,7,19
3,8,3,1,1,A,?,3,1,2157,0,7,20
3,8,4,1,1,J,?,3,1,3773,1,7,21
3,9,2,2,1,M,?,2,1,2861,0,8,22
3,9,3,2,1,I,O,2,0,3493,2,8,23
3,9,4,2,1,G,?,2,1,2165,0,8,24
3,10,2,2,1,C,?,3,1,2261,0,9,25
3,10,3,2,1,P,?,3,1,2109,0,9,26
3,10,4,2,1,J,D,3,1,2165,2,9,27
3,11,2,1,1,J,?,2,1,2077,0,10,28
3,11,3,1,1,M,?,2,1,2909,1,10,29
3,11,4,1,1,H,?,2,1,2845,0,10,30
3,12,2,2,1,E,J,1,1,3677,2,11,31
3,12,3,2,1,L,?,1,1,2357,0,11,32
3,12,4,2,1,M,?,1,1,2325,0,11,33
3,13,2,1,1,L,?,3,1,3101,0,12,34
3,13,3,1,1,D,?,3,1,2181,0,12,35
3,13,4,1,1,F,?,3,1,3285,1,12,36
3,14,2,2,1,D,E,1,0,2150,2,13,37
3,14,3,2,1,F,?,1,1,2750,0,13,38
3,14,4,2,1,J,?,1,1,2262,0,13,39
3,15,2,2,1,A,?,2,1,2190,0,14,40
3,15,3,2,1,K,F,2,0,2862,2,14,41
3,15,4,2,1,H,?,2,1,2198,0,14,42
3,16,2,1,1,C,?,3,1,3638,0,15,43
3,16,3,1,1,F,?,3,1,2277,0,15,44
3,16,4,1,1,K,?,3,1,2709,1,15,45
3,17,2,1,1,L,?,2,1,2950,0,16,46
3,17,3,1,1,I,?,2,1,3581,1,16,47
3,17,4,1,1,G,?,2,1,2349,0,16,48
3,1,2,2,2,O,?,2,0,3206,0,1,49
3,1,3,2,2,I,B,2,0,2838,2,1,50
3,1,4,2,2,P,?,2,0,5494,0,1,51
3,2,2,1,2,M,?,1,1,3559,1,2,52
3,2,3,1,2,E,?,1,1,2759,0,2,53
3,2,4,1,2,N,?,1,1,2679,0,2,54
3,3,2,1,2,A,?,2,1,2823,0,3,55
3,3,3,1,2,K,?,2,1,3175,1,3,56
3,3,4,1,2,D,?,2,1,2719,0,3,57
3,4,2,2,2,L,?,3,1,2799,0,4,58
3,4,3,2,2,N,?,3,1,3118,0,4,59
3,4,4,2,2,B,H,3,0,3486,2,4,60
3,5,2,2,2,P,?,2,1,2463,0,5,61
3,5,3,2,2,E,D,2,0,2767,2,5,62
3,5,4,2,2,K,?,2,1,2446,0,5,63
3,6,2,1,2,L,?,1,1,3574,1,6,64
3,6,3,1,2,A,?,1,1,2958,0,6,65
3,6,4,1,2,K,?,1,1,2790,0,6,66
3,7,2,2,2,A,?,3,1,3358,0,7,67
3,7,3,2,2,O,?,3,1,2534,0,7,68
3,7,4,2,2,F,H,3,0,4134,2,7,69
3,8,2,1,2,L,?,1,1,2966,1,8,70
3,8,3,1,2,E,?,1,1,3006,0,8,71
3,8,4,1,2,G,?,1,0,0,0,8,72
3,9,2,2,2,D,?,2,1,2238,0,9,73
3,9,3,2,2,K,N,2,0,2206,2,9,74
3,9,4,2,2,M,?,2,1,2166,0,9,75
3,10,2,1,2,K,?,2,1,2518,0,10,76
3,10,3,1,2,E,?,2,1,3486,1,10,77
3,10,4,1,2,C,?,2,1,3030,0,10,78
3,11,2,2,2,L,O,1,0,2651,2,11,79
3,11,3,2,2,G,?,1,1,2131,0,11,80
3,11,4,2,2,F,?,1,1,3035,0,11,81
3,12,2,1,2,P,?,2,0,0,0,12,82
3,12,3,1,2,I,?,2,0,291,1,12,83
3,12,4,1,2,D,?,2,1,3019,0,12,84
3,13,2,2,2,M,L,1,0,2995,2,13,85
3,13,3,2,2,N,?,1,1,2547,0,13,86
3,13,4,2,2,C,?,1,1,2475,0,13,87
3,14,2,1,2,N,?,3,1,2466,0,14,88
3,14,3,1,2,E,?,3,1,2251,0,14,89
3,14,4,1,2,B,?,3,0,0,1,14,90
3,15,2,1,2,D,?,3,1,2986,0,15,91
3,15,3,1,2,A,?,3,1,3106,0,15,92
3,15,4,1,2,F,?,3,1,2802,1,15,93
3,16,2,2,2,L,N,1,0,2994,2,16,94
3,16,3,2,2,K,?,1,1,2410,0,16,95
3,16,4,2,2,C,?,1,1,2522,0,16,96
4,2,2,2,1,D,?,2,1,2045,0,1,1
4,2,3,2,1,M,P,2,1,2093,2,1,2
4,2,4,2,1,J,?,2,1,2261,0,1,3
4,3,2,1,1,D,?,1,1,2645,1,2,4
4,3,3,1,1,J,?,1,1,2325,0,2,5
4,3,4,1,1,O,?,1,1,2157,0,2,6
4,4,2,1,1,E,?,1,1,3813,1,3,7
4,4,3,1,1,M,?,1,1,2101,0,3,8
4,4,4,1,1,P,?,1,1,2181,0,3,9
4,5,2,2,1,C,?,3,1,2365,0,4,10
4,5,3,2,1,H,?,3,1,2405,0,4,11
4,5,4,2,1,K,N,3,1,3445,2,4,12
4,6,2,1,1,H,?,2,1,2053,0,5,13
4,6,3,1,1,K,?,2,1,3717,1,5,14
4,6,4,1,1,P,?,2,1,2661,0,5,15
4,7,2,2,1,N,?,3,1,2549,0,6,16
4,7,3,2,1,P,?,3,1,4421,0,6,17
4,7,4,2,1,F,B,3,1,2045,2,6,18
4,8,2,1,1,M,?,3,1,2749,0,7,19
4,8,3,1,1,A,?,3,1,2525,0,7,20
4,8,4,1,1,J,?,3,1,2525,1,7,21
4,9,2,2,1,M,?,2,1,2205,0,8,22
4,9,3,2,1,I,O,2,1,4077,2,8,23
4,9,4,2,1,G,?,2,1,2221,0,8,24
4,10,2,2,1,C,?,3,1,2093,0,9,25
4,10,3,2,1,P,?,3,1,2165,0,9,26
4,10,4,2,1,J,D,3,1,3077,2,9,27
4,11,2,1,1,J,?,2,1,2101,0,10,28
4,11,3,1,1,M,?,2,1,2293,1,10,29
4,11,4,1,1,H,?,2,1,2533,0,10,30
4,12,2,2,1,E,J,1,1,2973,2,11,31
4,12,3,2,1,L,?,1,1,2277,0,11,32
4,12,4,2,1,M,?,1,1,2365,0,11,33
4,13,2,1,1,L,?,3,1,2181,0,12,34
4,13,3,1,1,D,?,3,1,2037,0,12,35
4,13,4,1,1,F,?,3,1,2269,1,12,36
4,14,2,2,1,D,E,1,1,3173,2,13,37
4,14,3,2,1,F,?,1,1,1917,0,13,38
4,14,4,2,1,J,?,1,1,2077,0,13,39
4,15,2,2,1,A,?,2,1,2061,0,14,40
4,15,3,2,1,K,F,2,0,2741,2,14,41
4,15,4,2,1,H,?,2,1,2061,0,14,42
4,16,2,1,1,C,?,3,1,2237,0,15,43
4,16,3,1,1,F,?,3,1,2149,0,15,44
4,16,4,1,1,K,?,3,1,2109,1,15,45
4,17,2,1,1,L,?,2,0,0,0,16,46
4,17,3,1,1,I,?,2,1,2685,1,16,47
4,17,4,1,1,G,?,2,1,2237,0,16,48
4,1,2,2,2,O,?,2,1,2421,0,1,49
4,1,3,2,2,I,B,2,0,2173,2,1,50
4,1,4,2,2,P,?,2,1,2573,0,1,51
4,2,2,1,2,M,?,1,1,2637,1,2,52
4,2,3,1,2,E,?,1,1,2029,0,2,53
4,2,4,1,2,N,?,1,1,2077,0,2,54
4,3,2,1,2,A,?,2,1,2069,0,3,55
4,3,3,1,2,K,?,2,1,2125,1,3,56
4,3,4,1,2,D,?,2,1,2277,0,3,57
4,4,2,2,2,L,?,3,1,2029,0,4,58
4,4,3,2,2,N,?,3,1,2149,0,4,59
4,4,4,2,2,B,H,3,0,2109,2,4,60
4,5,2,2,2,P,?,2,1,2645,0,5,61
4,5,3,2,2,E,D,2,0,2069,2,5,62
4,5,4,2,2,K,?,2,1,2413,0,5,63
4,6,2,1,2,L,?,1,1,2453,1,6,64
4,6,3,1,2,A,?,1,1,2325,0,6,65
4,6,4,1,2,K,?,1,1,2205,0,6,66
4,7,2,2,2,A,?,3,1,1973,0,7,67
4,7,3,2,2,O,?,3,1,2525,0,7,68
4,7,4,2,2,F,H,3,0,2053,2,7,69
4,8,2,1,2,L,?,1,1,2085,1,8,70
4,8,3,1,2,E,?,1,1,1997,0,8,71
4,8,4,1,2,G,?,1,1,2045,0,8,72
4,9,2,2,2,D,?,2,1,1893,0,9,73
4,9,3,2,2,K,N,2,0,2157,2,9,74
4,9,4,2,2,M,?,2,1,2101,0,9,75
4,10,2,1,2,K,?,2,1,1909,0,10,76
4,10,3,1,2,E,?,2,1,2165,1,10,77
4,10,4,1,2,C,?,2,1,1869,0,10,78
4,11,2,2,2,L,O,1,0,2085,2,11,79
4,11,3,2,2,G,?,1,1,1805,0,11,80
4,11,4,2,2,F,?,1,1,2037,0,11,81
4,12,2,1,2,P,?,2,1,2021,0,12,82
4,12,3,1,2,I,?,2,1,2245,1,12,83
4,12,4,1,2,D,?,2,1,2461,0,12,84
4,13,2,2,2,M,L,1,1,2493,2,13,85
4,13,3,2,2,N,?,1,1,2173,0,13,86
4,13,4,2,2,C,?,1,1,2141,0,13,87
4,14,2,1,2,N,?,3,1,2021,0,14,88
4,14,3,1,2,E,?,3,1,1965,0,14,89
4,14,4,1,2,B,?,3,1,2213,1,14,90
4,15,2,1,2,D,?,3,1,2029,0,15,91
4,15,3,1,2,A,?,3,1,1933,0,15,92
4,15,4,1,2,F,?,3,1,2269,1,15,93
4,16,2,2,2,L,N,1,0,3453,2,16,94
4,16,3,2,2,K,?,1,1,2157,0,16,95
4,16,4,2,2,C,?,1,1,2093,0,16,96
5,2,2,2,1,D,?,2,1,2828,0,1,1
5,2,3,2,1,M,P,2,0,3107,2,1,2
5,2,4,2,1,J,?,2,1,2339,0,1,3
5,3,2,1,1,D,?,1,0,2411,1,2,4
5,3,3,1,1,J,?,1,1,2315,0,2,5
5,3,4,1,1,O,?,1,1,3139,0,2,6
5,4,2,1,1,E,?,1,1,3587,1,3,7
5,4,3,1,1,M,?,1,1,4003,0,3,8
5,4,4,1,1,P,?,1,1,3459,0,3,9
5,5,2,2,1,C,?,3,1,3459,0,4,10
5,5,3,2,1,H,?,3,1,2211,0,4,11
5,5,4,2,1,K,N,3,0,3995,2,4,12
5,6,2,1,1,H,?,2,1,2947,0,5,13
5,6,3,1,1,K,?,2,0,0,1,5,14
