cond,subj,nationality,order test,sex,age,,age in days,Char-Fam,Order-Fam,disobey,obey,average reliability
Bareheaded-leader,Stanley-hab-96B,ita,dis-ob,M,21,4,634,75.00,35.00,60.00,23.20,0.79
Bareheaded-leader,Stanley-hab-107,ita,dis-ob,M,22,9,669,75.00,35.00,47.10,32.90,0.94
Bareheaded-leader,Stanley-hab-121,usa,dis-ob,M,20,12,612,66.25,21.20,33.80,16.90,0.93
Bareheaded-leader,Stanley-hab-123,usa,dis-ob,M,20,19,619,51.50,33.70,47.40,24.80,0.85
Bareheaded-leader,Stanley-hab-124,usa,dis-ob,M,22,21,681,39.80,29.20,53.10,33.35,0.98
Bareheaded-leader,Stanley-hab-100,ita,dis-ob,F,22,5,665,75.00,28.00,60.00,35.75,0.84
Bareheaded-leader,Stanley-hab-109,usa,dis-ob,F,22,10,670,59.00,25.65,59.45,29.50,0.98
Bareheaded-leader,Stanley-hab-122,usa,dis-ob,F,20,26,626,75.00,35.00,35.90,24.15,0.96
Bareheaded-leader,Stanley-hab-105,ita,ob-dis,M,23,16,706,75.00,35.00,60.00,53.05,0.96
Bareheaded-leader,Stanley-hab-115,usa,ob-dis,M,20,18,618,75.00,35.00,50.10,60.00,0.98
Bareheaded-leader,Stanley-hab-117,ita,ob-dis,M,21,12,642,47.20,23.80,50.40,43.30,0.92
Bareheaded-leader,Stanley-hab-119,ita,ob-dis,M,20,8,608,69.60,14.55,44.70,59.20,0.92
Bareheaded-leader,Stanley-hab-108,ita,ob-dis,F,20,14,614,56.40,20.90,42.30,28.20,0.88
Bareheaded-leader,Stanley-hab-110,ita,ob-dis,F,21,15,645,75.00,35.00,60.00,42.20,0.94
Bareheaded-leader,Stanley-hab-111,usa,ob-dis,F,22,2,662,75.00,28.50,43.30,46.40,0.98
Bareheaded-leader,Stanley-hab-113,usa,ob-dis,F,22,5,665,55.90,26.25,56.95,30.15,0.98
Bareheaded-bully,Stanley-hab-129,usa,dis-ob,M,21,6,636,75.00,35.00,58.40,44.30,0.86
Bareheaded-bully,Stanley-hab-131,ita,dis-ob,M,20,3,603,75.00,26.15,40.05,55.20,0.95
Bareheaded-bully,Stanley-hab-134,usa,dis-ob,M,21,7,637,52.20,35.00,28.25,25.00,0.92
Bareheaded-bully,Stanley-hab-128,ita,dis-ob,F,23,14,704,75.00,35.00,37.65,45.55,0.96
Bareheaded-bully,Stanley-hab-136,usa,dis-ob,F,23,16,706,75.00,20.95,40.20,48.20,0.96
Bareheaded-bully,Stanley-hab-143,ita,dis-ob,F,20,1,601,35.25,35.00,41.00,47.60,0.95
Bareheaded-bully,Stanley-hab-146,usa,dis-ob,F,22,2,662,71.95,35.00,35.35,46.20,0.98
Bareheaded-bully,Stanley-hab-149,ita,dis-ob,F,22,17,677,75.00,24.10,60.00,42.20,0.98
Bareheaded-bully,Stanley-hab-132,ita,ob-dis,M,22,4,664,75.00,35.00,48.95,60.00,0.95
Bareheaded-bully,Stanley-hab-138,ita,ob-dis,M,20,17,617,75.00,34.20,21.65,39.00,0.95
Bareheaded-bully,Stanley-hab-141,usa,ob-dis,M,21,18,648,54.90,16.15,55.40,38.95,0.96
Bareheaded-bully,Stanley-hab-145,usa,ob-dis,M,21,24,654,75.00,35.00,54.80,60.00,0.99
Bareheaded-bully,Stanley-hab-130,usa,ob-dis,F,23,2,692,75.00,35.00,41.70,52.45,0.97
Bareheaded-bully,Stanley-hab-139,usa,ob-dis,F,21,4,634,75.00,24.30,23.30,28.60,0.93
Bareheaded-bully,Stanley-hab-140,usa,ob-dis,F,23,4,694,75.00,35.00,60.00,49.55,0.99
Bareheaded-bully,Stanley-hab-144,ita,ob-dis,F,20,11,611,75.00,35.00,43.60,37.90,0.94
