id,endoAtt_1,endoAtt_2,exoAtt_1,exoAtt_2
's02.mat',411.764705882353,447.058823529412,235.294117647059,282.352941176471
's03.mat',564.705882352941,488.235294117647,294.117647058824,358.823529411765
's04.mat',317.647058823529,447.058823529412,200,435.294117647059
's05.mat',470.588235294118,529.411764705882,405.882352941177,411.764705882353
's06.mat',223.529411764706,188.235294117647,-35.2941176470588,247.058823529412
's07.mat',288.235294117647,488.235294117647,305.882352941176,429.411764705882
's08.mat',464.705882352941,564.705882352941,288.235294117647,364.705882352941
's09.mat',482.352941176471,747.058823529412,105.882352941176,594.117647058824
's10.mat',358.823529411765,488.235294117647,176.470588235294,441.176470588235
's11.mat',217.647058823529,470.588235294118,129.411764705882,347.058823529412
's13.mat',400,405.882352941177,370.588235294118,282.352941176471
's14.mat',188.235294117647,341.176470588235,117.647058823529,152.941176470588
's15.mat',329.411764705882,276.470588235294,152.941176470588,76.4705882352941
's17.mat',376.470588235294,317.647058823529,252.941176470588,282.352941176471
's18.mat',364.705882352941,400,211.764705882353,182.352941176471
's19.mat',394.117647058824,441.176470588235,347.058823529412,341.176470588235
