loc_val_p1,loc_val_p2,loc_val_p3,loc_val_p4,loc_inv_p1,loc_inv_p2,loc_inv_p3,loc_inv_p4,discr_p1,discr_p2,discr_p3,discr_p4
0.513879198,1.029687464,1.177168079,2.664730864,0.111235452,0.439993355,0.78150647,3.268235293,0.174102264,0.579326942,1.110296532,2.618810955
1.661994875,1.605231873,3.074376873,3.268235293,1.723549147,1.319949336,2.114126209,3.268235293,-0.078358859,0.186651577,0.891448212,4.186662657
0.320308006,0.832865694,1.454860802,3.074376873,0.308674193,0.610083324,1.28249472,3.074376873,-0.172183725,-0.136893301,0.216784726,2.064462621
0.864800102,0.91994183,1.867579097,3.268235293,0.505530483,1.091241736,1.974441612,3.268235293,0.214005908,0.026384036,0.582570066,3.661814853
1.430404155,2.124329576,2.858589284,3.268235293,1.665571282,2.447537494,2.858589284,3.268235293,0.184943555,0.741594044,1.518015805,4.621982677
1.005868173,1.609173217,2.523772218,2.664730864,0.819407283,1.164704644,2.062711566,3.268235293,-0.03686839,0.259778057,1.190684576,3.356645118
0.999159582,1.187528716,2.612042172,3.268235293,1.047844119,1.150484611,2.185883848,3.268235293,0.216784726,0.528487142,1.698172383,4.621982677
0,0.458758295,0.239443522,1.409467983,0.045392819,-0.09284272,0.588107793,0.972924463,-0.305169736,-0.718823234,0.197543852,1.338347618
0.889654572,0.962215192,2.062711566,3.074376873,0.588171728,0.909382405,1.723549147,3.074376873,0.136396706,-0.331612281,1.150263083,4.173723206
0.373560237,0.529882249,1.440727195,3.074376873,0.419604141,0.505530483,1.015171174,2.664730864,0.157040328,-0.130747134,0.133220328,2.484139635
1.311377697,1.319949336,2.880518453,3.268235293,0.822553391,1.723549147,2.16957408,3.268235293,0.347405437,0.718705136,2.235275332,4.073668263
2.037891485,1.974441612,2.718904687,3.268235293,1.605231873,2.253679074,2.858589284,3.268235293,0.741594044,0.996022504,1.981010051,4.173723206
0.230583168,0.741461678,1.372931969,3.074376873,0.456852567,0.453365539,1.194224766,2.880518453,-0.304058222,0.399935151,1.071581614,3.049675293
0.819611647,1.177168079,2.309258677,3.268235293,0.569095596,0.814087466,2.253679074,3.268235293,0.232644747,0.742950014,1.859076361,4.293346331
0.701294374,0.337606059,1.365788351,3.268235293,0.513879198,0.702248331,1.828123052,2.880518453,-0.208044545,0,0.755620098,2.830153434
1.429694971,1.791344373,2.418183752,3.268235293,1.609173217,1.559044469,2.718904687,3.074376873,-0.080342274,0.478728866,1.891943424,4.173723206
0.822553391,0.3741074,1.290356124,2.718904687,0.963641598,0.814087466,1.050194815,3.074376873,-0.702222691,0.158183214,0.211088431,2.544110714
0.456852567,0.574643944,2.037891485,3.074376873,0.297590689,0.53665917,1.319949336,3.074376873,0.112087935,0.183424363,0.780061444,3.245725995
1.964645404,1.76885739,2.880518453,3.268235293,1.121729961,1.235271686,2.880518453,3.268235293,0.229882919,0.759888689,2.701005024,4.872673273
0.387544597,0.322737154,1.609173217,3.268235293,0.28903367,0.516071896,1.07643469,2.525046267,0.110965032,0.163667016,0.302247564,3.180742765
0.260767145,0.550923302,1.071934175,3.074376873,0.424806747,0.345617115,0.852619403,2.718904687,-0.293799813,-0.086526346,0.511803429,2.405016526
0.79963677,1.502310703,2.718904687,3.268235293,0.972924463,1.311377697,2.880518453,3.074376873,0.112087935,0.927498604,1.252355985,3.661814853
1.001322454,0.912250003,1.898206888,2.858589284,0.650187309,0.870003292,1.387744563,2.858589284,-0.10481297,0.315614522,0.643362951,2.786136848
1.038449916,0.93240474,1.970096258,3.074376873,0.7385428,0.561329099,1.497490197,3.074376873,0.079891425,0.236542073,0.864652252,3.899565999
0.489837456,0.413320746,1.051260991,3.074376873,0.394600536,0.652389227,1.050194815,3.268235293,0.065582133,0.388289404,0.031162448,2.16033955
0.597164289,1.150484611,2.065661104,3.074376873,0.780216846,0.544037457,1.196022492,3.074376873,-0.151126417,0.505793096,0.829234486,3.180742765
0.22372304,0.864800102,1.319949336,3.074376873,0.304570194,0.733480941,1.058850805,3.074376873,0.246922596,0.05311771,1.290116327,2.7724185
1.104243624,1.010150023,1.898206888,3.074376873,0.777160572,0.777160572,2.037891485,3.268235293,-0.130747134,0.452507823,1.038690411,3.491241735
0.149837197,0.3741074,0.93240474,1.748857815,0.111235452,0.036942921,0.532397233,2.448943274,-0.157040328,0.211088431,0.350004885,1.664767062
0.3741074,0.822553391,1.723549147,3.268235293,0.073885843,0.036942921,1.208456527,3.268235293,0.190999805,0.530446828,0.960700739,4.598516067
1.154179973,1.454860802,2.880518453,3.268235293,0.814087466,1.409467983,2.612042172,3.074376873,0.158789697,0.264146977,0.714928066,3.768498528
0.838850117,1.409467983,2.16957408,3.074376873,1.050194815,0.663716395,1.851778985,3.268235293,0.197772368,0.730219457,1.105217049,3.245725995
0.357556431,0.870850468,2.329913798,3.268235293,0.625731621,0.832865694,2.318187996,2.858589284,0.121518199,0.584939215,1.812802873,4.34782547
1.117990042,1.898206888,3.268235293,3.268235293,1.28249472,1.974441612,2.664730864,3.268235293,0.778672571,0.844517837,1.559041058,4.872673273
0.500337689,1.000199966,2.185883848,2.858589284,0.813419848,0.963641598,1.661994875,3.268235293,0.026494018,0.394233097,0.782564965,3.594396264
0.335575463,0.037248426,0.652389227,2.448943274,0.037559893,0.073987026,0.262254976,2.124329576,0.218867098,-0.097348899,0.307989594,1.9502317
1.551494679,1.704784628,2.612042172,2.880518453,1.089159977,1.203236581,2.718904687,3.074376873,0.361409245,0.243762451,1.300994213,4.073668263
0.529882249,0.822553391,1.573724921,2.664730864,0.299299081,0.580338802,1.898206888,3.268235293,0.134834661,0.318639364,0.614532002,2.917114671
1.08478704,1.373266982,2.418183752,3.268235293,0.924655299,1.589054571,2.447537494,3.074376873,0.146272217,0.29980065,0.979249582,3.845111883
0.542778909,0.580338802,1.552249241,2.880518453,0.650187309,0.72312006,1.491249242,3.268235293,0.468924706,0.583671811,1.232047882,3.354845029
1.828123052,2.208442362,2.718904687,3.268235293,1.203236581,1.561723316,2.612042172,3.268235293,0.180485864,0.675949522,1.524444791,2.83740173
0.741461678,1.703074419,1.867579097,3.074376873,0.822553391,1.337806025,1.703074419,3.268235293,-0.105065504,0.505022059,0.477160913,2.656915866
0.529050803,1.208456527,2.309258677,3.268235293,0.412092174,1.029687464,1.898206888,3.268235293,0.05885974,-0.056631889,1.124348668,3.463328792
0.69243402,0.419604141,1.429694971,3.268235293,0.299299081,0.590364426,1.244963305,3.268235293,-0.239039853,-0.079501745,0.49230431,2.789269467
1.058850805,1.970096258,3.268235293,3.268235293,0.815667546,1.514246253,2.880518453,3.268235293,0.377914398,1.159105907,2.405016526,4.872673273
