scoreHard,scoreMedium,scoreEasy,scoreAverage,scoreComp,Round1,status,condition,perfChange1 ,momentum1,perfChange2,momentum2,likelyWin,playAgain,familiarTask,education,age,gender,fun,mood,easierHarder,dweckNeg1,dweckNeg2,dweckNeg3,dweckNeg4,dweckNeg1rev,dweckNeg2rev,dweckNeg3rev,dweckNeg4rev,dweckPos1,dweckPos2,dweckPos3,dweckPos4,dweckAvg,compStats
8,10,14,11,14,Hard,Favorite,posMomFav,5,44,5,54,7,1,3,2,49,1,4,3,3,2,3,2,3,6,5,6,5,5,2,3,3,4.375,1
2,7,9,6,0,Easy,Favorite,negMomFav,3,65,2,21,1,2,2,3,36,2,4,3,2,4,3,3,5,4,5,5,3,5,6,6,5,4.875,
6,11,9,9,7,Hard,Underdog,posMomUnder,7,50,3,40,5,1,1,2,34,2,5,3,1,6,6,6,6,2,2,2,2,3,5,6,4,3.25,2
3,3,2,3,0,Hard,Favorite,posMomFav,4,8,1,3,2,2,1,4,38,2,2,4,3,2,2,2,2,6,6,6,6,6,6,6,6,6,
5,9,8,7,0,Easy,Favorite,negMomFav,5,59,2,33,2,2,2,2,57,1,2,4,2,7,7,7,7,1,1,1,1,1,1,7,1,1.75,
13,21,22,19,25,Hard,Underdog,posMomUnder,5,70,6,80,6,1,3,2,48,2,5,6,3,6,5,6,5,2,3,2,3,3,4,3,3,2.875,1
15,14,12,14,16,Easy,Favorite,negMomFav,5,51,5,56,7,1,2,4,33,1,2,5,1,3,3,4,4,5,5,4,4,5,6,6,4,4.875,1
5,8,10,8,0,Easy,Underdog,negMomUnder,3,78,1,100,5,2,3,2,21,2,4,6,2,2,2,2,2,6,6,6,6,6,6,6,6,6,
3,9,11,8,10,Hard,Favorite,posMomFav,5,31,5,22,5,1,1,3,39,2,2,4,1,6,6,6,6,2,2,2,2,2,2,2,2,2,1
2,9,6,6,9,Hard,Underdog,posMomUnder,6,50,5,52,1,1,1,2,33,1,4,6,3,5,3,5,5,3,5,3,3,5,5,3,3,3.75,1
9,15,13,12,14,Hard,Underdog,posMomUnder,6,59,6,74,9,1,2,5,36,1,5,6,1,2,2,1,2,6,6,7,6,7,7,7,7,6.625,1
3,7,7,6,7,Easy,Favorite,negMomFav,4,57,1,12,10,1,1,4,52,1,4,5,2,4,5,4,3,4,3,4,5,6,4,5,3,4.25,1
4,7,10,7,10,Hard,Underdog,posMomUnder,4,7,6,36,4,1,3,2,55,2,5,6,1,5,4,4,2,3,4,4,6,4,4,4,6,4.375,1
12,13,19,15,20,Easy,Underdog,negMomUnder,3,23,2,17,5,1,3,3,41,2,5,6,2,3,3,2,3,5,5,6,5,5,6,6,6,5.5,1
8,8,14,10,13,Easy,Favorite,negMomFav,3,50,3,50,5,1,2,3,36,2,5,6,2,6,6,5,5,2,2,3,3,4,6,6,4,3.75,1
17,20,30,22,34,Hard,Underdog,posMomUnder,5,27,4,26,4,1,2,3,33,1,2,4,1,5,5,5,5,3,3,3,3,3,3,3,3,3,1
10,11,9,10,0,Easy,Underdog,negMomUnder,5,48,3,31,2,2,2,2,26,1,2,5,3,4,5,3,4,4,3,5,4,5,5,5,5,4.5,
15,18,10,14,15,Easy,Favorite,negMomFav,5,54,3,48,10,1,3,3,26,1,4,1,3,4,4,5,6,4,4,3,2,5,6,7,6,4.625,1
1,1,4,2,3,Hard,Favorite,posMomFav,1,15,5,27,5,1,3,2,71,1,1,3,2,3,3,2,3,5,5,6,5,5,5,6,6,5.375,1
7,9,9,8,14,Hard,Favorite,posMomFav,5,51,4,0,5,1,1,2,39,1,2,4,1,5,5,5,5,3,3,3,3,3,3,3,3,3,1
8,13,15,12,17,Hard,Favorite,posMomFav,6,95,7,100,10,1,3,3,34,2,6,4,3,2,2,5,2,6,6,3,6,6,4,5,4,5,1
4,6,6,5,0,Hard,Underdog,posMomUnder,5,75,4,72,4,2,2,4,30,1,2,3,1,3,3,2,2,5,5,6,6,3,6,6,6,5.375,
3,8,5,5,0,Easy,Favorite,negMomFav,6,51,3,24,5,2,1,3,33,1,2,5,1,1,1,1,6,7,7,7,2,6,6,6,6,5.875,
2,8,9,6,7,Easy,Underdog,negMomUnder,3,8,1,1,4,1,1,3,36,2,2,1,2,5,5,5,5,3,3,3,3,3,3,3,3,3,2
13,16,22,17,29,Hard,Favorite,posMomFav,5,57,6,75,7,1,3,3,39,2,5,5,1,2,2,2,2,6,6,6,6,6,6,6,6,6,1
6,7,7,7,10,Easy,Underdog,negMomUnder,5,55,4,54,4,1,3,2,29,2,6,2,1,2,2,2,2,6,6,6,6,6,6,6,6,6,1
4,4,7,5,0,Hard,Underdog,posMomUnder,5,51,7,100,1,2,2,2,36,2,2,4,1,3,4,2,5,5,4,6,3,4,7,7,5,5.125,
8,8,11,9,10,Hard,Underdog,posMomUnder,5,50,7,91,9,1,1,2,33,2,5,5,3,3,2,2,2,5,6,6,6,5,6,6,6,5.75,2
4,8,4,5,0,Easy,Underdog,negMomUnder,5,70,4,51,1,2,2,3,45,2,1,6,2,2,2,2,2,6,6,6,6,6,6,6,6,6,
3,3,4,3,4,Easy,Favorite,negMomFav,3,50,4,50,4,1,2,4,35,2,4,5,3,6,6,6,6,2,2,2,2,2,2,3,4,2.375,1
9,14,10,11,0,Hard,Favorite,posMomFav,6,70,5,60,6,2,2,3,39,2,4,6,3,2,2,1,3,6,6,7,5,5,6,5,6,5.75,
0,8,7,5,5,Hard,Underdog,posMomUnder,5,57,5,60,7,1,2,2,29,1,2,6,2,4,4,5,5,4,4,3,3,4,5,5,5,4.125,2
2,7,7,5,7,Easy,Favorite,negMomFav,4,62,1,43,5,1,1,2,36,2,6,7,2,2,2,2,2,6,6,6,6,6,7,7,7,6.375,1
14,4,3,7,15,Easy,Favorite,negMomFav,4,81,7,77,10,1,1,4,27,1,6,7,1,3,3,3,2,5,5,5,6,4,4,4,2,4.375,1
8,10,20,13,15,Hard,Underdog,posMomUnder,5,50,6,66,5,1,2,3,28,2,4,4,3,4,4,4,4,4,4,4,4,4,5,5,5,4.375,1
0,1,0,0,0,Hard,Underdog,posMomUnder,2,25,5,60,6,1,2,4,33,1,5,3,2,3,3,5,4,5,5,3,4,3,4,5,4,4.125,2
2,5,5,4,7,Easy,Favorite,negMomFav,4,54,1,28,3,1,2,2,29,2,4,4,2,3,3,2,2,5,5,6,6,4,6,6,5,5.375,1
5,14,17,12,16,Hard,Underdog,posMomUnder,7,11,6,32,3,1,1,4,26,1,2,4,2,4,4,5,4,4,4,3,4,4,5,5,5,4.25,1
6,4,6,5,12,Hard,Favorite,posMomFav,4,15,5,7,10,1,2,3,28,1,2,6,3,3,3,3,3,5,5,5,5,5,5,5,5,5,1
7,9,6,7,11,Easy,Underdog,negMomUnder,4,81,3,50,10,1,2,3,38,1,5,6,3,4,3,1,2,4,5,7,6,5,6,6,7,5.75,1
5,8,7,7,8,Easy,Favorite,negMomFav,5,11,4,1,3,1,2,2,36,1,4,4,1,6,6,6,6,2,2,2,2,3,5,5,3,3,1
16,10,12,13,19,Easy,Favorite,negMomFav,3,62,7,100,8,1,2,2,28,1,5,5,1,4,2,4,4,4,6,4,4,4,4,4,4,4.25,1
12,22,28,21,15,Hard,Favorite,posMomFav,5,80,6,87,7,1,3,3,35,2,4,4,1,5,5,5,5,3,3,3,3,4,5,4,4,3.625,2
10,10,9,10,11,Easy,Underdog,negMomUnder,5,33,5,30,6,1,1,4,60,2,5,6,3,2,2,2,2,6,6,6,6,5,5,5,5,5.5,2
5,9,8,7,9,Hard,Underdog,posMomUnder,5,74,5,48,6,1,2,3,49,1,4,6,3,4,2,2,3,4,6,6,5,5,6,6,5,5.375,1
15,19,23,19,25,Easy,Underdog,negMomUnder,3,48,3,26,5,1,3,3,31,1,5,6,2,3,3,3,3,5,5,5,5,5,6,6,5,5.25,1
26,21,20,22,26,Easy,Favorite,negMomFav,5,17,5,20,4,1,1,3,45,2,4,4,3,6,5,6,3,2,3,2,5,5,7,7,6,4.625,1
1,8,12,7,8,Hard,Favorite,posMomFav,6,88,7,91,10,1,2,3,24,2,5,7,1,1,1,1,1,7,7,7,7,6,7,7,7,6.875,1
12,10,16,13,16,Hard,Underdog,posMomUnder,3,88,6,96,5,1,3,2,65,2,5,6,3,2,2,2,2,6,6,6,6,6,6,6,6,6,1
12,11,13,12,12,Easy,Favorite,negMomFav,4,27,4,6,8,1,2,3,26,1,2,5,2,3,2,2,2,5,6,6,6,5,6,5,5,5.5,1
8,10,11,10,13,Hard,Underdog,posMomUnder,4,51,5,51,4,1,1,3,31,2,4,5,3,5,4,4,4,3,4,4,4,4,4,6,4,4.125,1
13,10,20,14,0,Hard,Underdog,posMomUnder,2,5,5,22,3,2,2,3,44,2,5,5,3,6,5,5,5,2,3,3,3,3,5,5,4,3.5,
5,5,11,7,0,Hard,Favorite,posMomFav,4,50,6,76,6,2,3,3,34,1,5,6,3,6,4,3,1,2,4,5,7,2,6,6,5,4.625,
4,9,11,8,13,Easy,Favorite,negMomFav,3,50,1,7,4,1,2,3,28,2,4,5,2,2,2,2,2,6,6,6,6,5,5,5,5,5.5,1
3,11,15,10,13,Hard,Underdog,posMomUnder,7,50,7,100,10,1,1,2,30,2,5,7,3,1,7,1,7,7,1,7,1,7,7,7,7,5.5,1
4,8,5,6,7,Easy,Underdog,negMomUnder,6,100,3,30,5,1,3,3,34,2,4,3,2,2,2,1,1,6,6,7,7,5,6,7,6,6.25,2
0,7,4,4,5,Easy,Favorite,negMomFav,6,77,2,8,7,1,2,2,23,2,2,3,2,5,2,5,5,3,6,3,3,2,6,6,5,4.25,1
5,7,10,7,9,Easy,Underdog,negMomUnder,2,58,2,50,6,1,1,2,46,1,5,7,2,3,3,3,3,5,5,5,5,5,6,6,5,5.25,1
15,15,19,16,18,Easy,Favorite,negMomFav,1,14,4,12,5,1,4,2,52,2,5,5,2,3,3,3,3,5,5,5,5,5,6,6,5,5.25,1
3,6,7,5,6,Hard,Underdog,posMomUnder,6,78,6,77,8,1,1,2,40,1,6,6,2,1,1,1,1,7,7,7,7,7,7,7,7,7,2
3,8,12,8,11,Easy,Favorite,negMomFav,4,50,4,50,5,1,2,2,58,2,4,6,2,7,7,7,7,1,1,1,1,1,1,1,1,1,1
8,10,8,9,0,Hard,Underdog,posMomUnder,4,50,4,24,3,2,2,3,55,1,1,4,3,6,4,5,4,2,4,3,4,3,3,3,4,3.25,
11,15,13,13,18,Easy,Favorite,negMomFav,5,70,6,72,5,1,2,3,54,2,5,6,2,2,2,2,2,6,6,6,6,6,6,6,6,6,1
0,5,4,3,7,Hard,Underdog,posMomUnder,6,84,4,88,5,1,1,2,28,1,4,5,3,1,2,2,2,7,6,6,6,7,6,6,6,6.25,1
