scoreHard,scoreMedium,scoreEasy,scoreAverage,scoreComp,Round1,status,condition,perfChange1 ,momentum1,perfChange2,momentum2,likelyWin,playAgain,familiarTask,education,age,gender,fun,mood,easierHarder,dweckNeg1,dweckNeg2,dweckNeg3,dweckNeg4,dweckNeg1rev,dweckNeg2rev,dweckNeg3rev,dweckNeg4rev,dweckPos1,dweckPos2,dweckPos3,dweckPos4,dweckAvg,compStats
9,11,15,12,13,Hard,Favorite,posMomFav,6,90,7,88,10,1,2,2,24,2,5,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1
15,19,22,19,24,Easy,Favorite,negMomFav,3,76,2,61,4,1,3,3,42,2,6,1,2,3,2,2,2,5,6,6,6,6,6,7,6,6,1
3,3,7,4,11,Easy,Favorite,negMomFav,1,8,1,0,10,1,3,2,34,2,6,7,2,7,1,7,7,1,7,1,1,7,7,7,7,4.75,1
4,11,12,9,10,Easy,Underdog,negMomUnder,3,50,2,26,6,1,3,3,43,1,5,3,2,4,5,4,5,4,3,4,3,3,4,3,3,3.375,2
13,11,15,13,15,Easy,Underdog,negMomUnder,3,100,3,100,9,1,3,3,27,2,2,5,2,4,3,2,3,4,5,6,5,5,6,6,6,5.375,1
10,12,18,13,15,Hard,Favorite,posMomFav,5,68,5,64,6,1,2,2,37,2,5,6,1,3,4,3,4,5,4,5,4,3,5,5,4,4.375,1
13,18,22,18,18,Hard,Underdog,posMomUnder,6,75,6,60,9,1,2,3,33,2,2,4,2,3,3,3,3,5,5,5,5,3,5,5,5,4.75,2
3,4,9,5,0,Hard,Underdog,posMomUnder,4,50,5,56,3,2,1,3,25,2,1,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,
11,12,14,12,17,Easy,Favorite,negMomFav,3,50,2,31,10,1,4,3,33,2,5,5,3,5,3,2,2,3,5,6,6,6,6,6,5,5.375,1
7,10,17,11,16,Hard,Favorite,posMomFav,5,67,6,79,9,1,2,2,48,2,4,6,3,3,2,2,2,5,6,6,6,5,6,6,6,5.75,1
13,14,16,14,0,Hard,Underdog,posMomUnder,4,5,4,4,5,2,2,3,53,1,2,3,3,5,3,2,2,3,5,6,6,3,6,6,6,5.125,
2,6,6,5,0,Hard,Underdog,posMomUnder,5,55,5,55,1,2,2,3,58,1,6,7,1,4,4,4,4,4,4,4,4,4,4,4,4,4,
2,4,7,4,3,Easy,Favorite,negMomFav,6,60,7,98,8,1,1,3,26,1,5,5,2,4,5,6,7,4,3,2,1,6,2,4,6,3.5,2
8,5,12,8,0,Hard,Underdog,posMomUnder,5,28,5,70,2,2,2,3,30,1,2,5,1,3,5,3,5,5,3,5,3,5,4,4,4,4.125,
14,11,14,13,15,Easy,Favorite,negMomFav,3,97,4,96,10,1,2,4,61,2,6,7,2,2,2,2,2,6,6,6,6,6,6,6,6,6,1
12,7,16,12,19,Easy,Underdog,negMomUnder,3,23,3,50,5,1,2,4,30,1,4,5,3,5,4,6,5,3,4,2,3,4,5,5,5,3.875,1
10,11,8,10,16,Easy,Favorite,negMomFav,5,63,5,50,8,1,2,3,30,2,4,6,2,3,3,2,3,5,5,6,5,5,6,6,6,5.5,1
2,10,15,9,0,Hard,Underdog,posMomUnder,7,76,7,88,5,2,2,2,31,1,4,5,1,3,2,2,2,5,6,6,6,5,6,6,6,5.75,
5,7,5,6,0,Easy,Underdog,negMomUnder,5,50,4,51,3,2,1,3,30,2,5,4,2,3,3,3,3,5,5,5,5,5,5,5,5,5,
8,9,12,10,0,Hard,Favorite,posMomFav,5,59,6,77,7,2,3,4,36,1,2,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,
8,9,13,10,12,Easy,Favorite,negMomFav,3,37,2,26,9,1,2,2,26,2,2,5,2,4,4,3,3,4,4,5,5,5,5,5,4,4.625,1
1,7,8,5,0,Hard,Underdog,posMomUnder,5,81,7,85,5,2,1,3,35,1,5,6,3,4,5,5,5,4,3,3,3,4,5,5,5,4,
19,18,14,17,18,Easy,Underdog,negMomUnder,7,79,5,72,6,1,2,3,43,2,4,2,3,5,5,4,5,3,3,4,3,5,5,5,6,4.25,2
10,21,23,18,27,Hard,Favorite,posMomFav,5,47,5,50,5,1,2,3,49,1,2,5,3,5,6,4,6,3,2,4,2,3,5,5,5,3.625,1
5,7,6,6,9,Easy,Favorite,negMomFav,5,50,3,19,7,1,2,4,62,1,6,1,2,4,6,6,4,4,2,2,4,6,6,4,6,4.25,1
11,5,12,9,14,Easy,Favorite,negMomFav,2,12,4,54,7,1,2,3,49,1,4,6,3,3,3,3,3,5,5,5,5,5,5,5,5,5,1
8,11,8,9,11,Easy,Favorite,negMomFav,5,25,3,11,5,1,1,5,29,2,2,4,3,1,2,2,2,7,6,6,6,5,5,6,5,5.75,1
8,6,2,5,11,Easy,Favorite,negMomFav,7,67,7,88,7,1,2,3,53,2,5,1,3,6,5,6,5,2,3,2,3,2,6,6,6,3.75,1
6,6,15,9,0,Hard,Favorite,posMomFav,4,0,6,52,4,2,2,3,44,2,2,5,1,5,5,5,5,3,3,3,3,5,5,5,3,3.75,
4,4,11,6,0,Hard,Underdog,posMomUnder,4,42,6,50,5,2,3,3,45,2,4,5,2,4,2,3,3,4,6,5,5,6,6,6,6,5.5,
8,13,15,12,19,Hard,Underdog,posMomUnder,6,50,5,40,2,1,2,4,27,1,5,6,3,2,2,1,1,6,6,7,7,6,6,7,6,6.375,1
16,21,16,18,20,Hard,Underdog,posMomUnder,5,71,4,50,5,1,2,3,31,2,1,2,3,2,5,5,4,6,3,3,4,4,3,5,5,4.125,1
2,4,5,4,0,Hard,Favorite,posMomFav,5,15,5,28,3,2,2,2,50,1,2,5,1,3,2,2,2,5,6,6,6,6,6,6,6,5.875,
8,12,19,13,0,Hard,Favorite,posMomFav,6,52,7,90,3,2,3,4,60,1,5,6,3,1,4,1,2,7,4,7,6,4,6,5,5,5.5,
6,4,7,6,0,Easy,Underdog,negMomUnder,3,60,3,50,1,2,2,4,64,2,6,7,3,2,2,2,2,6,6,6,6,2,6,6,2,5,
2,7,5,5,5,Easy,Underdog,negMomUnder,5,51,2,4,4,1,1,2,41,1,4,4,2,4,2,2,2,4,6,6,6,6,6,6,6,5.75,2
8,10,15,11,0,Easy,Underdog,negMomUnder,1,25,1,6,1,2,1,3,29,2,1,4,2,7,7,4,7,1,1,4,1,7,5,7,7,4.125,
10,20,12,14,0,Easy,Favorite,negMomFav,5,55,4,51,5,2,5,4,38,1,2,6,2,4,4,4,4,4,4,4,4,4,4,4,4,4,
16,14,18,16,0,Hard,Underdog,posMomUnder,4,53,5,69,5,2,3,3,41,1,4,5,3,2,2,2,2,6,6,6,6,6,6,6,6,6,
14,11,15,13,26,Easy,Favorite,negMomFav,3,99,7,100,5,1,3,3,26,2,6,7,1,2,3,6,2,6,5,2,6,6,6,6,6,5.375,1
4,0,0,1,0,Hard,Favorite,posMomFav,5,74,5,73,8,2,1,3,28,1,4,5,1,6,5,5,6,2,3,3,2,5,6,4,4,3.625,
9,12,12,11,0,Easy,Underdog,negMomUnder,4,50,3,42,3,2,1,3,28,1,4,4,2,3,3,3,3,5,5,5,5,5,6,6,5,5.25,
11,19,21,17,0,Hard,Favorite,posMomFav,5,65,5,77,1,2,3,3,23,2,6,7,1,6,7,7,7,2,1,1,1,1,1,1,1,1.125,
7,14,10,10,0,Hard,Underdog,posMomUnder,6,81,5,81,8,2,2,2,47,2,5,2,3,1,6,2,4,7,2,6,4,6,7,7,6,5.625,
8,11,11,10,12,Hard,Underdog,posMomUnder,6,87,5,72,5,1,2,4,54,2,5,6,3,6,6,5,6,2,2,3,2,2,6,6,6,3.625,1
13,3,10,9,13,Easy,Favorite,negMomFav,1,50,6,77,5,1,2,2,21,2,5,6,1,4,3,3,2,4,5,5,6,5,6,6,6,5.375,1
10,14,20,15,14,Hard,Favorite,posMomFav,5,83,5,85,8,1,3,3,31,2,5,3,1,4,4,4,4,4,4,4,4,5,5,5,5,4.5,2
8,5,9,7,14,Hard,Underdog,posMomUnder,3,24,4,50,5,1,2,2,41,1,4,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,1
6,10,12,9,0,Easy,Underdog,negMomUnder,5,57,4,46,4,2,2,3,33,1,2,5,2,4,3,3,3,4,5,5,5,5,6,6,5,5.125,
16,14,20,17,22,Easy,Favorite,negMomFav,2,34,4,51,6,1,2,4,44,1,4,5,2,3,2,2,3,5,6,6,5,5,5,5,6,5.375,1
9,10,8,9,0,Easy,Underdog,negMomUnder,5,69,5,50,5,2,2,2,58,2,5,3,2,2,2,2,2,6,6,6,6,6,6,6,6,6,
8,12,16,12,11,Hard,Favorite,posMomFav,7,51,7,74,8,1,3,3,38,1,5,6,1,2,1,1,1,6,7,7,7,6,7,7,7,6.75,2
7,11,13,10,14,Hard,Underdog,posMomUnder,6,84,7,100,7,1,1,2,19,1,6,6,1,7,7,4,6,1,1,4,2,3,6,4,6,3.375,1
10,6,11,9,0,Easy,Favorite,negMomFav,3,49,4,49,4,2,2,3,55,2,4,5,3,6,6,5,3,2,2,3,5,3,3,3,5,3.25,
1,2,6,3,0,Easy,Favorite,negMomFav,3,0,2,0,2,2,2,3,28,2,2,3,3,1,5,3,4,7,3,5,4,5,6,5,5,5,
8,12,13,11,18,Hard,Underdog,posMomUnder,6,55,7,69,9,1,1,4,26,2,5,6,1,3,5,3,3,5,3,5,5,5,6,7,5,5.125,1
7,10,15,11,10,Hard,Favorite,posMomFav,5,50,5,50,6,1,2,3,35,1,4,3,1,3,3,3,5,5,5,5,3,5,5,5,5,4.75,2
13,10,15,13,15,Easy,Favorite,negMomFav,3,79,5,82,8,1,2,3,37,2,4,5,2,3,2,3,3,5,6,5,5,5,7,7,6,5.75,1
7,11,14,11,13,Easy,Underdog,negMomUnder,3,36,2,7,3,1,3,3,26,1,4,2,2,2,2,2,1,6,6,6,7,6,6,6,5,6,1
13,14,13,13,22,Easy,Underdog,negMomUnder,6,80,4,73,8,1,4,2,34,2,5,5,1,2,2,2,2,6,6,6,6,6,6,6,6,6,1
11,8,14,11,10,Hard,Favorite,posMomFav,3,50,5,50,4,1,2,3,44,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2
13,21,19,18,0,Easy,Underdog,negMomUnder,6,75,5,84,1,2,5,2,55,2,6,7,2,2,3,1,4,6,5,7,4,5,7,7,7,6,
9,6,8,8,0,Easy,Favorite,negMomFav,3,9,5,15,4,2,2,3,33,1,2,2,2,4,4,4,4,4,4,4,4,5,4,6,4,4.375,
3,6,4,4,8,Easy,Underdog,negMomUnder,5,54,4,51,5,1,2,2,64,2,4,5,3,5,4,3,5,3,4,5,3,5,6,6,6,4.75,1
10,11,13,11,16,Easy,Underdog,negMomUnder,4,85,3,56,5,1,1,2,46,2,5,5,2,2,4,3,5,6,4,5,3,4,5,5,5,4.625,1
8,7,13,9,11,Hard,Underdog,posMomUnder,4,54,5,71,5,1,2,2,30,2,5,6,1,3,4,5,5,5,4,3,3,5,5,4,3,4,1
1,4,1,2,5,Hard,Favorite,posMomFav,6,73,3,70,5,1,2,2,75,1,6,7,3,3,3,3,3,5,5,5,5,5,5,5,5,5,1
8,12,51,24,0,Hard,Favorite,posMomFav,4,49,1,61,1,1,2,4,55,2,1,5,2,1,3,1,1,7,5,7,7,3,1,1,1,4,2
13,17,28,19,23,Hard,Favorite,posMomFav,5,82,5,87,7,1,2,4,50,2,5,6,1,3,3,3,3,5,5,5,5,6,6,6,6,5.5,1
1,2,2,2,3,Hard,Underdog,posMomUnder,5,77,4,43,9,1,1,3,39,1,6,6,2,2,3,3,3,6,5,5,5,4,7,6,6,5.5,2
7,10,14,10,0,Easy,Underdog,negMomUnder,3,42,2,8,2,2,1,2,29,1,5,6,2,2,2,2,2,6,6,6,6,6,6,6,6,6,
7,10,12,10,0,Easy,Favorite,negMomFav,2,50,1,0,1,2,2,2,67,1,2,2,2,6,6,6,6,2,2,2,2,2,2,2,2,2,
11,15,12,13,12,Easy,Favorite,negMomFav,5,25,3,14,3,1,1,1,46,1,5,5,2,2,3,2,4,6,5,6,4,6,6,5,6,5.5,2
24,30,22,25,41,Easy,Favorite,negMomFav,5,57,3,50,5,1,3,2,45,2,5,6,3,2,2,2,2,6,6,6,6,6,6,6,6,6,1
6,8,12,9,0,Hard,Underdog,posMomUnder,6,76,7,85,4,2,3,4,51,1,6,6,1,2,2,2,2,6,6,6,6,6,6,6,6,6,
8,10,11,10,0,Hard,Underdog,posMomUnder,5,88,5,91,5,2,3,2,40,2,5,6,1,2,2,1,3,6,6,7,5,4,5,4,7,5.5,
