participant_id,group,AR_pre,TTS_pre,GNG_pre,GR_pre,MS_pre,PM_pre,RMS_pre,age_round,age_bin,AR_post,TTS_post,GNG_post,GR_post,MS_post,PM_post,RMS_post,AR_1,TTS_1,GNG_1,GR_1,MS_1,PM_1,RMS_1,GI_1,AR_2,TTS_2,GNG_2,GR_2,MS_2,PM_2,RMS_2,GI_2,AR_d,TTS_d,GNG_d,GR_d,MS_d,PM_d,RMS_d,GI_d,lost_track_details_pre,misplaced_items_pre,lost_concentration_pre,remembered_names_pre,felt_creative_pre,good_concentration_pre,felt_anxious_pre,in_bad_mood_pre,felt_sad_pre,felt_training_benefits_pre,rwc_ave_pre,lost_track_details_post,misplaced_items_post,lost_concentration_post,remembered_names_post,felt_creative_post,good_concentration_post,felt_anxious_post,in_bad_mood_post,felt_sad_post,felt_training_benefits_post,rwc_ave_post,lost_track_details_d,misplaced_items_d,lost_concentration_d,remembered_names_d,felt_creative_d,good_concentration_d,felt_anxious_d,in_bad_mood_d,felt_sad_d,felt_training_benefits_d,rwc_ave_d,crosswords_active_days,lumosity_active_days,active_days,exclude,est_hours
1184,crosswords,6,-164.372,-476,9,6,15,5,33,"[30,35)",13,-280.738,-499,5,5,11,6,69.93453624,112.5247602,84.78925351,100.7885497,99.44522366,117.6574457,94.19503153,94.2983793,93.68824467,101.6086437,79.75012395,88.442258,86.27662334,94.78840165,106.3436639,86.77063781,23.75370843,-10.91611657,-5.039129558,-12.34629174,-13.16860032,-22.86904406,12.14863241,-7.527741493,2,4,2,4,4,2,1,2,2,NA,2.555555556,3,5,3,4,4,4,2,3,2,4,3.333333333,1,1,1,0,0,2,1,1,0,NA,0.777777778,60,0,60,0,16.34616806
1185,crosswords,16,-517.243,-439,10,3,11,4,56,"[55,60)",18,-285.119,-435,7,5,12,6,107.2963581,91.19789496,104.0596246,109.7119218,75.79962408,104.0596246,91.37593231,95.44433091,114.9168682,110.3387331,104.9513227,99.79946376,97.83682509,108.6832773,118.4512193,114.9193124,7.620510129,19.14083811,0.89169812,-9.912458057,22.03720101,4.623652747,27.07528699,19.47498151,1,1,4,5,5,4,1,2,2,NA,2.777777778,4,4,4,2,4,5,2,2,3,3,3.333333333,3,3,0,-3,-1,1,1,0,1,NA,0.555555556,53,0,53,0,12.98461083
1186,lumosity,18,-320.833,-427,17,6,14,4,25,"[25,30)",16,-537.579,-408,20,6,9,5,107.8409364,96.17721609,94.29076333,124.8435116,97.78409342,109.5750208,79.51736008,102.7353605,102.0392565,80.32065568,99.78139096,134.9609953,97.78409342,85.81110163,92.55730046,98.1357357,-5.801679863,-15.85656041,5.490627624,10.1174837,0,-23.7639192,13.03994038,-4.599624833,4,2,4,NA,4,4,1,2,4,NA,3.125,4,2,4,3,4,4,1,2,4,NA,3.111111111,0,0,0,NA,0,0,0,0,0,NA,-0.013888889,0,13,13,0,3.056475139
1187,crosswords,10,-392.261,-385,7,7,12,6,31,"[30,35)",8,-442.184,-340,7,6,13,6,84.29277128,91.30438564,108.0474594,94.8813271,113.2855782,99.26990935,106.3436639,99.38124137,77.03542513,88.40293709,125.3040987,94.8813271,99.44522366,105.2736597,106.3436639,99.16112185,-7.257346145,-2.901448552,17.25663928,0,-13.84035457,6.003750395,0,-0.220119523,2,4,4,2,4,3,1,3,4,NA,3,4,5,4,NA,4,3,3,2,4,3,3.625,2,1,0,NA,0,0,2,-1,0,NA,0.625,53,0,53,0,17.24512028
1188,crosswords,7,-662.79,-472,3,5,9,6,56,"[55,60)",13,-592.302,-466,6,5,7,3,76.84484907,81.3332232,97.27797525,85.32774571,97.83682509,95.36523281,118.4512193,87.26381845,97.68474159,86.19312604,98.29180782,96.35489549,97.83682509,89.27639877,78.22890066,84.65925612,20.83989252,4.859902837,1.013832567,11.02714978,0,-6.088834041,-40.22231865,-2.604562331,4,4,4,2,4,2,2,2,4,NA,3.111111111,3,5,4,2,4,4,2,2,2,4,3.111111111,-1,1,0,0,0,2,0,0,-2,NA,0,64,0,64,0,18.2143025
1189,lumosity,17,-227.897,-396,5,5,8,5,30,"[30,35)",15,-427.918,-369,8,6,10,5,105.3358115,105.9310229,104.7488881,88.442258,86.27662334,83.67328458,94.19503153,91.25649412,99.41601051,88.94642503,114.6361235,97.62556081,99.44522366,90.92165997,94.19503153,95.92207611,-5.919801026,-16.98459785,9.887235406,9.183302806,13.16860032,7.248375394,0,4.66558199,2,3,1,5,4,3,1,2,1,NA,2.444444444,1,1,1,5,3,1,3,4,2,NA,2.333333333,-1,-2,0,0,-1,-2,2,2,1,NA,-0.111111111,0,21,21,0,4.902366961
1190,crosswords,10,-164.372,-395,6,7,14,8,30,"[30,35)",13,-85.302,-445,8,7,15,9,84.29277128,112.5247602,105.0877415,91.78347384,113.2855782,111.2846825,130.0654638,113.0815602,93.68824467,124.7180843,91.85122465,97.62556081,113.2855782,117.6574457,142.4463055,121.9862966,9.395473389,12.19332402,-13.23651687,5.842086971,0,6.372763233,12.3808417,8.904736383,4,5,3,4,4,2,NA,NA,5,NA,3.857142857,2,4,4,4,3,2,2,3,5,3,3.222222222,-2,-1,1,0,-1,0,NA,NA,0,NA,-0.634920635,62,0,62,0,10.05038472
1191,lumosity,14,-172.743,-403,8,8,17,6,27,"[25,30)",13,-408.355,-406,4,7,16,7,95.83748326,109.6018361,101.0063204,97.16322361,124.0991782,133.7571733,105.265139,117.9545543,92.92593645,89.18550509,100.3935275,85.11177864,110.899714,123.5587754,117.9069261,105.2277355,-2.911546802,-20.416331,-0.612792876,-12.05144496,-13.19946418,-10.19839785,12.64178707,-12.72681876,2,4,4,2,2,3,2,2,2,NA,2.555555556,NA,4,3,NA,3,4,4,4,3,5,3.571428571,NA,0,-1,NA,1,1,2,2,1,NA,1.015873016,0,68,68,0,116.394631
1192,lumosity,6,-433.99,-412,1,4,12,5,60,"[60,65)",3,-1423.429,-458,1,4,10,5,72.55903604,98.92299755,114.8175599,80.27688716,87.4835949,110.2368676,107.0918368,91.89353646,62.93278268,59.35420279,102.672619,80.27688716,87.4835949,100.0632989,107.0918368,73.43055144,-9.626253362,-39.56879475,-12.14494095,0,0,-10.17356867,0,-18.46298502,1,4,3,5,4,4,3,4,4,NA,3.555555556,3,5,4,3,4,5,4,4,4,5,4,2,1,1,-2,0,1,1,0,0,NA,0.444444444,0,45,45,0,18.11499375
1193,lumosity,9,-832.972,-433,0,3,11,4,52,"[50,55)",4,-459.053,-517,3,6,11,4,85.39399146,69.20836501,104.0847731,72.1837157,67.10385645,100.1330186,87.08262768,69.52982653,65.44100772,93.79760158,84.9604978,83.65783834,108.3483539,100.1330186,87.08262768,79.42028611,-19.95298374,24.58923657,-19.12427529,11.47412264,41.24449748,0,0,9.890459579,NA,4,4,5,4,3,1,1,1,NA,2.875,NA,4,4,NA,4,4,2,2,1,5,3,NA,0,0,NA,0,1,1,1,0,NA,0.125,0,46,46,0,10.93094639
1194,lumosity,10,-379.127,-434,0,5,4,4,49,"[45,50)",7,-805.818,-463,1,5,6,6,83.22054483,95.847633,98.19568586,70.9995542,90.62371635,73.95006657,85.77869325,73.04625094,70.66849618,68.75217211,91.75278679,77.14905474,90.62371635,81.73711414,112.1601026,71.55081121,-12.55204865,-27.0954609,-6.442899068,6.149500535,0,7.787047573,26.38140935,-1.495439735,3,3,4,1,4,4,1,3,4,NA,3,4,5,4,2,5,4,3,3,4,5,3.777777778,1,2,0,1,1,0,2,0,0,NA,0.777777778,0,52,52,0,13.00310583
1195,lumosity,19,-479.649,-409,13,5,4,4,54,"[50,55)",19,-391.284,-386,17,7,12,6,114.6060085,92.8178852,110.9109957,120.4789733,94.13413715,76.98819183,87.08262768,99.28425877,114.6060085,98.93497118,118.4242901,132.4217924,122.5895151,106.2023984,113.5721504,128.5397507,0,6.117085978,7.513294428,11.94281909,28.45537799,29.21420658,26.48952275,29.25549195,2,1,1,3,5,2,2,4,4,NA,2.666666667,3,2,2,3,5,3,2,4,3,5,3,1,1,1,0,0,1,0,0,-1,NA,0.333333333,0,9,9,0,2.133325556
1196,crosswords,23,-86.562,-297,4,6,7,6,32,"[30,35)",23,-146.632,-380,10,7,2,6,123.0592707,123.6477466,138.2029664,84.88656428,99.44522366,81.05218479,106.3436639,115.2093145,123.0592707,115.7578274,109.8622644,104.1994995,113.2855782,57.55369454,106.3436639,108.0074562,0,-7.889919237,-28.34070197,19.31293519,13.84035457,-23.49849025,0,-7.201858317,2,1,1,2,1,1,1,1,2,NA,1.333333333,2,1,1,2,1,5,1,1,1,NA,1.666666667,0,0,0,0,0,4,0,0,-1,NA,0.333333333,1,0,1,0,0.748653056
1197,lumosity,16,-307.241,-350,9,6,12,4,28,"[25,30)",23,-196.785,-347,12,6,12,6,102.0392565,97.16322361,117.9515833,100.4810053,97.78409342,97.7398838,79.51736008,97.93653485,120.7638896,107.5417571,119.0261672,108.9141837,97.78409342,97.7398838,105.265139,115.3030727,18.72463308,10.37853351,1.074583909,8.433178375,0,0,25.74777894,17.3665379,3,4,2,5,1,3,3,3,5,NA,3.222222222,4,5,3,4,3,4,4,4,4,5,3.888888889,1,1,1,-1,2,1,1,1,-1,NA,0.666666667,0,60,60,0,26.38696264
1198,lumosity,11,-736.33,-445,3,6,13,4,45,"[45,50)",6,-521.675,-402,1,5,13,4,87.48931682,72.99504658,95.89956039,83.68002165,104.7795905,109.2550155,85.77869325,83.71751457,66.7389945,85.22023584,107.6146792,77.14905474,90.62371635,109.2550155,85.77869325,79.11028999,-20.75032232,12.22518926,11.71511885,-6.53096691,-14.15587411,0,0,-4.607224585,4,3,5,5,4,5,3,4,NA,NA,4.125,4,4,5,2,4,5,4,4,5,4,4.111111111,0,1,0,-3,0,0,1,0,NA,NA,-0.013888889,0,56,56,0,33.20819722
1199,lumosity,23,-252.907,-302,7,6,13,6,24,"[18,25)",26,-264.848,-323,9,6,13,4,121.4178388,101.1290479,135.1689656,95.15443402,96.84357409,104.4136606,104.3762811,115.7035649,130.8062337,99.62396638,127.6055141,100.9495717,96.84357409,104.4136606,78.38176743,110.4496563,9.388394855,-1.505081555,-7.563451493,5.795137679,0,0,-25.99451369,-5.25390861,3,1,5,2,5,4,2,2,4,NA,3.111111111,5,3,5,1,5,4,2,4,5,5,3.777777778,2,2,0,-1,0,0,0,2,1,NA,0.666666667,0,63,63,0,12.209795
1200,crosswords,12,-264.024,-431,3,6,4,6,47,"[45,50)",11,-296.854,-363,6,6,9,5,91.34256473,106.3331377,99.14955762,83.68002165,104.7795905,73.95006657,112.1601026,91.90215976,87.48931682,103.2758037,121.2328612,94.74450581,104.7795905,90.5628522,98.99927345,100.3242225,-3.853247907,-3.057333992,22.08330356,11.06448416,0,16.61278563,-13.16082915,8.422062696,4,4,4,5,5,5,3,3,3,NA,4,2,2,2,5,4,4,3,2,3,4,3,-2,-2,-2,0,-1,-1,0,-1,0,NA,-1,63,0,63,0,15.27796028
1201,crosswords,19,-321.298,-499,15,6,10,6,63,"[60,65)",15,-146.632,-645,8,7,11,6,121.3374481,108.6916613,95.70084643,134.838618,112.337974,100.0632989,121.6915539,125.2916952,105.2313354,128.9179589,74.90109779,105.2313354,125.3593244,104.6299871,121.6915539,117.6903682,-16.10611269,20.22629755,-20.79974864,-29.60728255,13.02135048,4.566688204,0,-7.601326986,3,3,3,3,2,4,2,2,3,NA,2.777777778,5,4,4,4,3,4,3,2,4,4,3.666666667,2,1,1,1,1,0,1,0,1,NA,0.888888889,58,0,58,0,14.55899972
1202,lumosity,22,-252.621,-394,14,6,13,6,41,"[40,45)",21,-120.462,-383,5,6,12,7,120.2440686,107.9277051,107.3770762,120.9328968,101.9932487,108.9985327,111.0122544,121.2393137,117.3073931,122.4612015,111.948202,88.84660365,101.9932487,103.0284022,123.5031927,118.5242802,-2.936675499,14.5334964,4.571125737,-32.08629318,0,-5.970130533,12.49093826,-2.715033577,4,4,5,2,2,3,4,2,4,NA,3.333333333,4,4,5,2,3,4,5,2,5,4,3.777777778,0,0,0,0,1,1,1,0,1,NA,0.444444444,0,63,63,0,13.52232083
1203,lumosity,17,-638.911,-536,10,6,9,5,59,"[55,60)",21,-413.265,-452,6,6,7,7,110.7236012,82.07165828,86.3455668,109.7119218,110.6589712,95.36523281,104.3725447,99.88820682,126.2602911,99.09706882,101.254776,96.35489549,110.6589712,89.27639877,133.8569387,115.2529942,15.53668984,17.02541055,14.9092092,-13.35702633,0,-6.088834041,29.484394,15.36478737,3,4,2,3,3,2,5,4,4,NA,3.333333333,4,5,4,5,5,5,4,4,5,5,4.555555556,1,1,2,2,2,3,-1,0,1,NA,1.222222222,0,67,67,0,23.55302694
1204,lumosity,13,-351.188,-476,10,4,3,4,65,"[65,70)",16,-277.016,-452,10,4,10,4,101.0452738,109.8566285,99.47768024,116.0929201,88.9447228,80.29190245,92.72714482,96.85436778,112.0385783,113.6987489,105.1104224,116.0929201,88.9447228,100.1044437,92.72714482,107.5724785,10.99330452,3.842120404,5.632742165,0,0,19.81254124,0,10.71811073,2,2,4,4,4,3,2,2,2,NA,2.777777778,2,3,4,4,4,4,4,4,4,4,3.666666667,0,1,0,0,0,1,2,2,2,NA,0.888888889,0,39,39,0,19.14829944
1205,crosswords,17,-103.832,-396,17,4,8,4,28,"[25,30)",13,-356.547,-407,17,6,9,5,105.14905,119.8354807,103.3503907,124.8435116,71.17541084,82.78705541,79.51736008,96.34199822,92.92593645,93.12079515,100.087441,124.8435116,97.78409342,85.81110163,92.55730046,96.44556144,-12.22311352,-26.71468553,-3.262949719,0,26.60868258,3.024046216,13.03994038,0.10356322,4,3,2,3,2,3,2,3,1,NA,2.555555556,2,3,2,2,3,2,2,2,2,3,2.222222222,-2,0,0,-1,1,-1,0,-1,1,NA,-0.333333333,48,0,48,0,6.125606111
1206,lumosity,18,-489.944,-407,2,7,6,5,57,"[55,60)",17,-261.457,-455,9,4,10,4,114.9168682,93.92205772,111.1156624,80.77672652,124.2003759,86.64629669,104.3725447,104.2754839,110.7236012,112.767773,100.7523038,106.4059472,86.03924577,99.54873885,91.37593231,101.9844949,-4.193267019,18.84571531,-10.36335861,25.62922071,-38.16113015,12.90244216,-12.99661235,-2.290988996,2,2,2,5,5,4,5,5,5,NA,3.888888889,4,4,4,4,4,5,4,NA,4,4,4.125,2,2,2,-1,-1,1,-1,NA,-1,NA,0.236111111,0,52,52,0,9.841271111
1207,lumosity,13,-591.318,-491,4,4,6,6,55,"[55,60)",14,-545.466,-482,7,6,6,5,97.68474159,86.26952368,92.76001898,89.53374473,86.03924577,86.64629669,118.4512193,88.55319103,101.1541869,89.53374473,94.83641723,99.79946376,110.6589712,86.64629669,104.3725447,96.40722471,3.469445328,3.264221048,2.076398254,10.26571903,24.61972543,0,-14.07867464,7.854033679,3,3,5,2,3,4,4,4,4,NA,3.555555556,3,4,4,2,4,4,3,3,4,4,3.444444444,0,1,-1,0,1,0,-1,-1,0,NA,-0.111111111,0,67,67,0,14.21784625
1208,crosswords,9,-719.892,-400,3,6,10,4,33,"[30,35)",13,-497.529,-476,6,6,12,6,80.58942473,68.75760901,103.7760961,81.55988973,99.44522366,90.92165997,81.62188133,75.15990345,93.68824467,83.88283656,84.78925351,91.78347384,99.44522366,99.26990935,106.3436639,88.9530057,13.09881994,15.12522754,-18.98684263,10.22358411,0,8.348249373,24.72178261,13.79310225,1,4,4,5,5,4,5,5,5,NA,4.222222222,4,5,4,NA,4,5,5,5,5,3,4.625,3,1,0,NA,-1,1,0,0,0,NA,0.402777778,69,0,69,0,15.06339083
1209,crosswords,19,-202.24,-518,4,6,11,6,25,"[25,30)",19,-212.542,-497,10,8,13,6,110.3657318,106.5169196,75.15648839,85.11177864,97.78409342,93.09650188,105.265139,92.42328835,110.3657318,105.7092367,78.59023612,103.6198926,124.0991782,103.2608009,105.265139,108.2404703,0,-0.807682905,3.43374773,18.50811398,26.31508477,10.16429898,0,15.81718195,2,5,4,3,5,4,3,4,3,NA,3.666666667,3,5,3,4,4,4,3,3,4,4,3.666666667,1,0,-1,1,-1,0,0,-1,1,NA,0,9,0,9,0,0.540366944
1210,crosswords,15,-351.792,-451,3,5,12,4,29,"[25,30)",15,-492.401,-414,7,3,10,4,98.79640253,93.65084192,89.12873133,81.8227041,84.41604731,97.7398838,79.51736008,80.06037579,98.79640253,83.12061283,97.87245534,94.14949451,61.59895404,89.18550509,79.51736008,74.47363401,0,-10.53022908,8.743724012,12.32679041,-22.81709327,-8.554378709,0,-5.586741783,3,5,4,2,3,2,3,4,4,NA,3.333333333,3,4,4,1,3,3,2,3,4,NA,3,0,-1,0,-1,0,1,-1,-1,0,NA,-0.333333333,8,0,8,0,2.183414167
1211,crosswords,12,-462.378,-353,1,5,7,7,43,"[40,45)",14,-505.473,-312,1,6,9,6,90.54717631,88.91729726,121.0760734,74.45526933,89.19765074,84.0810891,123.5031927,92.01402091,96.19979345,85.34506897,137.9397108,74.45526933,101.9932487,89.74737567,111.0122544,99.16858622,5.652617143,-3.572228296,16.86363738,0,12.795598,5.666286563,-12.49093826,7.154565309,3,5,1,5,3,4,2,2,4,NA,3.222222222,4,4,4,5,4,3,2,2,4,3,3.555555556,1,-1,3,0,1,-1,0,0,0,NA,0.333333333,49,0,49,0,10.34734306
1212,crosswords,23,-668.548,-395,16,6,12,6,30,"[30,35)",24,-452.199,-452,19,7,14,5,123.0592707,73.66914344,105.0877415,124.27505,99.44522366,99.26990935,106.3436639,108.3577238,126.4682209,87.1411852,89.84597521,134.0291814,113.2855782,111.2846825,94.19503153,115.1781935,3.408950136,13.47204176,-15.24176632,9.754131373,13.84035457,12.01477312,-12.14863241,6.820469746,3,2,4,3,3,4,3,4,4,NA,3.333333333,3,4,4,3,4,2,2,3,4,3,3.222222222,0,2,0,0,1,-2,-1,-1,0,NA,-0.111111111,65,0,65,0,9.157924166
1213,lumosity,16,-371.281,-511,6,5,10,5,21,"[18,25)",17,-290.774,-389,4,5,15,5,101.5785035,91.19364093,74.45526933,92.2774394,84.26850625,89.97238345,91.48974509,80.09638136,104.6197456,97.97061891,104.8267063,86.07785316,84.26850625,117.2726016,91.48974509,96.31512021,3.04124209,6.776977979,30.37143699,-6.199586239,0,27.30021818,0,16.21873885,2,4,3,2,2,3,2,4,2,NA,2.666666667,3,4,3,4,2,3,2,3,3,3,3,1,0,0,2,0,0,0,-1,1,NA,0.333333333,0,36,36,0,13.69320236
1214,crosswords,19,-459.053,-394,3,6,3,5,40,"[40,45)",20,-681.868,-382,7,6,3,6,111.948202,89.33641894,107.3770762,83.00244955,101.9932487,71.13175413,98.00675126,89.72537655,115.0051973,74.22322685,112.0221138,96.3106211,101.9932487,71.13175413,111.0122544,94.93825597,3.056995333,-15.11319209,4.645037572,13.30817155,0,0,13.00550318,5.212879417,3,1,2,3,4,4,1,2,3,NA,2.555555556,4,3,4,5,5,3,4,4,4,4,4,1,2,2,2,1,-1,3,2,1,NA,1.444444444,60,0,60,0,10.44684472
1215,crosswords,16,-342.421,-343,9,6,15,4,34,"[30,35)",17,-465.042,-364,12,6,17,6,102.5519704,95.80050052,123.9561615,100.7885497,99.44522366,117.6574457,81.62188133,105.7336783,105.3358115,86.62777457,117.0308775,110.9771213,99.44522366,134.8429947,106.3436639,116.2489426,2.783841159,-9.17272595,-6.925284046,10.18857152,0,17.18554897,24.72178261,10.51526434,2,4,2,2,3,4,4,3,4,NA,3.111111111,4,4,3,4,3,4,4,4,5,4,3.888888889,2,0,1,2,0,0,0,1,1,NA,0.777777778,46,0,46,0,19.02325472
1216,lumosity,21,-367.027,-450,17,9,14,7,30,"[30,35)",16,-445.189,-387,12,8,13,6,116.4859951,93.52841233,90.42581145,126.8942081,144.3563269,111.2846825,118.2550683,127.258891,102.5519704,88.04538243,107.3152026,110.9771213,127.8178215,105.2736597,106.3436639,113.0870117,-13.93402472,-5.483029901,16.88939115,-15.9170868,-16.53850538,-6.011022728,-11.91140432,-14.1718793,4,4,3,3,1,2,2,5,5,NA,3.222222222,4,4,4,NA,3,4,5,4,5,3,4.125,0,0,1,NA,2,2,3,-1,0,NA,0.902777778,0,48,48,0,11.24917861
1217,crosswords,13,-669.444,-524,3,6,12,3,32,"[30,35)",13,-701.489,-596,9,5,15,6,93.68824467,73.10579194,74.57394757,81.55988973,99.44522366,99.26990935,67.94697378,70.77034059,93.68824467,70.56058338,63.7026153,100.7885497,86.27662334,117.6574457,106.3436639,83.43933253,0,-2.545208556,-10.87133228,19.22866001,-13.16860032,18.38753636,38.39669016,12.66899194,3,4,4,2,3,4,5,4,5,NA,3.777777778,5,4,4,2,3,5,5,4,5,2,4.111111111,2,0,0,0,0,1,0,0,0,NA,0.333333333,45,0,45,0,11.99973
1218,lumosity,21,-217.51,-431,13,5,11,5,51,"[50,55)",21,-146.632,-388,12,5,11,6,122.0528981,112.789358,104.5469173,120.4789733,94.13413715,100.1330186,100.3547446,114.7794099,122.0528981,121.2972852,117.78139,117.5156215,94.13413715,100.1330186,113.5721504,123.2643672,0,8.507927285,13.23447269,-2.963351777,0,0,13.21740582,8.484957335,4,4,3,5,4,3,2,3,5,NA,3.666666667,4,4,4,5,4,4,3,2,5,5,3.888888889,0,0,1,0,0,1,1,-1,0,NA,0.222222222,0,58,58,0,17.27644639
1219,lumosity,16,-587.18,-367,0,6,10,6,24,"[18,25)",16,-791.801,-431,8,5,6,6,101.5785035,74.75545413,111.7768579,71.13175413,96.84357409,89.97238345,104.3762811,86.58822755,101.5785035,64.83103439,92.68348224,98.00675126,84.26850625,78.38176743,104.3762811,79.6471407,0,-9.924419738,-19.09337564,26.87499712,-12.57506784,-11.59061602,0,-6.941086844,4,4,5,2,4,4,4,2,4,NA,3.666666667,4,4,4,2,4,4,2,2,4,4,3.333333333,0,0,-1,0,0,0,-2,0,0,NA,-0.333333333,0,55,55,0,16.89987375
1220,crosswords,14,-223.123,-368,13,6,12,4,30,"[30,35)",17,-201.849,-390,16,6,10,4,96.55446306,106.9881382,115.0650181,114.3567219,99.44522366,99.26990935,81.62188133,103.6426482,105.3358115,109.1485586,106.3436639,124.27505,99.44522366,90.92165997,81.62188133,104.5439636,8.781348475,2.160420389,-8.721354135,9.918328121,0,-8.348249373,0,0.901315403,3,3,5,3,5,5,4,2,2,NA,3.555555556,4,4,5,2,5,5,3,2,4,4,3.777777778,1,1,0,-1,0,0,-1,0,2,NA,0.222222222,38,0,38,0,8.933471389
1221,lumosity,9,-398.125,-468,0,6,8,5,66,"[65,70)",9,-631.421,-464,6,6,10,6,85.48867651,105.2212465,100.8359753,72.49128046,113.384778,93.99454923,106.1187811,93.75783235,85.48867651,87.3756815,101.8849202,100.3133513,113.384778,100.1044437,119.4631439,102.0973269,0,-17.84556497,1.048944887,27.82207086,0,6.109894457,13.34436282,8.339494566,3,3,2,5,4,2,2,5,3,NA,3.222222222,2,3,4,NA,5,4,3,4,4,4,3.625,-1,0,2,NA,1,2,1,-1,1,NA,0.402777778,0,49,49,0,13.55346556
1222,lumosity,15,-186.398,-425,8,6,11,5,36,"[35,40)",10,-361.798,-447,6,7,10,7,100.0499993,111.4780888,96.87764502,98.04450489,100.7002435,96.3132714,95.32549902,99.77640743,84.21194327,94.79763718,92.55545928,92.3283906,114.6181379,92.0995501,120.7016299,97.60873728,-15.83805605,-16.68045159,-4.32218574,-5.716114294,13.91789438,-4.213721301,25.37613087,-2.167670156,3,4,4,4,4,4,3,2,3,NA,3.444444444,3,3,2,5,4,3,2,1,1,5,2.666666667,0,-1,-2,1,0,-1,-1,-1,-2,NA,-0.777777778,0,22,22,0,5.095168511
1223,lumosity,16,-327.966,-394,3,6,14,5,40,"[40,45)",17,-417.475,-437,9,6,14,4,102.8641225,99.40899903,107.3770762,83.00244955,101.9932487,115.5465008,98.00675126,102.153787,105.8377028,92.44051949,94.79460286,103.5235123,101.9932487,115.5465008,83.89115329,99.54158086,2.97358039,-6.968479542,-12.58247338,20.52106273,0,0,-14.11559796,-2.612206182,4,2,4,3,2,4,4,4,4,NA,3.444444444,4,1,5,4,2,4,5,4,4,4,3.666666667,0,-1,1,1,0,0,1,0,0,NA,0.222222222,0,60,60,0,12.16849512
1224,crosswords,22,-583.654,-378,15,6,13,5,57,"[55,60)",22,-496.92,-394,15,5,13,6,133.2454417,87.6591849,118.8862597,128.0662714,110.6589712,113.9607542,104.3725447,126.1335707,133.2454417,93.31836241,114.5915789,128.0662714,97.83682509,113.9607542,118.4512193,126.860641,0,5.659177505,-4.29468076,0,-12.82214611,0,14.07867464,0.727070274,3,3,2,5,4,4,3,2,4,NA,3.333333333,4,4,4,3,4,4,3,4,4,3,3.777777778,1,1,2,-2,0,0,0,2,0,NA,0.444444444,70,0,70,0,21.19776417
1225,lumosity,11,-646.036,-345,2,5,6,7,24,"[18,25)",14,-235.35,-364,9,6,15,7,87.14455723,71.35666829,119.3460175,80.89819664,84.26850625,78.38176743,116.828507,83.25298497,95.97750773,102.0293811,112.8038194,100.9495717,96.84357409,117.2726016,116.828507,111.501731,8.832950505,30.6727128,-6.542198117,20.05137506,12.57506784,38.89083419,0,28.24874604,3,4,5,3,3,4,5,5,5,NA,4.111111111,4,5,4,3,3,5,NA,NA,NA,4,4,1,1,-1,0,0,1,NA,NA,NA,NA,-0.111111111,0,58,58,0,22.63794091
1226,lumosity,21,-164.087,-355,8,6,13,6,21,"[18,25)",16,-142.668,-374,10,6,13,6,115.6695646,110.162347,115.5465008,98.00675126,96.84357409,104.4136606,104.3762811,112.0958029,101.5785035,114.0049905,109.3438858,103.8371949,96.84357409,104.4136606,104.3762811,109.301696,-14.0910611,3.842643492,-6.202614994,5.83044369,0,0,0,-2.79410688,1,1,2,3,5,4,2,3,1,NA,2.444444444,3,2,4,3,4,5,2,2,2,4,3,2,1,2,0,-1,1,0,-1,1,NA,0.555555556,0,34,34,0,9.121691667
1227,lumosity,14,-216.89,-412,6,6,11,5,29,"[25,30)",21,-315.19,-456,9,5,14,4,95.83748326,105.6153388,98.40118832,91.31947959,97.78409342,93.09650188,92.55730046,92.86039548,115.9254936,96.44758907,88.01831591,100.4810053,84.41604731,109.5750208,79.51736008,92.78100152,20.08801035,-9.167749698,-10.38287241,9.161525701,-13.36804612,16.47851896,-13.03994038,-0.079393967,4,3,2,1,4,2,2,2,4,NA,2.666666667,5,4,4,4,5,4,4,4,4,4,4.222222222,1,1,2,3,1,2,2,2,0,NA,1.555555556,0,24,24,0,5.192905533
1228,crosswords,18,-402.742,-386,12,5,15,5,36,"[35,40)",17,-596.654,-500,5,7,12,4,108.1311442,91.46041974,109.3155735,111.9529111,87.20385626,120.072088,95.32549902,106.1690994,105.2554942,75.01235438,82.14985349,89.24573314,114.6181379,100.9506214,81.6317446,86.12040944,-2.875650033,-16.44806536,-27.16571999,-22.70717794,27.41428166,-19.12146662,-13.69375442,-20.04868995,5,5,4,NA,4,3,4,4,4,NA,4.125,5,5,3,3,3,3,4,4,5,5,3.888888889,0,0,-1,NA,-1,0,0,0,1,NA,-0.236111111,61,0,61,0,14.0272125
1229,lumosity,10,-493.865,-548,4,4,15,5,51,"[50,55)",11,-734.527,-455,9,5,13,5,88.20324674,91.65164607,81.76282226,87.33773161,79.74395703,124.5704746,100.3547446,87.61305733,90.64893538,75.92477925,97.81973903,106.3961046,94.13413715,112.9173723,100.3547446,94.00486549,2.44568864,-15.72686682,16.05691678,19.05837299,14.39018012,-11.65310223,0,6.391808164,2,4,4,NA,3,2,1,3,5,NA,3,2,2,4,NA,3,1,1,3,4,NA,2.5,0,-2,0,NA,0,-1,0,0,-1,NA,-0.5,0,33,33,0,6.993632083
