participant_id,group,AR_pre,TTS_pre,GNG_pre,GR_pre,MS_pre,PM_pre,RMS_pre,age_round,age_bin,AR_post,TTS_post,GNG_post,GR_post,MS_post,PM_post,RMS_post,AR_1,TTS_1,GNG_1,GR_1,MS_1,PM_1,RMS_1,GI_1,AR_2,TTS_2,GNG_2,GR_2,MS_2,PM_2,RMS_2,GI_2,AR_d,TTS_d,GNG_d,GR_d,MS_d,PM_d,RMS_d,GI_d,lost_track_details_pre,misplaced_items_pre,lost_concentration_pre,remembered_names_pre,felt_creative_pre,good_concentration_pre,felt_anxious_pre,in_bad_mood_pre,felt_sad_pre,felt_training_benefits_pre,rwc_ave_pre,lost_track_details_post,misplaced_items_post,lost_concentration_post,remembered_names_post,felt_creative_post,good_concentration_post,felt_anxious_post,in_bad_mood_post,felt_sad_post,felt_training_benefits_post,rwc_ave_post,lost_track_details_d,misplaced_items_d,lost_concentration_d,remembered_names_d,felt_creative_d,good_concentration_d,felt_anxious_d,in_bad_mood_d,felt_sad_d,felt_training_benefits_d,rwc_ave_d,crosswords_active_days,lumosity_active_days,active_days,exclude,est_hours
11,lumosity,9,-703.425,-546,10,5,3,4,46,"[45,50)",12,-331.264,-479,9,5,10,4,78.63009026,74.39047185,78.20785438,108.8947683,90.62371635,69.95995629,85.77869325,69.92948823,91.34256473,100,88.72191056,105.6293095,90.62371635,94.15551644,85.77869325,88.20608431,12.71247447,25.60952815,10.51405618,-3.265458775,0,24.19556015,0,18.27659608,1,1,1,2,2,2,3,2,2,NA,1.777777778,3,2,2,1,2,4,4,4,3,NA,2.777777778,2,1,1,-1,0,2,1,2,1,NA,1,0,64,64,0,13.14956625
12,lumosity,11,-581.489,-352,7,6,10,3,52,"[50,55)",11,-521.282,-367,8,5,7,5,90.64893538,84.88702179,125.4608746,98.57903137,108.3483539,95.91522691,72.89427246,93.52136866,90.64893538,89.08900435,122.1844035,102.449485,94.13413715,87.58922469,100.3547446,96.3074386,0,4.20198256,-3.276471143,3.870453678,-14.21421678,-8.32600222,27.46047216,2.786069949,3,3,3,4,4,4,3,4,4,NA,3.555555556,4,4,4,2,5,4,4,5,4,NA,4,1,1,1,-2,1,0,1,1,0,NA,0.444444444,0,32,32,0,7.725893611
13,lumosity,9,-358.931,-553,2,5,11,5,21,"[18,25)",9,-545.051,-463,7,4,14,6,80.97848585,92.01046298,67.54231392,80.89819664,84.26850625,93.83254199,91.48974509,71.15850659,80.97848585,77.96897951,84.51464032,95.15443402,72.77499024,110.5257196,104.3762811,80.45900826,0,-14.04148347,16.97232641,14.25623738,-11.493516,16.69317757,12.88653604,9.300501676,3,4,3,4,5,1,2,5,5,NA,3.555555556,4,5,4,5,5,5,4,4,4,NA,4.444444444,1,1,1,1,0,4,2,-1,-1,NA,0.888888889,0,21,21,0,7.671435139
14,lumosity,20,-361.798,-396,8,6,7,4,45,"[45,50)",12,-357.241,-359,7,6,10,6,116.5937953,97.33610368,109.3155735,102.0059322,104.7795905,85.05687515,85.77869325,100.2385,91.34256473,97.5390417,122.8509453,98.19568586,104.7795905,94.15551644,112.1601026,105.6016076,-25.25123052,0.202938026,13.53537177,-3.810246317,0,9.098641291,26.38140935,5.363107686,4,4,5,5,4,4,4,4,4,NA,4.222222222,4,4,5,1,4,4,2,4,4,NA,3.555555556,0,0,0,-4,0,0,-2,0,0,NA,-0.666666667,0,46,46,0,12.84557431
15,lumosity,10,-47.359,-406,4,4,11,5,31,"[30,35)",7,-453.189,-416,9,6,2,5,84.29277128,135.7744753,101.9025756,84.88656428,74.19763012,94.78840165,94.19503153,91.56382299,74.06850565,87.01426107,99.15297919,100.7885497,99.44522366,57.55369454,94.19503153,76.66090864,-10.22426563,-48.76021424,-2.74959642,15.90198546,25.24759353,-37.2347071,0,-14.90291435,2,3,2,4,4,3,3,4,4,NA,3.222222222,3,3,4,5,4,4,5,5,5,5,4.222222222,1,0,2,1,0,1,2,1,1,NA,1,0,34,34,0,8.672374028
16,crosswords,22,-341.62,-385,8,6,5,6,32,"[30,35)",21,-369.063,-380,15,6,10,4,119.4782075,95.92179992,108.0474594,97.62556081,99.44522366,75.50610365,106.3436639,100.6336772,116.4859951,93.2711346,109.8622644,121.5601153,99.44522366,90.92165997,81.62188133,103.5927753,-2.992212425,-2.65066532,1.81480506,23.93455452,0,15.41555633,-24.72178261,2.959098051,1,2,2,3,4,3,2,2,3,NA,2.444444444,3,2,2,2,2,2,1,1,2,NA,1.888888889,2,0,0,-1,-2,-1,-1,-1,-1,NA,-0.555555556,38,0,38,0,9.848784444
17,lumosity,24,-15.849,-438,10,7,15,6,43,"[40,45)",21,-164.087,-434,13,7,16,6,127.6055141,144.7405581,94.33572787,106.7766773,115.4548854,122.4612015,111.0122544,132.4095361,117.3073931,116.5953758,95.30509975,117.3073931,115.4548854,131.2628551,111.0122544,127.8425703,-10.29812105,-28.1451823,0.969371873,10.53071581,0,8.801653549,0,-4.566965738,4,3,3,1,2,4,4,4,4,NA,3.222222222,3,3,4,NA,5,4,4,4,4,NA,3.875,-1,0,1,NA,3,0,0,0,0,NA,0.652777778,0,50,50,0,14.89680542
18,crosswords,11,-628.255,-446,6,5,1,4,71,"[70,75)",11,-533.173,-414,4,3,10,3,97.61021823,93.10111592,109.9684667,103.603941,103.1158876,62.60135901,99.28581714,91.3974351,97.61021823,97.36888838,120.2406884,96.64053026,83.74393104,106.6354181,86.82455717,97.02558276,0,4.26777246,10.27222165,-6.963410765,-19.37195661,44.03405905,-12.46125997,5.628147653,4,4,4,NA,NA,3,NA,2,3,NA,3.333333333,5,4,4,NA,NA,3,3,2,3,NA,3.428571429,1,0,0,NA,NA,0,NA,0,0,NA,0.095238095,63,0,63,0,15.34536111
19,crosswords,20,-357.241,-403,15,7,13,6,26,"[25,30)",17,-673.242,-400,15,7,16,6,113.0659127,92.90149564,101.0063204,118.1318246,110.899714,103.2608009,105.265139,111.900814,105.14905,72.56922959,101.9951391,118.1318246,110.899714,123.5587754,105.265139,110.0729477,-7.91686274,-20.33226605,0.988818742,0,0,20.29797457,0,-1.827866339,1,4,1,4,2,2,2,1,2,NA,2.111111111,5,5,3,NA,2,4,5,2,3,NA,3.625,4,1,2,NA,0,2,3,1,1,NA,1.513888889,55,0,55,0,15.71786722
20,lumosity,16,-184.97,-428,2,5,11,5,66,"[65,70)",13,-221.795,-419,2,6,9,4,112.0385783,125.0860782,111.4706451,84.80659994,100.7313896,104.6698357,106.1187811,112.0648798,101.0452738,120.2144332,114.5113235,84.80659994,113.384778,96.73671212,92.72714482,106.1569356,-10.99330452,-4.871645062,3.040678385,0,12.65338841,-7.933123574,-13.39163629,-5.907944195,3,3,4,2,4,4,2,4,4,NA,3.333333333,3,4,5,1,4,5,3,4,4,NA,3.666666667,0,1,1,-1,0,1,1,0,0,NA,0.333333333,0,35,35,0,18.34493653
21,lumosity,8,-294.287,-412,7,6,14,4,54,"[50,55)",10,-408.93,-382,7,6,12,4,81.66962262,106.0577963,109.8407384,98.57903137,108.3483539,119.4061229,87.08262768,103.0618773,88.20324674,97.37059822,119.3041858,98.57903137,108.3483539,106.2023984,87.08262768,101.2797075,6.533624119,-8.68719811,9.463447456,0,0,-13.20372445,0,-1.782169775,3,3,3,1,4,2,3,3,2,NA,2.666666667,2,3,1,2,5,2,2,2,2,3,2.333333333,-1,0,-2,1,1,0,-1,-1,0,NA,-0.333333333,0,3,3,0,1.856341806
22,lumosity,13,-171.726,-540,4,3,12,4,63,"[60,65)",13,-493.569,-491,1,5,12,4,97.90434552,125.9043802,87.66202603,90.00153611,77.75346014,110.2368676,93.19005883,95.2174691,97.90434552,94.02197146,96.94058236,80.27688716,99.43017473,110.2368676,93.19005883,92.0869211,0,-31.88240877,9.278556332,-9.72464895,21.6767146,0,0,-3.130547998,2,4,4,2,3,2,3,4,4,NA,3.111111111,3,4,4,3,NA,2,3,5,4,NA,3.5,1,0,0,1,NA,0,0,1,0,NA,0.388888889,0,46,46,0,13.89990375
23,lumosity,15,-261.277,-604,10,5,13,5,63,"[60,65)",17,-490.352,-448,6,5,14,5,105.2313354,113.4366973,77.16623065,112.6966251,99.43017473,116.8030803,107.0918368,108.6025649,112.1612718,94.36310328,106.0466218,97.45590736,99.43017473,124.1262395,107.0918368,110.9884311,6.929936395,-19.073594,28.88039116,-15.24071778,0,7.323159132,0,2.385866213,4,2,4,2,4,4,1,1,1,NA,2.555555556,3,3,4,2,4,4,3,3,4,NA,3.333333333,-1,1,0,0,0,0,2,2,3,NA,0.777777778,0,65,65,0,27.92344028
24,lumosity,19,-268.303,-417,9,6,16,5,41,"[40,45)",16,-264.024,-502,7,5,9,6,111.948202,106.1285113,99.51649512,103.5235123,101.9932487,131.2628551,98.00675126,114.2790284,102.8641225,106.3628229,80.40452982,96.3106211,89.19765074,89.74737567,111.0122544,93.28740291,-9.084079532,0.23431156,-19.1119653,-7.212891177,-12.795598,-41.51547943,13.00550318,-20.99162553,4,5,4,3,5,4,5,5,5,NA,4.444444444,4,5,4,2,5,4,NA,5,5,NA,4.25,0,0,0,-1,0,0,NA,0,0,NA,-0.194444444,0,62,62,0,26.00824139
25,lumosity,11,-601.241,-456,2,6,4,4,63,"[60,65)",12,-547.385,-464,0,6,12,5,91.75376586,87.0295524,103.3833004,83.07784532,112.337974,80.86274438,93.19005883,87.01627257,94.29511537,90.00153611,101.7765078,73.80975216,112.337974,110.2368676,107.0918368,97.1698622,2.541349516,2.971983716,-1.6067926,-9.268093161,0,29.37412317,13.90177798,10.15358963,4,4,3,NA,5,4,3,4,5,NA,4,5,4,4,NA,4,4,5,4,5,NA,4.375,1,0,1,NA,-1,0,2,0,0,NA,0.375,0,56,56,0,11.46599444
26,crosswords,11,-352.224,-495,4,0,8,4,74,"[70,75)",15,-633.53,-481,5,4,5,4,97.61021823,114.2600432,100.476022,96.64053026,73.37967539,98.33076388,99.28581714,94.47423584,112.1557076,91.74910569,103.3594697,100.7141829,92.83550402,90.03153326,99.28581714,97.32902545,14.54548935,-22.51093752,2.883447777,4.0736526,19.45582862,-8.29923062,0,2.85478961,4,3,2,4,3,3,4,4,4,NA,3.444444444,5,3,4,4,3,4,4,3,3,NA,3.666666667,1,0,2,0,0,1,0,-1,-1,NA,0.222222222,54,0,54,0,13.02597639
27,lumosity,15,-172.743,-412,12,5,14,7,21,"[18,25)",15,-402.742,-361,6,8,13,7,98.69131405,108.9985327,98.1150798,110.2752517,84.26850625,110.5257196,116.828507,107.2315528,98.69131405,89.17443288,113.8123446,92.2774394,122.8533768,104.4136606,116.828507,110.2416666,0,-19.82409984,15.69726485,-17.99781228,38.5848706,-6.112058926,0,3.010113825,2,3,5,2,3,2,1,1,2,NA,2.333333333,4,4,5,5,4,3,1,1,4,NA,3.444444444,2,1,0,3,1,1,0,0,2,NA,1.111111111,0,69,69,0,19.79037542
28,crosswords,22,-194.564,-303,10,7,8,7,27,"[25,30)",18,-120.462,-381,15,5,13,5,118.4537039,107.9413541,139.6933942,103.6198926,110.899714,82.78705541,117.9069261,121.9972122,107.8409364,117.468811,108.0673793,118.1318246,84.41604731,103.2608009,92.55730046,108.5455246,-10.61276757,9.527456946,-31.62601492,14.51193194,-26.4836667,20.47374544,-25.34962563,-13.45168767,4,4,4,4,5,4,3,4,4,NA,4,4,4,3,4,5,5,2,4,5,NA,4,0,0,-1,0,0,1,-1,0,1,NA,0,26,0,26,0,8.109206667
29,crosswords,13,-483.891,-421,10,3,11,5,63,"[60,65)",15,-214.467,-432,4,7,9,6,97.90434552,95.23705536,111.9862414,112.6966251,77.75346014,104.6299871,107.0918368,101.8980667,105.2313354,118.7163078,109.7625596,90.00153611,125.3593244,96.35646016,121.6915539,118.0849058,7.326989916,23.47925247,-2.223681835,-22.69508903,47.60586431,-8.273526924,14.59971708,16.18683912,2,4,4,2,2,2,2,4,4,NA,2.888888889,4,4,4,2,3,4,4,4,3,3,3.555555556,2,0,0,0,1,2,2,0,-1,NA,0.666666667,0,0,0,0,0
30,lumosity,13,-398.503,-389,5,0,3,3,64,"[60,65)",17,-357.848,-391,2,5,5,3,97.90434552,101.649082,120.8275828,93.26015468,69.256086,76.96249159,79.81691234,83.65018351,112.1612718,105.8412145,120.027666,83.07784532,99.43017473,84.33386808,79.81691234,95.82919688,14.25692631,4.192132494,-0.799916762,-10.18230936,30.17408873,7.371376487,0,12.17901337,4,4,3,2,4,5,4,4,4,NA,3.777777778,4,4,5,5,4,5,4,2,4,NA,4.111111111,0,0,2,3,0,0,0,-2,0,NA,0.333333333,0,20,20,0,4.40109625
31,lumosity,12,-436.278,-573,12,6,13,5,39,"[35,40)",13,-409.642,-391,13,6,6,3,90.37931782,87.41837934,69.95995629,111.9529111,100.7002435,106.7178775,95.32549902,89.66876344,93.72148071,90.74498446,107.3316462,116.6863057,100.7002435,80.17009288,68.75217211,88.7071531,3.342162886,3.326605121,37.37168987,4.733394591,0,-26.54778465,-26.57332691,-0.961610346,3,3,2,2,4,3,2,3,3,NA,2.777777778,4,4,4,1,4,4,3,5,5,NA,3.777777778,1,1,2,-1,0,1,1,2,2,NA,1,0,43,43,0,7.602538472
32,crosswords,12,-193.626,-378,9,6,8,5,20,"[18,25)",15,-98.626,-409,10,5,10,5,90.15077663,106.9955144,108.2174306,100.9495717,96.84357409,84.29950428,91.48974509,94.19409607,98.69131405,120.7449119,99.0504283,103.8371949,84.26850625,89.97238345,91.48974509,96.74381309,8.540537415,13.74939753,-9.167002335,2.887623246,-12.57506784,5.672879176,0,2.549717012,3,4,5,4,4,4,2,1,5,NA,3.555555556,4,4,4,2,3,3,3,2,1,4,2.888888889,1,0,-1,-2,-1,-1,1,1,-4,NA,-0.666666667,5,0,5,0,1.514797222
33,crosswords,19,-61.281,-568,11,7,15,7,33,"[30,35)",14,-285.119,-511,10,7,16,6,111.1687973,132.0530262,69.00863308,107.6457827,113.2855782,117.6574457,118.2550683,118.5162943,96.55446306,101.2274366,77.76201787,104.1994995,113.2855782,125.8023699,106.3436639,106.5728458,-14.61433425,-30.8255896,8.753384796,-3.446283228,0,8.144924172,-11.91140432,-11.94344856,3,2,3,3,2,2,2,2,4,NA,2.555555556,2,3,4,3,3,3,4,4,4,NA,3.333333333,-1,1,1,0,1,1,2,2,0,NA,0.777777778,50,0,50,0,19.35982444
34,crosswords,9,-379.127,-336,4,7,16,6,23,"[18,25)",16,-290.774,-319,11,6,13,5,80.97848585,90.54717631,122.6273848,86.07785316,109.7384325,125.1710578,104.3762811,105.0972608,101.5785035,97.97061891,129.0998442,107.0554546,96.84357409,104.4136606,91.48974509,107.471063,20.60001765,7.423442597,6.472459413,20.97760142,-12.89485844,-20.75739714,-12.88653604,2.373802213,4,4,3,3,4,4,2,3,3,NA,3.333333333,3,4,4,2,4,4,2,2,2,4,3,-1,0,1,-1,0,0,0,-1,-1,NA,-0.333333333,0,0,0,0,0.033331389
35,lumosity,21,-261.247,-399,6,7,8,6,27,"[25,30)",19,-414.952,-420,13,6,14,7,115.9254936,101.4230402,102.3043455,91.31947959,110.899714,82.78705541,105.265139,102.6671887,110.3657318,88.81363839,95.97362295,111.5064699,97.78409342,109.5750208,117.9069261,108.6333305,-5.55976183,-12.60940181,-6.330722507,20.18699029,-13.11562059,26.78796542,12.64178707,5.966141795,2,3,3,4,3,3,2,2,2,NA,2.666666667,3,3,3,2,4,3,1,2,2,NA,2.555555556,1,0,0,-2,1,0,-1,0,0,NA,-0.111111111,0,59,59,0,20.87083944
36,lumosity,21,-446.616,-432,5,5,12,5,19,"[18,25)",15,-433.99,-439,8,6,13,7,115.6695646,85.40267253,92.48114953,89.17443288,84.26850625,98.83503824,91.48974509,88.52325262,98.69131405,87.24765284,90.87252798,98.00675126,96.84357409,104.4136606,116.828507,98.02302314,-16.97825056,1.844980303,-1.608621551,8.832318374,12.57506784,5.578622393,25.33876193,9.499770513,3,2,3,4,2,4,4,5,4,NA,3.444444444,3,2,3,4,2,4,2,2,2,NA,2.666666667,0,0,0,0,0,0,-2,-3,-2,NA,-0.777777778,0,17,17,0,4.414152778
37,crosswords,13,-141.426,-395,10,8,12,6,27,"[25,30)",17,-82.213,-394,12,6,4,6,92.92593645,115.1407541,103.7099826,103.6198926,124.0991782,97.7398838,105.265139,111.4567834,105.14905,126.3416377,104.0944047,108.9141837,97.78409342,70.89331872,105.265139,104.8649383,12.22311352,11.20088365,0.384422165,5.29429104,-26.31508477,-26.84656508,0,-6.591845087,2,3,2,2,4,2,3,2,4,NA,2.666666667,3,3,3,NA,4,3,2,2,4,3,3,1,0,1,NA,0,1,-1,0,0,NA,0.333333333,14,15,29,1,0
38,lumosity,12,-353.143,-463,12,6,13,6,39,"[35,40)",20,-479.557,-543,7,7,14,6,90.37931782,95.74362807,88.854136,111.9529111,100.7002435,106.7178775,108.1891174,100.6635164,114.2213067,85.05687515,74.39047185,95.22040954,114.6181379,113.3814695,108.1891174,101.2797075,23.84198893,-10.68675292,-14.46366416,-16.73250154,13.91789438,6.663591945,0,0.616191156,4,4,2,1,3,2,2,3,4,NA,2.777777778,4,4,3,4,3,2,3,4,5,4,3.555555556,0,0,1,3,0,0,1,1,1,NA,0.777777778,0,11,11,0,2.867482778
39,crosswords,15,-186.398,-334,13,7,14,6,21,"[18,25)",17,-334.177,-355,15,7,17,7,98.69131405,107.8454715,123.6882928,113.3005653,109.7384325,110.5257196,104.3762811,118.279118,104.6197456,94.79460286,115.5465008,119.4285719,109.7384325,135.1689656,116.828507,125.8493188,5.928431544,-13.0508686,-8.141791947,6.128006673,0,24.64324605,12.45222589,7.570200777,4,5,5,NA,4,2,2,4,2,NA,3.5,4,5,4,NA,2,2,2,2,2,NA,2.875,0,0,-1,NA,-2,0,0,-2,0,NA,-0.625,62,0,62,0,14.54821333
40,lumosity,13,-574.953,-377,9,6,12,6,51,"[50,55)",17,-408.93,-330,6,6,15,5,95.86919378,85.32259398,120.256043,106.3961046,108.3483539,106.2023984,113.5721504,109.6520144,108.8184026,97.37059822,131.1656872,94.93967009,108.3483539,124.5704746,100.3547446,117.5862159,12.94920886,12.04800424,10.9096442,-11.45643451,0,18.36807613,-13.21740582,7.934201482,3,4,4,4,4,4,3,4,4,NA,3.777777778,5,5,4,3,4,4,4,3,5,NA,4.111111111,2,1,0,-1,0,0,1,-1,1,NA,0.333333333,0,35,35,0,12.49284181
41,lumosity,15,-315.17,-313,10,4,13,5,55,"[55,60)",10,-98.626,-401,14,5,15,8,104.2158553,107.183706,137.1210947,109.7119218,86.03924577,113.9607542,104.3725447,116.9571466,86.79466504,138.3015015,113.0582475,123.663404,97.83682509,130.4043761,141.7926921,134.5108342,-17.42119024,31.11779544,-24.06284729,13.95148217,11.79757932,16.44362185,37.42014748,17.55368757,1,1,2,4,5,4,2,3,5,NA,3,1,1,2,4,5,5,2,3,5,NA,3.111111111,0,0,0,0,0,1,0,0,0,NA,0.111111111,0,44,44,0,22.29835931
42,lumosity,23,-85.302,-333,14,7,12,8,30,"[30,35)",18,-92.704,-359,10,8,12,6,123.0592707,124.7180843,127.8178215,118.1332342,113.2855782,99.26990935,130.0654638,136.114772,107.9465092,122.594652,118.3781187,104.1994995,127.8178215,99.26990935,106.3436639,123.2643672,-15.11276151,-2.123432236,-9.439702871,-13.93373474,14.53224332,0,-23.72179982,-12.85040481,4,5,5,2,4,2,2,2,2,NA,3.111111111,4,5,4,NA,5,4,5,3,4,NA,4.25,0,0,-1,NA,1,2,3,1,2,NA,1.138888889,0,51,51,0,11.16916111
43,crosswords,10,-711.982,-360,12,6,11,5,21,"[18,25)",10,-192.333,-388,13,7,13,7,84.14383656,69.0447292,114.1719732,110.2752517,96.84357409,93.83254199,91.48974509,89.09424795,84.14383656,107.1556064,105.1863856,113.3005653,109.7384325,104.4136606,116.828507,111.0079335,0,38.11087723,-8.985587574,3.025313587,12.89485844,10.58111865,25.33876193,21.91368558,3,2,3,2,5,2,1,2,2,NA,2.444444444,4,4,3,3,5,4,2,5,4,NA,3.777777778,1,2,0,1,0,2,1,3,2,NA,1.333333333,66,0,66,0,24.19263
44,lumosity,16,-533.173,-400,8,5,14,7,29,"[25,30)",18,-172.714,-378,4,7,13,6,102.0392565,80.67691667,101.9951391,97.16322361,84.41604731,109.5750208,117.9069261,98.27460373,107.8409364,109.8174774,108.9402792,85.11177864,110.899714,103.2608009,105.265139,108.3446705,5.801679863,29.14056073,6.945140133,-12.05144496,26.4836667,-6.314219977,-12.64178707,10.07006678,4,4,3,4,4,5,3,4,4,NA,3.888888889,3,2,2,5,5,3,5,4,5,NA,3.777777778,-1,-2,-1,1,1,-2,2,0,1,NA,-0.111111111,0,35,35,0,7.011512917
