sid,group,nam,mp1,mp2,mp3
245,1,2,141,0,250
246,1,2,250,74,171
247,1,2,0,194,250
248,1,3,0,0,13
249,1,1,250,45,250
250,1,3,65,125,22
251,1,3,50,33,0
252,1,3,107,0,0
253,1,2,33,17,250
254,1,3,188,230,46
255,1,2,25,250,188
256,1,3,0,45,21
257,1,3,29,51,182
258,1,2,0,234,250
259,1,1,41,250,250
261,1,2,0,250,131
262,1,1,2,250,250
263,1,3,97,0,32
264,1,3,0,38,9
265,1,2,72,250,105
266,1,1,12,250,250
267,1,3,107,0,126
268,1,2,227,20,250
269,1,3,0,32,0
270,1,3,46,28,91
271,1,0,250,250,250
272,1,1,0,250,250
274,1,1,250,0,250
275,1,2,0,26,250
276,1,2,79,17,250
277,1,3,0,0,90
278,1,2,0,0,250
279,1,0,250,250,250
280,1,3,0,116,212
281,1,1,168,250,250
282,1,2,58,0,250
283,1,3,98,80,159
284,1,3,46,8,35
285,1,3,109,0,54
286,1,3,0,0,171
287,1,3,37,1,93
288,1,0,250,250,250
289,1,3,0,185,0
290,1,2,237,193,250
291,1,3,17,47,142
292,1,1,250,174,250
293,1,2,27,0,250
294,1,3,0,0,16
295,1,2,4,250,31
296,1,3,0,149,28
297,1,2,0,250,24
298,1,2,250,0,27
299,1,1,250,105,250
300,1,3,76,107,135
301,1,1,0,250,250
302,1,3,101,21,90
303,1,1,10,250,250
304,1,3,11,0,129
305,1,1,250,250,94
306,1,2,72,0,250
307,1,3,0,145,87
308,1,2,0,4,250
309,1,1,7,250,250
310,1,2,202,250,50
311,1,3,0,64,126
312,1,1,250,0,250
313,1,3,70,0,128
314,1,3,1,56,204
315,1,3,0,0,80
316,1,3,127,11,188
317,1,3,0,77,102
318,1,1,1,250,250
319,1,2,17,156,250
320,1,3,181,21,123
321,1,2,196,250,201
322,1,3,3,32,23
323,1,1,69,250,250
324,1,2,61,85,250
325,1,2,0,0,250
326,1,2,0,250,67
327,1,3,0,31,152
328,1,2,50,76,250
329,1,1,3,250,250
330,1,3,21,6,127
331,1,1,0,250,250
332,1,2,50,209,250
333,1,3,14,115,190
334,1,2,0,0,250
335,1,3,5,51,75
336,1,2,1,0,250
337,1,3,0,66,42
338,1,3,16,53,96
339,1,3,0,0,115
340,1,1,0,250,250
341,1,3,77,67,16
342,1,1,28,250,250
343,1,1,0,250,250
344,1,3,0,38,0
345,1,1,1,250,250
346,1,1,250,250,170
347,1,3,97,90,15
348,1,3,0,47,108
349,1,3,172,50,25
350,1,3,0,118,27
351,1,1,2,250,250
352,1,1,250,250,27
353,1,2,221,250,68
354,1,2,72,4,250
355,1,3,198,3,35
356,1,1,0,250,250
357,1,1,250,250,32
358,1,0,250,250,250
359,1,3,2,65,105
360,1,3,0,40,184
361,1,2,131,115,250
362,1,3,113,90,60
363,1,3,67,0,99
364,1,3,0,108,18
365,1,3,0,0,58
366,1,3,49,96,139
367,1,2,0,24,250
368,1,2,78,35,250
369,1,3,175,0,115
370,1,3,39,0,66
371,1,3,22,0,204
372,1,3,0,101,188
373,1,3,94,15,117
374,1,3,37,57,87
375,1,3,1,9,37
376,1,3,40,0,59
378,1,2,0,250,0
379,1,3,0,0,16
380,1,1,0,250,250
381,1,2,97,250,226
382,1,3,99,37,53
383,1,2,0,119,250
384,1,2,1,23,250
386,1,3,5,180,27
387,1,2,0,1,250
388,1,3,18,244,27
389,1,3,0,0,201
390,1,2,0,34,250
391,1,2,0,0,250
392,1,1,19,250,250
393,1,2,33,250,193
394,1,0,250,250,250
395,1,1,250,223,250
396,1,1,94,250,250
397,1,1,0,250,250
398,1,2,28,65,250
399,1,3,64,0,186
