StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,DistributionChannel,UserLanguage,att_check,doc_a,doc_b,nurse_a,nurse_b,firefighter_a,firefighter_b,ceo_a,ceo_b,tax_a,tax_b,author_a,author_b,elderly_a,elderly_b,charity_a,charity_b,age,gender,educationScore,femalesAs1MaleAs0,income,incomeScore,householdIncomeEstimate,participant_id,assignment_id,computer_country
13/02/2019 08:12,13/02/2019 08:14,0,100,129,1,anonymous,EN-GB,1,7,1,4,1,7,1,7,4,4,1,7,7,7,1,7,1,39,male,5,,"$60,000 to $84,999",4,72500,dead9fde,5e7aa88f,United States
13/02/2019 08:11,13/02/2019 08:14,0,100,178,1,anonymous,EN-GB,1,6,3,5,4,6,2,3,3,4,4,3,3,5,4,5,4,47,female,2,,"$60,000 to $84,999",4,72500,84bde707,32d6703d,United States
13/02/2019 08:14,13/02/2019 08:15,0,100,81,1,anonymous,EN-GB,1,7,1,6,1,7,1,7,4,7,2,4,4,7,1,7,3,32,male,2,,"$85,000 to $114,999",5,100000,f96da274,0fcc2874,United States
13/02/2019 08:13,13/02/2019 08:15,0,100,137,1,anonymous,EN-GB,1,7,3,6,3,5,4,5,2,5,4,5,4,6,4,6,4,28,female,3,,"$40,000 to $59,999",3,50000,091ea2e1,57368c11,United States
13/02/2019 08:12,13/02/2019 08:15,0,100,188,1,anonymous,EN-GB,2,7,2,6,2,5,4,5,4,5,3,4,4,4,4,5,4,38,male,6,,"$60,000 to $84,999",4,72500,b304a561,f96f4b6b,United States
13/02/2019 08:15,13/02/2019 08:16,0,100,42,1,anonymous,EN-GB,3,4,3,6,6,5,3,5,3,4,6,3,5,6,3,3,5,26,male,5,,"$40,000 to $59,999",3,50000,2b6bfa27,728a3643,United States
13/02/2019 08:16,13/02/2019 08:17,0,100,83,1,anonymous,EN-GB,1,7,4,7,1,7,1,5,1,5,3,4,3,7,1,7,1,64,female,3,,"$85,000 to $114,999",5,100000,3a69b0de,202ec881,United States
13/02/2019 08:15,13/02/2019 08:20,0,100,278,1,anonymous,EN-GB,1,7,2,4,1,6,4,5,4,2,5,5,4,4,2,5,4,22,male,2,,"$10,000 to $24,999",1,17500,150326b2,45f41a12,United States
13/02/2019 08:18,13/02/2019 08:20,0,100,133,1,anonymous,EN-GB,1,7,1,6,1,7,2,7,4,6,2,6,4,7,2,7,2,27,male,2,,"Less than $9,999",0,5000,db7424c9,c8206e3c,United States
13/02/2019 08:17,13/02/2019 08:20,0,100,205,1,anonymous,EN-GB,1,7,4,5,4,5,4,1,4,6,1,7,4,6,4,6,4,63,female,3,,"$25,000 to $39,999",2,32500,06e97c20,8e9fe75f,United States
13/02/2019 08:21,13/02/2019 08:22,0,100,55,1,anonymous,EN-GB,1,5,4,4,5,4,3,5,3,3,5,5,3,4,3,3,5,38,male,5,,"$40,000 to $59,999",3,50000,94d649f4,256cc5b5,United States
13/02/2019 08:20,13/02/2019 08:22,0,100,152,1,anonymous,EN-GB,1,5,3,6,2,5,3,5,3,5,3,4,4,5,4,5,3,47,female,3,,"$40,000 to $59,999",3,50000,5f95cd29,cee8426b,United States
13/02/2019 08:19,13/02/2019 08:22,0,100,210,1,anonymous,EN-GB,1,7,1,7,3,7,2,7,5,7,2,7,3,7,1,7,3,30,male,5,,"$25,000 to $39,999",2,32500,571319ce,aa940fa4,Philippines
13/02/2019 08:21,13/02/2019 08:23,0,100,91,1,anonymous,EN-GB,2,5,6,6,5,5,5,6,6,4,4,6,6,4,4,5,5,32,male,5,,"$60,000 to $84,999",4,72500,6dc8bdf1,02fc3d19,United States
13/02/2019 08:22,13/02/2019 08:23,0,100,84,1,anonymous,EN-GB,2,6,5,7,3,6,2,5,4,4,2,4,2,5,2,6,1,37,male,4,,"$40,000 to $59,999",3,50000,9dce2fc4,fb41a684,United States
13/02/2019 08:23,13/02/2019 08:23,0,100,46,1,anonymous,EN-GB,2,4,5,4,5,3,5,5,3,5,5,4,6,4,3,3,5,30,male,4,,"$40,000 to $59,999",3,50000,e8e380ab,c6efded6,United States
13/02/2019 08:20,13/02/2019 08:23,0,100,230,1,anonymous,EN-GB,1,6,2,6,2,6,4,5,4,5,3,5,4,5,4,5,3,36,male,2,,"$40,000 to $59,999",3,50000,e0defc9b,399db039,United States
13/02/2019 08:18,13/02/2019 08:24,0,100,346,1,anonymous,EN-GB,1,5,4,5,2,4,4,4,4,4,4,5,4,4,3,4,4,50,male,2,,"$25,000 to $39,999",2,32500,1ba8d295,4201588a,United States
13/02/2019 08:21,13/02/2019 08:24,0,100,153,1,anonymous,EN-GB,1,7,3,7,4,6,4,5,4,4,4,4,2,7,2,7,2,26,female,2,,"$40,000 to $59,999",3,50000,878bb369,7716c132,United States
13/02/2019 08:21,13/02/2019 08:24,0,100,193,1,anonymous,EN-GB,2,6,4,5,3,5,2,4,4,4,4,6,4,6,4,5,4,26,female,2,,"$25,000 to $39,999",2,32500,3.85E+13,9d8d04ef,United States
13/02/2019 08:20,13/02/2019 08:24,0,100,231,1,anonymous,EN-GB,1,7,1,7,1,6,4,7,4,5,1,7,4,4,1,6,4,31,male,5,,"$10,000 to $24,999",1,17500,ff365b9f,f707a7c3,United States
13/02/2019 08:24,13/02/2019 08:25,0,100,57,1,anonymous,EN-GB,1,7,1,7,1,7,2,7,2,1,7,7,3,7,1,7,1,30,male,5,,"$25,000 to $39,999",2,32500,571319ce,aa940fa4,Philippines
13/02/2019 08:22,13/02/2019 08:26,0,100,240,1,anonymous,EN-GB,1,6,1,7,2,7,2,4,4,4,4,5,2,5,4,5,1,54,female,2,,"$25,000 to $39,999",2,32500,5e73535d,910afb7a,United States
13/02/2019 08:23,13/02/2019 08:27,0,100,221,1,anonymous,EN-GB,1,5,1,5,1,5,2,5,4,5,2,5,2,4,4,6,3,34,male,4,,"$10,000 to $24,999",1,17500,748c51aa,37c4a0d1,United States
13/02/2019 08:22,13/02/2019 08:27,0,100,281,1,anonymous,EN-GB,1,6,2,6,1,6,4,6,4,6,2,5,4,5,3,6,3,56,female,5,,"$25,000 to $39,999",2,32500,db8f7fe3,8b6983cd,United States
13/02/2019 08:23,13/02/2019 08:28,0,100,282,1,anonymous,EN-GB,3,4,1,7,1,6,2,5,4,5,4,4,1,3,3,4,4,33,female,5,,"$25,000 to $39,999",2,32500,bb6b4ae6,d3d5b52c,Bulgaria
13/02/2019 08:26,13/02/2019 08:28,0,100,117,1,anonymous,EN-GB,1,7,2,7,4,7,3,5,4,5,3,6,3,6,2,6,3,28,male,3,,"$60,000 to $84,999",4,72500,669bd5e6,2aac0da7,United States
13/02/2019 08:25,13/02/2019 08:28,0,100,181,1,anonymous,EN-GB,1,7,2,6,3,7,4,5,4,5,3,5,2,4,3,5,4,19,male,2,,"$10,000 to $24,999",1,17500,ef1f6d33,678b8343,United States
13/02/2019 08:27,13/02/2019 08:30,0,100,171,1,anonymous,EN-GB,1,6,2,5,2,6,3,2,4,5,2,4,4,5,3,5,4,52,male,4,,"$10,000 to $24,999",1,17500,2ae1c947,931d75db,United States
13/02/2019 08:28,13/02/2019 08:31,0,100,171,1,anonymous,EN-GB,1,7,4,7,4,7,4,4,4,4,4,7,4,7,4,7,4,37,female,2,,"$25,000 to $39,999",2,32500,194a94e6,b7c4309c,United States
13/02/2019 08:29,13/02/2019 08:32,0,100,196,1,anonymous,EN-GB,1,7,3,4,4,6,3,4,4,4,4,4,4,4,2,5,4,23,male,5,,"$25,000 to $39,999",2,32500,30bbbe10,815b5363,United States
13/02/2019 08:29,13/02/2019 08:33,0,100,234,1,anonymous,EN-GB,1,7,4,6,4,6,4,5,4,5,4,6,4,6,4,6,4,43,female,6,,"$85,000 to $114,999",5,100000,c06e827f,64c7378d,United States
13/02/2019 08:30,13/02/2019 08:35,0,100,321,1,anonymous,EN-GB,1,6,3,5,1,4,4,4,4,4,4,5,3,5,4,7,2,47,male,5,,"Less than $9,999",0,5000,b3134d51,b1c205fd,Philippines
13/02/2019 08:34,13/02/2019 08:37,0,100,154,1,anonymous,EN-GB,1,7,1,4,1,5,4,7,4,7,1,5,1,7,3,7,4,56,male,5,,"$25,000 to $39,999",2,32500,6267149d,ca81481b,United States
13/02/2019 08:36,13/02/2019 08:37,0,100,85,1,anonymous,EN-GB,2,5,6,6,7,6,5,6,5,7,6,5,6,6,5,7,6,29,male,6,,"$60,000 to $84,999",4,72500,db84216b,950c7e61,United States
