EndDate,CTS_ID,LS1,LS2,LS3,LS4,LS5,LS6,LS7,LS8,LS9,LS10,LS11,LS12,LS13,LS14,LS15,LS16,LS17,LS18,LS19,LS20
12/14/2019 17:30,CTS001,3,3,2,3,3,2,3,3,2,3,3,2,3,3,4,3,4,3,4,2
12/16/2019 14:44,CTS003,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,2,2,3,4
12/17/2019 13:19,CTS004,4,2,1,1,4,4,2,1,3,4,1,2,1,1,4,4,2,2,4,4
12/18/2019 11:35,CTS005,3,4,4,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,2,2
12/18/2019 18:34,CTS006,3,3,3,4,4,3,3,3,4,2,3,3,3,3,3,3,2,3,3,2
12/20/2019 20:30,CTS008,3,3,1,2,4,4,2,2,4,4,2,1,1,2,4,4,2,2,4,4
12/21/2019 12:02,CTS009,3,3,3,3,4,3,2,2,4,3,3,3,2,3,2,2,3,3,4,3
12/21/2019 13:42,CTS010,3,2,2,2,4,3,2,3,3,3,2,1,3,2,3,3,3,2,3,3
12/22/2019 13:03,CTS012,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,3
12/22/2019 18:47,CTS011,1,4,4,4,1,1,4,3,2,3,4,4,4,4,1,1,3,4,2,2
12/23/2019 12:26,CTS013,3,3,2,3,3,3,2,2,2,3,2,2,2,3,3,3,3,3,3,3
12/26/2019 10:07,CTS015,4,2,1,2,4,3,1,1,4,4,2,1,1,1,4,4,1,1,4,4
12/26/2019 12:55,CTS007,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,3,2,2,4,4
12/26/2019 13:47,CTS014,3,3,3,3,3,3,4,3,3,3,3,4,4,3,2,2,3,4,3,3
12/27/2019 12:58,CTS016,3,4,4,4,4,3,4,2,3,2,4,1,4,4,2,1,3,4,3,2
1/3/2020 12:17,CTS018,3,2,1,3,3,4,2,1,4,3,2,2,2,1,4,4,2,2,4,4
1/4/2020 11:39,CTS019,3,2,2,2,4,3,1,3,3,4,2,1,2,1,4,3,2,2,4,4
1/4/2020 14:34,CTS017,4,3,1,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,4,4
1/4/2020 20:54,CTS020,3,4,3,4,3,3,3,3,4,3,3,3,4,3,1,4,3,3,4,4
1/5/2020 12:34,CTS022,3,4,2,4,3,2,2,3,2,2,3,3,3,4,3,2,3,3,2,2
1/6/2020 18:05,CTS021,2,4,4,4,3,2,3,3,1,3,4,3,3,3,2,3,4,4,3,2
1/12/2020 22:56,CTS023,2,4,3,4,2,2,4,4,3,2,4,4,4,4,3,3,3,4,3,3
2/7/2020 13:35,CTS028,2,3,4,3,2,2,3,3,2,2,3,3,3,3,2,2,4,3,3,2
2/7/2020 16:53,CTS025,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3,3
2/7/2020 18:16,CTS027,3,2,3,2,4,4,3,3,2,3,3,2,3,2,3,3,4,2,3,3
2/8/2020 10:20,CTS024,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
