,Gender,Age,Race,Ideo,PartyID,Religiousity,SES,Residency_1,Residency_2,Income,PS,feeling,voting,eval
288,2,18,4,2,2,2,3,1,24,4,,,,
289,2,19,3,2,2,2,3,1,24,5,1,81,81,81
290,2,19,4,1,1,3,3,1,24,8,2,41,9,25
291,2,20,4,5,5,8,3,1,24,4,3,65,68,665
292,2,18,4,4,4,1,3,1,24,7,1,51,51,51
293,,,,,,,,,,,,,,
294,1,20,4,2,1,8,3,1,24,8,4,8,1,45
295,2,22,4,2,2,2,4,1,24,10,3,80,82,81
296,2,21,"3,4",3,4,1,4,1,24,10,1,91,100,955
297,1,19,4,5,5,7,3,1,24,9,3,37,18,275
298,2,18,4,5,5,6,4,1,24,10,2,81,87,84
299,,,,,,,,,,,,,,
300,2,20,2,1,1,5,3,1,24,7,4,0,0,0
301,2,18,4,6,6,7,4,1,24,10,2,9,0,45
302,2,20,4,2,2,3,3,1,24,3,3,91,75,83
303,1,23,4,6,6,8,4,1,24,9,1,0,0,0
304,2,22,4,5,4,7,3,1,24,6,2,44,40,42
305,2,20,4,2,2,2,3,1,24,9,4,40,18,29
306,2,18,4,2,2,5,2,1,24,3,4,20,10,15
307,2,19,4,6,6,6,5,1,24,10,3,43,27,35
308,2,26,4,2,1,1,2,1,24,1,1,83,90,865
309,2,22,4,2,2,3,3,1,24,6,3,87,65,76
310,2,21,2,4,4,5,2,1,24,3,4,94,39,665
311,1,18,4,6,6,8,4,1,24,10,1,11,1,6
312,,,,,,,,,,,,,,
313,1,19,4,2,2,3,3,1,24,1,2,4,1,25
314,1,20,2,,,,,,,,,,,
315,2,19,4,2,2,7,3,1,24,5,2,61,61,61
316,2,22,4,5,6,7,4,1,24,10,1,40,30,35
317,1,24,2,2,3,7,2,1,24,2,3,100,100,100
318,2,18,"3,4",5,5,3,4,1,24,9,4,76,77,765
319,2,18,"1,4",4,4,5,4,1,24,10,3,91,75,83
320,1,19,4,6,6,3,3,1,24,9,1,0,0,0
321,2,18,4,2,2,3,2,1,24,3,2,14,0,7
322,2,21,4,3,2,8,3,1,24,4,4,1,0,5
323,2,20,4,3,4,1,4,1,24,10,4,30,13,215
324,2,18,1,2,2,6,2,1,24,2,,,,
325,2,21,4,6,5,9,4,1,24,5,3,73,68,705
326,2,20,4,4,3,8,5,1,24,10,2,76,81,785
327,2,21,3,4,2,3,3,1,24,4,1,66,83,745
328,1,19,4,2,2,6,4,1,24,9,3,90,80,85
329,2,20,1,5,5,7,3,1,24,6,1,51,49,50
330,1,20,1,3,3,6,3,1,24,5,4,0,0,0
331,2,20,4,2,3,7,4,1,42,8,2,20,10,15
332,2,20,2,2,2,6,2,1,24,2,3,100,100,100
333,2,21,4,1,2,1,3,1,6,5,2,4,1,25
334,2,19,4,2,2,5,4,1,24,9,4,31,5,18
335,1,21,4,2,1,1,3,1,24,8,1,85,80,825
336,2,20,4,2,2,9,3,1,24,5,2,29,10,195
337,1,19,4,2,2,1,3,1,24,6,1,82,81,815
338,1,20,3,4,4,3,3,1,24,4,3,100,100,100
339,2,18,4,4,5,9,3,1,24,4,4,60,60,60
340,1,21,3,3,4,3,3,1,24,3,3,100,100,100
341,2,19,4,3,4,1,4,1,24,9,2,35,26,305
342,2,20,4,4,4,3,2,1,24,2,1,74,60,67
343,2,18,4,4,4,5,3,1,24,6,4,75,50,625
344,2,18,4,5,5,8,4,1,7,6,1,65,65,65
345,2,18,4,4,4,7,5,1,24,10,2,65,70,675
346,2,20,4,4,4,4,2,1,24,2,3,71,72,715
347,1,20,1,2,2,1,2,1,24,8,4,65,76,705
348,2,18,4,6,6,7,3,1,24,4,4,56,76,66
349,1,26,4,5,5,3,3,1,24,2,3,71,65,68
350,2,21,4,3,5,6,3,1,24,5,4,40,61,505
351,1,18,4,3,3,3,4,1,24,10,1,35,40,375
352,2,25,2,4,4,1,2,1,24,3,2,0,0,0
353,2,20,4,2,2,7,3,1,24,10,2,34,17,255
354,1,18,4,4,4,2,4,1,7,9,1,80,80,80
355,2,18,4,3,3,6,3,1,51,5,3,59,23,41
356,2,20,4,2,1,6,4,1,24,9,4,4,0,2
357,2,18,3,4,2,6,4,1,24,10,3,92,81,865
358,1,18,"1,4",4,4,7,4,1,6,9,4,79,68,735
359,2,18,4,2,2,6,4,1,24,10,2,20,0,10
360,1,19,4,6,7,7,4,1,24,8,1,34,20,27
361,1,19,4,5,5,8,4,1,24,9,1,64,74,69
362,2,19,"2,4",2,2,6,4,1,24,7,3,71,70,705
363,2,21,4,2,1,1,2,1,24,1,4,21,0,105
364,2,18,4,5,3,6,3,1,24,8,2,50,51,505
365,2,21,4,1,1,2,4,1,51,8,1,100,100,100
366,2,21,1,5,3,3,2,1,24,4,2,30,39,345
367,2,20,4,2,2,7,3,1,24,10,3,95,80,875
368,2,21,2,3,2,6,3,1,24,5,4,0,0,0
369,2,20,4,1,1,6,3,1,24,6,2,30,24,27
370,2,23,3,6,6,8,3,1,24,5,4,75,66,705
371,2,23,3,6,6,8,3,1,24,5,1,74,38,56
372,2,19,4,5,5,9,4,1,24,10,3,95,97,96
373,2,18,4,5,5,7,4,1,24,6,1,80,65,725
374,2,21,4,2,2,5,2,1,51,6,3,81,67,74
375,1,18,4,2,2,8,4,1,24,10,2,39,20,295
376,1,19,4,2,2,4,4,1,24,10,4,0,0,0
377,2,19,4,2,2,2,3,1,24,7,4,40,30,35
378,2,18,4,5,5,4,3,1,24,8,1,30,25,275
379,2,17,4,2,2,2,3,1,24,8,3,61,35,48
380,2,18,4,5,5,4,3,1,24,8,2,30,25,275
381,2,18,3,2,2,2,4,1,24,10,2,20,8,14
382,1,18,4,6,6,4,4,1,14,10,3,78,59,685
383,1,24,4,3,2,5,4,1,24,9,1,100,100,100
384,2,21,"3,4",4,2,4,3,1,24,6,4,30,20,25
385,1,20,4,2,2,3,4,1,24,10,1,98,97,975
386,1,19,2,2,2,7,3,1,24,4,2,30,0,15
387,2,18,4,2,2,3,4,1,24,8,4,14,0,7
388,2,20,4,5,5,3,5,1,24,10,3,9,30,195
389,,,,,,,,,,,,,,
390,2,19,4,2,3,2,2,1,24,3,3,75,70,725
391,2,19,4,1,2,1,3,1,24,4,1,100,100,100
392,2,19,4,2,2,1,4,1,24,4,2,81,88,845
393,2,18,4,1,1,1,4,1,24,7,4,1,1,1
394,,,,,,,,,,,,,,
395,1,20,4,6,6,6,5,1,24,10,4,57,61,59
396,2,19,4,2,2,1,3,1,24,3,2,18,23,205
397,2,18,4,5,5,6,3,1,24,6,4,50,51,505
398,2,22,4,3,3,6,2,1,24,4,3,50,54,52
399,1,19,4,6,5,8,4,1,24,10,1,10,20,15
400,2,18,4,5,5,7,4,1,7,7,1,52,46,49
401,2,18,3,2,4,1,3,1,24,5,3,96,99,975
402,2,20,"1,2,4",1,2,3,3,1,24,1,2,0,0,0
403,1,18,4,4,4,2,4,1,7,9,1,80,75,775
404,2,19,4,3,3,5,4,1,24,10,4,35,20,275
405,2,18,3,5,5,7,4,1,26,9,4,60,73,665
406,1,18,4,4,4,5,3,1,24,7,1,50,49,495
407,2,19,4,2,2,1,4,1,24,9,2,29,50,395
408,2,22,4,3,3,6,2,1,24,4,2,61,64,625
409,2,20,4,2,2,6,3,1,24,10,3,92,83,875
410,2,19,1,2,1,4,2,1,24,3,4,0,0,0
411,2,19,4,2,1,2,4,1,24,10,3,100,100,100
412,2,21,"3,4",1,1,2,3,1,24,7,1,100,100,100
413,1,18,4,7,7,8,5,1,24,10,4,100,100,100
414,2,23,4,2,2,1,2,1,24,1,3,75,80,775
415,2,21,4,3,2,3,5,1,24,10,1,70,61,655
416,2,21,2,3,2,6,3,1,24,5,2,25,15,20
417,2,21,4,2,2,1,2,1,24,2,1,97,100,985
418,2,21,1,4,4,7,3,1,24,8,2,30,50,40
419,2,18,4,2,3,6,3,1,51,6,4,23,38,305
420,2,25,4,4,3,6,3,1,24,3,3,75,72,735
421,1,20,4,5,6,4,2,1,51,8,2,54,61,575
422,2,19,4,2,2,2,3,1,24,7,4,61,34,475
423,2,19,4,1,2,2,4,1,24,10,1,85,85,85
424,2,21,4,3,3,8,2,1,24,1,3,81,80,805
425,2,31,4,2,2,7,4,1,24,1,3,91,61,76
426,2,20,4,2,3,3,3,1,24,8,1,100,94,97
427,2,18,4,2,2,1,3,1,24,3,4,30,11,205
428,2,21,4,2,2,1,3,1,24,5,2,55,75,65
429,2,19,3,4,3,1,4,1,24,10,3,70,70,70
430,2,19,4,5,4,7,2,1,24,3,1,56,50,53
431,2,20,1,4,3,9,4,1,31,10,2,60,51,555
432,2,20,4,1,1,3,2,1,24,4,4,5,0,25
433,1,19,4,6,5,3,3,1,24,8,3,69,72,705
434,1,18,4,3,3,3,3,1,24,5,4,40,30,35
435,1,21,6,4,2,6,4,1,24,6,1,61,62,615
436,2,18,"2,4",4,3,6,2,1,24,1,2,44,24,34
437,2,22,4,6,2,9,4,1,24,6,4,90,90,90
438,1,20,4,3,2,2,4,1,24,5,3,96,99,975
439,2,18,2,1,2,3,3,1,24,9,1,94,100,97
440,2,21,1,1,1,6,2,1,24,5,2,9,0,45
441,1,20,3,6,4,3,3,1,24,3,3,51,65,58
442,1,23,3,4,4,9,4,1,14,10,2,36,33,345
443,1,22,4,5,5,8,3,1,24,6,4,60,60,60
444,1,18,4,4,4,5,3,1,24,2,1,47,37,42
445,2,20,"3,4",2,2,1,2,1,24,2,4,3,1,2
446,2,20,"4,6",2,1,7,4,1,24,10,2,15,15,15
447,2,18,"3,4",6,6,3,4,1,24,10,1,25,15,20
448,1,19,4,6,6,4,3,1,51,5,3,61,76,685
449,2,25,4,5,4,6,3,1,24,5,4,85,85,85
450,2,20,4,2,3,1,3,1,24,9,1,74,71,725
451,2,19,4,4,4,9,4,53,,10,3,100,50,75
452,2,19,3,2,1,6,4,1,24,9,4,7,5,6
453,1,18,4,6,6,8,4,1,51,9,2,88,95,915
454,1,19,4,6,6,8,4,1,24,9,2,85,80,825
455,1,20,4,5,5,7,2,1,24,6,1,91,87,89
456,1,19,4,1,1,2,3,1,24,9,3,80,75,775
457,2,22,2,3,3,6,2,1,24,2,4,1,1,1
458,2,19,4,1,1,1,4,1,24,7,1,100,100,100
459,2,20,4,2,2,1,4,1,24,10,3,80,85,825
460,2,20,4,4,5,7,4,1,24,10,2,62,58,60
461,1,18,4,1,1,1,3,1,24,7,1,100,90,95
462,2,19,4,3,3,7,4,1,24,6,3,90,95,925
463,1,18,"1,4",2,2,1,2,1,24,4,4,50,10,30
464,1,19,4,3,3,5,4,1,24,9,1,70,70,70
465,1,1997,3,2,1,6,3,1,24,3,2,16,15,155
