id,endoAtt_1,endoAtt_2,exoAtt_1,exoAtt_2
's01.mat',352.941176470588,529.411764705882,247.058823529412,517.647058823530
's02.mat',100,223.529411764706,100,164.705882352941
's03.mat',294.117647058824,441.176470588235,29.4117647058824,382.352941176471
's04.mat',141.176470588235,505.882352941177,123.529411764706,370.588235294118
's05.mat',311.764705882353,182.352941176471,247.058823529412,135.294117647059
's06.mat',158.823529411765,305.882352941176,176.470588235294,129.411764705882
's07.mat',170.588235294118,164.705882352941,229.411764705882,52.9411764705882
's08.mat',417.647058823529,258.823529411765,347.058823529412,229.411764705882
's10.mat',358.823529411765,382.352941176471,194.117647058824,405.882352941177
's11.mat',376.470588235294,505.882352941177,294.117647058824,423.529411764706
's12.mat',452.941176470588,447.058823529412,417.647058823529,447.058823529412
's13.mat',94.1176470588235,252.941176470588,117.647058823529,282.352941176471
's14.mat',252.941176470588,341.176470588235,194.117647058824,252.941176470588
's15.mat',182.352941176471,52.9411764705882,223.529411764706,100
's17.mat',270.588235294118,394.117647058824,211.764705882353,370.588235294118
's18.mat',117.647058823529,264.705882352941,5.88235294117647,129.411764705882
's20.mat',252.941176470588,441.176470588235,188.235294117647,229.411764705882
's9.mat',188.235294117647,282.352941176471,152.941176470588,270.588235294118
