"Participant_ID","Room","Enjoyment_Prediction_Q1","Enjoyment_Prediction_Q2","Enjoyment_Prediction_Q3","Engagement_Prediction_Q1","Engagement_Prediction_Q2","Engagement_Prediction_Q3","Interest_Prediction_Q1","Interest_Prediction_Q2","Interest_Prediction_Q3","Boredom_Prediction_Q1","Boredom_Prediction_Q2","Boredom_Prediction_Q3","Enjoyment_Experience_Q1","Enjoyment_Experience_Q2","Enjoyment_Experience_Q3","Engagement_Experience_Q1","Engagement_Experience_Q2","Engagement_Experience_Q3","Interest_Experience_Q1","Interest_Experience_Q2","Interest_Experience_Q3","Boredom_Experience_Q1","Boredom_Experience_Q2","Boredom_Experience_Q3","Participate_again","Age","Gender","Ethnicity","Time_Felt1","Time_Felt2","Enjoyment_Prediction_Q2_Reversed","Enjoyment_Experience_Q2_Reversed","Predicted_Enjoyment_Index","Experienced_Enjoyment_Index","Predicted_Engagement_Index","Experienced_Engagement_Index","Predicted_Interest_Index","Experienced_Interest_Index","Predicted_Boredom_Index","Experienced_Boredom_Index","Boredom_Prediction_Q1_Reversed","Boredom_Prediction_Q2_Reversed","Boredom_Prediction_Q3_Reversed","Boredom_Experience_Q1_Reversed","Boredom_Experience_Q2_Reversed","Boredom_Experience_Q3_Reversed","Predicted_Intrinsic_Motivation_Index","Experienced_Intrinsic_Motivation_Index"
"20","A506","7","1","1","4","1","1","7","1","7","1","1","1","7","1","7","1","7","1","7","7","7","1","1","1","7","19","0","1","-1","13","7","7","5","7","2","3","5","7","1","1","7","7","7","7","7","7","4.75","6"
"21","A506","3","5","3","3","2","3","4","3","3","3","4","4","3","3","4","3","3","2","3","4","3","4","4","3","5","18","1","1","-1","15","3","5","3","4","2.666666667","2.666666667","3.333333333","3.333333333","3.666666667","3.666666667","5","4","4","4","4","5","3.333333333","3.583333333"
"22","A506","5","3","4","2","2","2","2","4","2","3","3","3","5","3","4","3","3","2","2","5","2","3","3","2","6","19","0","1","-1","15","5","5","4.666666667","4.666666667","2","2.666666667","2.666666667","3","3","2.666666667","5","5","5","5","5","6","3.583333333","3.916666667"
"23","A506","1","7","1","1","1","1","1","1","1","7","7","7","1","7","1","1","1","1","1","1","1","7","7","7","7","20","1","1","0","20","1","1","1","1","1","1","1","1","7","7","1","1","1","1","1","1","1","1"
"24","A506","1","7","1","1","2","3","2","1","1","7","7","7","2","7","1","1","2","4","1","1","1","7","7","7","6","20","0","1","-1","10","1","1","1","1.333333333","2","2.333333333","1.333333333","1","7","7","1","1","1","1","1","1","1.333333333","1.416666667"
"25","A506","1","5","1","2","1","1","1","1","1","7","7","5","1","5","1","2","4","4","1","1","1","5","5","5","6","21","0","1","-1","15","3","3","1.666666667","1.666666667","1.333333333","3.333333333","1","1","6.333333333","5","1","1","3","3","3","3","1.416666667","2.25"
"26","A506","3","5","3","2","2","5","2","3","3","5","5","5","6","3","5","4","5","5","5","4","4","3","2","3","5","18","1","1","-1","15","3","5","3","5.333333333","3","4.666666667","2.666666667","4.333333333","5","2.666666667","3","3","3","5","6","5","2.916666667","4.916666667"
"27","A506","3","6","3","2","2","2","1","3","2","6","5","5","1","6","2","2","1","2","1","2","1","6","6","5","5","18","0","1","0","15","2","2","2.666666667","1.666666667","2","1.666666667","2","1.333333333","5.333333333","5.666666667","2","3","3","2","2","3","2.333333333","1.75"
"28","A506","1","7","2","5","2","3","1","2","1","6","7","7","3","4","2","4","5","5","2","4","3","6","5","5","7","19","1","1","-1","15","1","4","1.333333333","3","3.333333333","4.666666667","1.333333333","3","6.666666667","5.333333333","2","1","1","2","3","3","1.833333333","3.333333333"
"29","A506","4","5","4","3","3","2","3","3","5","3","3","2","6","2","6","5","5","5","5","5","6","1","1","1","7","19","0","1","-1","10","3","6","3.666666667","6","2.666666667","5","3.666666667","5.333333333","2.666666667","1","5","5","6","7","7","7","3.833333333","5.833333333"
"30","A506","2","7","1","1","1","4","2","1","1","7","7","7","2","3","4","1","1","1","3","2","2","4","4","4","7","19","1","1","-1","10","1","5","1.333333333","3.666666667","2","1","1.333333333","2.333333333","7","4","1","1","1","4","4","4","1.416666667","2.75"
