id,trial,location,image,imagecategory,target_delay,rt_ej,imageduration,rt_detection,target_correct,ej_correct
1,95,3,21,1,714.89,426.8,1387.1,234.74,0,0
1,96,3,11,0,757.57,618.86,1632.51,245.41,0,0
1,97,1,34,1,938.96,437.47,1685.86,298.76,0,0
1,98,1,30,1,565.51,373.45,1291.07,341.44,0,0
1,99,3,13,0,810.92,448.14,1515.14,245.41,0,0
1,100,1,23,1,842.93,373.45,1429.78,202.73,0,0
1,101,0,5,0,714.89,394.79,1440.45,320.1,0,0
1,102,0,16,0,1045.66,373.45,1675.19,245.41,0,0
1,103,0,37,1,618.86,384.12,1248.39,234.74,1,0
1,104,3,37,1,650.87,522.83,1568.49,384.12,0,1
1,105,2,2,0,533.5,554.84,1408.44,309.43,0,0
1,106,2,19,0,928.29,778.91,2005.96,288.09,0,0
1,107,3,39,1,789.58,426.8,1419.11,192.06,0,0
1,108,0,24,1,938.96,480.15,1653.85,224.07,0,0
1,109,0,36,1,661.54,384.12,1333.75,277.42,0,0
1,110,1,36,1,682.88,277.42,1248.39,277.42,0,0
1,111,0,15,0,896.28,544.17,1707.2,256.08,0,0
1,112,3,27,1,672.21,352.11,1280.4,245.41,0,0
1,113,2,24,1,906.95,405.46,1557.82,234.74,0,0
1,114,1,27,1,714.89,405.46,1451.12,320.1,0,0
1,115,2,13,0,650.87,490.82,1429.78,277.42,0,0
1,116,0,9,0,650.87,458.81,1365.76,245.41,0,0
1,117,1,8,0,864.27,522.83,1685.86,288.09,0,0
1,118,0,21,1,544.17,437.47,1248.39,256.08,0,0
1,119,3,14,0,970.97,640.2,1845.91,224.07,0,0
1,120,1,25,1,1045.66,597.52,2027.3,373.45,0,0
1,121,3,38,1,1013.65,373.45,1653.85,256.08,0,0
1,122,2,25,1,650.87,394.79,1312.41,256.08,0,0
1,123,2,17,0,800.25,757.57,1899.26,330.77,0,0
1,124,2,11,0,864.27,736.23,1877.92,266.75,0,0
1,125,0,20,0,906.95,522.83,1760.55,320.1,0,0
1,126,3,18,0,800.25,512.16,1664.52,341.44,0,0
1,127,1,38,1,800.25,458.81,1632.51,362.78,0,0
1,128,0,22,1,960.3,416.13,1653.85,266.75,0,0
1,129,3,25,1,714.89,405.46,1365.76,234.74,0,0
1,130,0,34,1,928.29,373.45,1600.5,288.09,0,0
1,131,2,40,1,1056.33,426.8,1771.22,277.42,0,0
1,132,0,39,1,821.59,437.47,1707.2,437.47,0,0
1,133,0,32,1,1056.33,373.45,1685.86,245.41,0,0
1,134,2,37,1,981.64,298.76,1536.48,245.41,0,0
1,135,3,10,0,746.9,416.13,1440.45,266.75,0,0
1,136,3,12,0,1056.33,458.81,1813.9,288.09,0,0
1,137,0,14,0,629.53,554.84,1429.78,234.74,0,0
1,138,2,32,1,949.63,352.11,1579.16,266.75,0,0
1,139,1,35,1,1045.66,394.79,1792.56,341.44,0,0
1,140,0,6,0,1002.98,437.47,1685.86,234.74,0,0
1,141,1,40,1,576.18,384.12,1387.1,416.13,0,0
1,142,2,27,1,810.92,416.13,1461.79,224.07,0,0
1,143,3,29,1,704.22,405.46,1323.08,202.73,0,0
1,144,2,3,0,576.18,480.15,1355.09,288.09,0,0
1,145,3,6,0,885.61,576.18,1739.21,266.75,0,0
1,146,0,25,1,970.97,352.11,1600.5,266.75,0,0
1,147,2,21,1,768.24,416.13,1419.11,224.07,0,0
1,148,0,38,1,1056.33,384.12,1685.86,234.74,0,0
1,149,3,17,0,821.59,448.14,1504.47,224.07,0,0
1,150,3,19,0,714.89,650.87,1611.17,234.74,0,0
1,151,0,18,0,1056.33,426.8,1728.54,234.74,0,0
1,152,1,24,1,725.56,405.46,1515.14,373.45,0,0
1,153,2,1,0,992.31,426.8,1675.19,245.41,0,0
1,154,0,11,0,725.56,405.46,1408.44,266.75,0,0
1,155,3,33,1,874.94,458.81,1621.84,277.42,0,0
1,156,2,29,1,1056.33,416.13,1717.87,234.74,0,0
1,157,2,35,1,554.84,341.44,1216.38,309.43,0,0
1,158,0,2,0,789.58,416.13,1461.79,245.41,0,0
1,159,0,12,0,736.23,384.12,1365.76,234.74,0,0
1,160,2,14,0,554.84,394.79,1216.38,256.08,0,0
2,1,3,24,1,736.23,1269.73,2902.24,885.61,0,0
2,2,1,40,1,832.26,704.22,2059.31,512.16,0,0
2,3,2,35,1,800.25,1205.71,2678.17,661.54,0,0
2,4,1,31,1,1045.66,992.31,2358.07,309.43,0,0
2,5,3,8,0,736.23,746.9,1835.24,341.44,0,0
2,6,0,7,0,981.64,629.53,1984.62,362.78,0,0
2,7,1,30,1,800.25,576.18,1781.89,394.79,0,0
2,8,2,1,0,1013.65,533.5,1867.25,309.43,0,0
2,9,3,15,0,853.6,714.89,1835.24,256.08,0,0
2,10,0,1,0,970.97,501.49,1781.89,298.76,0,0
2,11,1,32,1,576.18,650.87,1483.13,245.41,0,0
2,12,3,11,0,789.58,768.24,1824.57,256.08,0,0
2,13,0,32,1,842.93,1120.35,2294.05,320.1,0,0
2,14,3,16,0,704.22,554.84,1547.15,277.42,0,0
2,15,0,37,1,640.2,842.93,1941.94,448.14,0,0
2,16,2,21,1,576.18,618.86,1579.16,373.45,0,0
2,17,1,8,0,842.93,480.15,1675.19,341.44,0,0
2,18,3,17,0,810.92,842.93,1920.6,256.08,0,0
2,19,0,39,1,842.93,533.5,1653.85,266.75,0,0
2,20,0,23,1,736.23,778.91,1909.93,384.12,0,0
2,21,3,18,0,885.61,533.5,1707.2,277.42,0,0
2,22,0,33,1,597.52,522.83,1387.1,256.08,0,0
2,23,2,36,1,864.27,554.84,1685.86,256.08,0,0
2,24,3,25,1,778.91,469.48,1568.49,309.43,0,0
2,25,0,19,0,576.18,618.86,1451.12,245.41,0,0
2,26,1,15,0,586.85,448.14,1333.75,288.09,0,0
2,27,2,15,0,981.64,896.28,2144.67,256.08,0,0
2,28,3,40,1,917.62,928.29,2101.99,245.41,0,0
2,29,3,37,1,917.62,832.26,2059.31,298.76,0,0
2,30,1,17,0,618.86,437.47,1344.42,277.42,0,0
2,31,2,22,1,938.96,629.53,1835.24,256.08,0,0
2,32,0,29,1,640.2,704.22,1611.17,256.08,0,0
2,33,0,2,0,864.27,458.81,1557.82,224.07,0,0
2,34,0,31,1,597.52,928.29,2240.7,704.22,0,0
2,35,3,21,1,746.9,1429.78,2422.09,234.74,0,0
2,36,1,22,1,682.88,480.15,1483.13,309.43,0,0
2,37,1,26,1,629.53,490.82,1408.44,277.42,0,0
2,38,0,14,0,544.17,416.13,1568.49,597.52,0,0
2,39,3,36,1,714.89,416.13,1365.76,224.07,0,0
2,40,3,27,1,981.64,608.19,1835.24,234.74,0,0
2,41,2,27,1,981.64,469.48,1739.21,277.42,0,0
2,42,2,33,1,1045.66,1056.33,2496.78,384.12,0,0
2,43,1,36,1,821.59,416.13,1504.47,256.08,0,0
2,44,1,6,0,725.56,725.56,1728.54,266.75,0,0
2,45,2,30,1,576.18,448.14,1301.74,266.75,0,0
2,46,0,24,1,768.24,437.47,1461.79,245.41,0,0
2,47,1,28,1,864.27,1664.52,2944.92,405.46,0,0
2,48,0,26,1,1013.65,501.49,1835.24,309.43,0,0
2,49,3,3,0,533.5,458.81,1269.73,266.75,0,0
2,50,1,13,0,576.18,405.46,1259.06,266.75,0,0
2,51,1,39,1,810.92,448.14,1525.81,256.08,0,0
2,52,2,14,0,1034.99,373.45,1696.53,277.42,0,0
2,53,3,29,1,746.9,608.19,1653.85,288.09,0,0
2,54,1,27,1,597.52,469.48,1365.76,288.09,0,0
2,55,0,9,0,650.87,512.16,1397.77,224.07,0,0
2,56,3,5,0,800.25,896.28,1952.61,245.41,0,0
2,57,3,33,1,1013.65,448.14,1728.54,256.08,0,0
2,58,2,8,0,704.22,426.8,1440.45,298.76,0,0
2,59,3,1,0,853.6,597.52,1717.87,256.08,0,0
2,60,0,25,1,949.63,544.17,1824.57,320.1,0,0
2,61,2,12,0,896.28,394.79,1525.81,224.07,0,0
2,62,2,38,1,928.29,1227.05,2422.09,256.08,0,0
2,63,0,5,0,672.21,373.45,1291.07,234.74,0,0
2,64,2,23,1,896.28,576.18,1749.88,266.75,0,0
2,65,0,15,0,778.91,490.82,1493.8,213.4,0,0
2,66,1,16,0,885.61,405.46,1515.14,213.4,0,0
2,67,1,33,1,800.25,768.24,1813.9,234.74,0,0
2,68,2,16,0,533.5,650.87,1461.79,266.75,0,0
2,69,1,25,1,821.59,885.61,1952.61,234.74,0,0
2,70,3,7,0,949.63,1045.66,2294.05,288.09,0,0
2,71,3,39,1,778.91,1205.71,2315.39,320.1,0,0
2,72,3,38,1,981.64,608.19,1877.92,277.42,0,0
2,73,0,30,1,1056.33,1109.68,2454.1,277.42,0,0
2,74,2,34,1,1002.98,832.26,2123.33,277.42,0,0
2,75,1,19,0,1002.98,576.18,1856.58,266.75,0,0
2,76,0,12,0,874.94,458.81,1579.16,234.74,0,0
2,77,3,12,0,672.21,874.94,1781.89,224.07,0,0
2,78,0,4,0,533.5,501.49,1269.73,224.07,0,0
2,79,2,28,1,704.22,1344.42,2390.08,330.77,0,0
2,80,0,22,1,864.27,522.83,1728.54,330.77,0,0
2,81,0,10,0,1056.33,586.85,1931.27,277.42,0,0
2,82,2,13,0,746.9,426.8,1461.79,277.42,0,0
2,83,2,39,1,842.93,608.19,1739.21,277.42,0,0
2,84,2,31,1,864.27,2262.04,3403.73,266.75,0,0
2,85,3,9,0,586.85,2027.3,2902.24,277.42,0,0
2,86,1,11,0,544.17,394.79,1216.38,266.75,0,0
2,87,0,17,0,917.62,490.82,1621.84,202.73,0,0
2,88,3,28,1,1024.32,800.25,2080.65,245.41,0,0
2,89,3,6,0,1056.33,970.97,2315.39,277.42,0,0
2,90,0,16,0,938.96,1131.02,2411.42,330.77,0,0
2,91,2,9,0,906.95,405.46,1653.85,330.77,0,0
2,92,2,26,1,597.52,1195.04,2080.65,277.42,0,0
2,93,1,37,1,810.92,512.16,1589.83,256.08,0,0
2,94,1,23,1,608.19,1451.12,2336.73,266.75,0,0
2,95,1,38,1,928.29,554.84,1749.88,256.08,0,0
2,96,3,10,0,842.93,437.47,1568.49,277.42,0,0
2,97,2,5,0,682.88,917.62,1867.25,256.08,0,0
2,98,0,27,1,949.63,533.5,1760.55,266.75,0,0
2,99,0,28,1,906.95,821.59,2016.63,277.42,0,0
2,100,3,26,1,682.88,1419.11,2326.06,213.4,0,0
2,101,2,11,0,1034.99,906.95,2240.7,288.09,0,0
2,102,0,6,0,565.51,640.2,1504.47,288.09,0,0
2,103,0,34,1,842.93,533.5,1621.84,234.74,0,0
2,104,2,20,0,906.95,469.48,1589.83,202.73,0,0
2,105,2,19,0,885.61,1088.34,2198.02,213.4,0,0
2,106,1,24,1,896.28,618.86,1856.58,330.77,0,0
2,107,0,36,1,618.86,565.51,1451.12,256.08,0,0
2,108,2,3,0,554.84,480.15,1536.48,490.82,0,0
2,109,0,11,0,586.85,640.2,1515.14,277.42,0,0
2,110,2,37,1,544.17,736.23,1611.17,320.1,0,0
2,111,1,20,0,618.86,405.46,1312.41,277.42,0,0
2,112,2,18,0,629.53,490.82,1451.12,320.1,0,0
2,113,2,29,1,1034.99,661.54,2005.96,298.76,0,0
2,114,1,2,0,789.58,629.53,1760.55,330.77,0,0
2,115,3,32,1,597.52,554.84,1504.47,341.44,0,0
2,116,1,1,0,576.18,650.87,1632.51,394.79,0,0
2,117,2,2,0,746.9,469.48,1547.15,320.1,0,0
2,118,3,34,1,565.51,448.14,1280.4,256.08,0,0
2,119,2,6,0,586.85,544.17,1483.13,341.44,0,0
2,120,3,31,1,640.2,970.97,1899.26,277.42,0,1
2,121,2,25,1,1013.65,1291.07,2699.51,384.12,0,1
2,122,3,19,0,778.91,501.49,1579.16,288.09,0,0
2,123,0,21,1,789.58,469.48,1589.83,320.1,0,0
2,124,1,34,1,992.31,1717.87,2998.27,277.42,0,0
2,125,3,30,1,800.25,480.15,1536.48,245.41,0,0
2,126,0,18,0,789.58,426.8,1515.14,288.09,0,0
2,127,2,7,0,1002.98,906.95,2230.03,309.43,0,0
2,128,0,40,1,704.22,725.56,1835.24,394.79,0,0
2,129,2,17,0,661.54,448.14,1376.43,256.08,0,0
2,130,0,13,0,586.85,1483.13,2432.76,352.11,0,0
2,131,3,2,0,768.24,448.14,1472.46,245.41,0,0
2,132,3,4,0,640.2,480.15,1376.43,245.41,0,0
2,133,1,7,0,661.54,586.85,1504.47,245.41,0,0
2,134,3,23,1,576.18,618.86,1899.26,693.55,0,1
2,135,1,5,0,618.86,394.79,1344.42,320.1,0,0
2,136,3,13,0,960.3,693.55,1941.94,277.42,0,0
2,137,2,40,1,960.3,448.14,1707.2,288.09,0,0
2,138,1,21,1,746.9,448.14,1472.46,266.75,0,0
2,139,0,8,0,1045.66,576.18,1877.92,245.41,0,0
2,140,2,24,1,1002.98,437.47,1803.23,352.11,0,0
2,141,3,14,0,1056.33,757.57,2091.32,266.75,0,0
2,142,1,29,1,853.6,949.63,2059.31,245.41,0,0
2,143,1,3,0,682.88,874.94,1941.94,373.45,0,0
2,144,3,20,0,1034.99,362.78,1643.18,234.74,0,0
2,145,1,12,0,565.51,682.88,1621.84,362.78,0,0
2,146,1,4,0,533.5,384.12,1195.04,266.75,0,0
2,147,1,14,0,586.85,650.87,1515.14,266.75,0,0
2,148,1,35,1,1034.99,501.49,1781.89,234.74,0,0
2,149,2,10,0,917.62,437.47,1600.5,234.74,0,0
2,150,1,10,0,544.17,970.97,1771.22,245.41,0,0
2,151,3,35,1,938.96,458.81,1685.86,277.42,0,0
2,152,2,32,1,896.28,512.16,1653.85,234.74,0,0
2,153,2,4,0,800.25,448.14,1717.87,458.81,0,0
2,154,1,18,0,533.5,533.5,1611.17,533.5,0,0
2,155,0,20,0,554.84,394.79,1248.39,288.09,0,0
2,156,0,35,1,1002.98,405.46,1696.53,277.42,0,0
2,157,1,9,0,533.5,490.82,1653.85,618.86,0,0
2,158,0,3,0,928.29,448.14,1760.55,373.45,0,0
2,159,0,38,1,1067,533.5,1856.58,245.41,0,0
2,160,3,22,1,970.97,608.19,1824.57,234.74,0,0
3,1,1,2,0,565.51,554.84,1536.48,405.46,0,0
3,2,2,22,1,832.26,800.25,2027.3,384.12,0,0
3,3,3,23,1,736.23,736.23,1941.94,458.81,0,0
3,4,1,18,0,810.92,725.56,1899.26,352.11,0,0
3,5,0,34,1,714.89,618.86,1579.16,234.74,0,0
3,6,2,40,1,970.97,501.49,1824.57,341.44,0,0
3,7,3,35,1,821.59,672.21,1835.24,330.77,0,0
3,8,0,36,1,970.97,736.23,2390.08,672.21,0,0
3,9,2,39,1,533.5,565.51,1536.48,426.8,0,0
3,10,2,6,0,565.51,1002.98,1909.93,330.77,0,0
3,11,1,40,1,885.61,597.52,1824.57,330.77,0,0
3,12,2,34,1,725.56,565.51,1675.19,373.45,0,0
3,13,1,12,0,661.54,714.89,1845.91,458.81,0,0
3,14,2,23,1,757.57,693.55,1739.21,277.42,0,0
3,15,0,11,0,757.57,1344.42,2422.09,309.43,0,1
3,16,1,29,1,554.84,490.82,1451.12,394.79,0,0
3,17,2,17,0,1034.99,725.56,2037.97,266.75,0,0
3,18,1,17,0,768.24,1557.82,2710.18,373.45,0,0
3,19,0,19,0,650.87,853.6,2176.68,661.54,0,0
3,20,2,31,1,672.21,874.94,1835.24,277.42,0,0
3,21,2,1,0,533.5,704.22,1557.82,309.43,0,0
3,22,0,13,0,672.21,501.49,1419.11,234.74,0,0
3,23,2,12,0,672.21,522.83,1525.81,320.1,0,0
3,24,0,39,1,842.93,501.49,1621.84,266.75,0,0
3,25,1,23,1,586.85,725.56,1707.2,384.12,0,0
3,26,0,1,0,608.19,842.93,1707.2,245.41,0,0
3,27,3,6,0,757.57,917.62,2219.36,533.5,0,0
3,28,1,1,0,533.5,618.86,1557.82,394.79,0,0
3,29,3,29,1,576.18,490.82,1568.49,490.82,0,0
3,30,0,27,1,1013.65,458.81,1781.89,298.76,0,0
3,31,0,18,0,938.96,1568.49,2891.57,373.45,0,0
3,32,3,2,0,960.3,576.18,1877.92,330.77,0,0
3,33,3,16,0,672.21,554.84,1451.12,213.4,0,0
3,34,1,5,0,1067,426.8,1867.25,362.78,0,0
3,35,3,27,1,874.94,512.16,1728.54,330.77,0,0
3,36,2,36,1,736.23,501.49,1728.54,480.15,0,0
3,37,1,11,0,1013.65,2550.13,3894.55,320.1,0,0
3,38,3,12,0,1034.99,554.84,1931.27,330.77,0,0
3,39,3,11,0,842.93,448.14,1653.85,352.11,0,0
3,40,3,15,0,1034.99,394.79,1792.56,352.11,0,0
3,41,0,4,0,800.25,896.28,2155.34,448.14,0,0
3,42,1,37,1,768.24,586.85,1685.86,320.1,0,0
3,43,2,8,0,949.63,384.12,1685.86,341.44,0,1
3,44,1,7,0,992.31,586.85,1856.58,266.75,0,0
3,45,3,1,0,565.51,522.83,1461.79,362.78,0,1
3,46,2,21,1,757.57,437.47,1515.14,309.43,0,0
3,47,2,14,0,928.29,853.6,2069.98,277.42,0,0
3,48,1,3,0,693.55,1259.06,2251.37,288.09,0,0
3,49,3,34,1,1013.65,480.15,1760.55,256.08,0,0
3,50,0,23,1,746.9,554.84,1579.16,266.75,0,0
3,51,3,40,1,672.21,437.47,1611.17,490.82,0,0
3,52,2,33,1,885.61,330.77,1429.78,202.73,1,0
3,53,3,17,0,736.23,501.49,1568.49,320.1,0,1
3,54,0,21,1,544.17,405.46,1227.05,266.75,0,0
3,55,0,25,1,821.59,416.13,1429.78,181.39,0,0
3,56,3,9,0,949.63,629.53,1845.91,256.08,0,0
3,57,1,10,0,640.2,405.46,1632.51,576.18,0,0
3,58,1,20,0,896.28,640.2,1984.62,437.47,0,0
3,59,2,13,0,1056.33,469.48,1781.89,245.41,0,0
3,60,1,39,1,576.18,853.6,1781.89,341.44,0,0
3,61,0,15,0,1013.65,1749.88,3008.94,234.74,0,1
3,62,3,33,1,917.62,469.48,1728.54,330.77,0,0
3,63,2,10,0,800.25,522.83,1653.85,320.1,0,0
3,64,1,19,0,906.95,522.83,1739.21,298.76,0,0
3,65,2,30,1,981.64,981.64,2230.03,256.08,0,0
3,66,0,8,0,597.52,1141.69,2059.31,309.43,0,1
3,67,3,31,1,981.64,469.48,1728.54,266.75,0,0
3,68,1,35,1,576.18,394.79,1259.06,277.42,0,0
3,69,3,36,1,970.97,341.44,1568.49,245.41,0,0
3,70,1,34,1,597.52,394.79,1259.06,256.08,0,0
3,71,2,27,1,1067,288.09,1728.54,362.78,0,0
3,72,0,28,1,853.6,384.12,1579.16,330.77,0,0
3,73,1,36,1,928.29,437.47,1696.53,320.1,0,0
3,74,3,21,1,544.17,384.12,1269.73,330.77,0,0
3,75,2,18,0,800.25,1344.42,2400.75,245.41,0,1
3,76,2,28,1,629.53,352.11,1344.42,352.11,0,0
3,77,3,30,1,928.29,352.11,1579.16,288.09,0,0
3,78,1,21,1,1002.98,490.82,1781.89,277.42,0,0
3,79,2,15,0,928.29,501.49,1707.2,266.75,0,1
3,80,1,38,1,960.3,597.52,1941.94,373.45,0,0
3,81,0,20,0,800.25,362.78,1995.29,821.59,0,0
3,82,0,30,1,1056.33,2411.42,3979.91,501.49,0,0
3,83,0,40,1,608.19,1195.04,2176.68,362.78,0,0
3,84,2,20,0,928.29,896.28,2144.67,309.43,0,0
3,85,1,27,1,906.95,1131.02,2443.43,394.79,0,0
3,86,1,6,0,778.91,992.31,2187.35,405.46,0,0
3,87,1,28,1,682.88,885.61,1952.61,373.45,0,0
3,88,0,5,0,757.57,896.28,2016.63,352.11,0,0
3,89,0,17,0,885.61,1291.07,2518.12,330.77,0,0
3,90,1,9,0,1056.33,1333.75,2678.17,277.42,0,0
3,91,1,15,0,608.19,1077.67,2635.49,938.96,0,1
3,92,1,32,1,938.96,874.94,2144.67,320.1,0,0
3,93,3,3,0,970.97,938.96,2219.36,298.76,0,1
3,94,0,22,1,1013.65,917.62,2208.69,266.75,0,0
3,95,1,30,1,640.2,736.23,1696.53,309.43,0,0
3,96,2,37,1,554.84,821.59,1696.53,309.43,0,0
3,97,2,29,1,970.97,896.28,2198.02,320.1,0,0
3,98,0,2,0,693.55,2198.02,3286.36,384.12,0,1
3,99,2,24,1,672.21,938.96,1973.95,352.11,0,0
3,100,3,38,1,842.93,1184.37,2336.73,298.76,0,0
3,101,0,10,0,885.61,1973.95,3168.99,298.76,0,0
3,102,0,38,1,704.22,992.31,1995.29,288.09,0,0
3,103,3,37,1,949.63,1856.58,3179.66,362.78,0,0
3,104,1,26,1,693.55,896.28,1920.6,320.1,0,0
3,105,3,13,0,874.94,928.29,2080.65,266.75,0,0
3,106,0,32,1,992.31,768.24,2112.66,341.44,0,0
3,107,2,7,0,746.9,992.31,2037.97,288.09,0,0
3,108,2,3,0,757.57,1344.42,2390.08,277.42,0,0
3,109,1,33,1,640.2,3958.57,4961.55,352.11,0,0
3,110,2,9,0,629.53,1717.87,2624.82,266.75,0,0
3,111,1,13,0,821.59,864.27,1941.94,245.41,0,0
3,112,0,16,0,960.3,885.61,2134,277.42,0,0
3,113,3,4,0,821.59,1280.4,2464.77,352.11,0,0
3,114,1,14,0,906.95,1205.71,2443.43,320.1,0,0
3,115,3,19,0,832.26,1397.77,2507.45,266.75,0,0
3,116,0,7,0,768.24,928.29,1984.62,277.42,0,0
3,117,1,22,1,650.87,970.97,1952.61,320.1,0,0
3,118,2,19,0,928.29,1792.56,3030.28,298.76,0,0
3,119,2,2,0,970.97,1280.4,2560.8,298.76,0,0
3,120,2,16,0,981.64,928.29,2208.69,288.09,0,0
3,121,2,11,0,704.22,1099.01,2134,320.1,0,0
3,122,1,16,0,533.5,1002.98,1888.59,341.44,0,0
3,123,2,35,1,938.96,2368.74,3595.79,277.42,0,0
