PrevGroup,Subject,PrevCode,Match_25,Match_50,Match_75,Mismatch_25,Mismatch_50,Mismatch_75
High,169,2,806,890,1009,1174,1223,1290
High,172,2,862,956.5,984.5,958,770.5,843.5
High,173,2,715.5,831,1053,1521.5,1515.5,1207
High,176,2,1108.5,1291,1224,1404,1758,1346
Low,3,3,1300,1287,1016,1056.5,1102.5,927.5
Low,6,3,883,1170,1068,1085,941,773.5
Low,9,3,1627.5,1766,1684,1405,1326,1019
Low,12,3,1773,1342.5,1342,1193,1345.5,1272
Low,15,3,703,760.5,742,659,683,689
Low,18,3,1232.5,1115,1172,955.5,896,786
Low,21,3,1169,1587.5,1222,964,1252.5,1005
Low,24,3,1236,1331.5,1268,1101.5,1269.5,1179
Low,27,3,1394,1422,1329.5,1241,1277,1180
Low,30,3,1456,1563,1589,1280,1091,926.5
Low,33,3,883,1014,1312,1057,997.5,779
Low,36,3,1009,1050.5,927,891,862,865
Low,39,3,1487.5,1697,1146,1053,1149,1148
Low,42,3,1498,1413,1095,962.5,903,639.5
Low,45,3,1461,1499,1555,1137,1051.5,1006
Low,48,3,950.5,1213,904,949,994,782
Low,51,3,1465,1770,1538,1264.5,1217,1068
Low,54,3,966.5,1240,1258.5,1017.5,1249,1166
Low,57,3,1143,1542,1309,1140.5,1179,911
Low,60,3,1737.5,1569,1445,1232.5,1135,1007
Low,63,3,1461.5,1236,1475,1251.5,1113,1032
Low,66,3,1707,1945.5,1276,1359.5,1309,1012
Low,69,3,1736,1612.5,1571,1357,1295,1293
Low,72,3,1255,1201.5,1182,1027,900.5,801
Low,75,3,2007,1867,2160,1616,1525.5,1194.5
Low,78,3,1188,1524,1209,1225.5,1306,1240
Low,81,3,1006,844,987,906.5,909,798
Low,84,3,951,1664,1787.5,918,1285,1222
Low,87,3,915,1083,1094,934,1051.5,1207
Low,90,3,1031,1184,1109,971,942,832
Low,93,3,945.5,1151.5,1005,797,959.5,1028.5
Low,96,3,933.5,1425,1105,1015.5,1148.5,872.5
Low,99,3,1157,1388,1379.5,1416.5,1407.5,1138.5
Low,102,3,843,1073.5,1172.5,1160.5,1059.5,922
Low,108,3,1156,1670.5,1997,1098,1621.5,1849
Low,111,3,1055,955.5,868,834,775.5,737
Low,114,3,1376.5,1063,1315,947.5,831.5,790
Low,117,3,1080,1014.5,1119,1140,1222,1338.5
Low,120,3,1882.5,1671.5,1501.5,955,848,697
Low,123,3,634.5,784,719,582.5,676,772
Low,126,3,1041,1350,1139,1010,1135,879
Low,129,3,672,741,797,557,700,850
Low,132,3,974.5,1082.5,857.5,826,871.5,692
Low,135,3,1352.5,1901,1301,1058.5,951,761
Low,138,3,1373,1263,820,1026.5,834,650
Low,141,3,1880,1976,1441.5,1310.5,1001,776.5
Low,144,3,1609,1436,1559.5,1566,1468,1400
Low,147,3,1692,1518,1642,1271,1252,1186
Low,150,3,1533,1567,1634,1410,1399.5,1076
Low,153,3,1380,1619.5,1394,1110,943,850
Low,156,3,1833.5,2274,2027,1307,1542,1246
Low,159,3,1477,1606,1890.5,1589.5,1582,1469
Low,165,3,1512,1321,1498,1155.5,1136,955
Low,168,3,2000,1747,1950.5,1318,1243,1053
Low,171,3,964.5,1276.5,914,1080,1155,791
Low,175,3,1373,1769,1450.5,1585,1577.5,1543.5
Low,178,3,1509,1780,1475.5,1313,1221,863.5
