subjID,trialNum,uniqueID,trialType,numInSequence,numCorrect,ITI,Total Trial Duration,Correct Sequence,Response Sequence,Accuracy
100,5,18,color,7,7,1.5,17.9108669,"['Diamond', 'Pentagon', 'Circle', 'Circle', 'Diamond', 'Circle', 'Circle']","['Diamond', 'Pentagon', 'Circle', 'Circle', 'Diamond', 'Circle', 'Circle']",1
100,6,21,color,7,6,1.5,21.0810859,"['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Circle', 'Circle', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Circle', 'Circle', 'Circle', 'Pentagon']",0.857142857
100,7,19,color,7,4,1.5,20.5792013,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Circle', 'Diamond']",0.571428571
100,8,9,color,6,6,1.5,19.5419416,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon', 'Diamond']",1
100,9,6,color,5,3,1.5,17.3688888,"['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Circle']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle']",0.6
100,10,12,color,6,4,1.5,18.45888,"['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Pentagon', 'Pentagon']","['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Pentagon']",0.666666667
100,11,10,color,6,5,1.5,15.8560564,"['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon', 'Circle']","['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon', 'Pentagon']",0.833333333
100,12,16,color,6,6,1.5,16.6724443,"['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Circle', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Circle', 'Circle']",1
100,13,14,color,6,6,1.5,18.267321,"['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond', 'Circle']",1
100,14,13,color,6,4,1.5,15.4906252,"['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Pentagon', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Pentagon']",0.666666667
100,15,5,color,5,5,1.5,14.732053,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle']",1
100,16,7,color,5,5,1.5,14.9228392,"['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Diamond']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Diamond']",1
100,17,24,color,7,6,1.5,19.5584863,"['Circle', 'Pentagon', 'Diamond', 'Circle', 'Diamond', 'Pentagon', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon']",0.857142857
100,18,17,color,7,2,1.5,18.9069814,"['Pentagon', 'Diamond', 'Circle', 'Circle', 'Diamond', 'Diamond', 'Circle']","['Circle', 'Pentagon', 'Diamond', 'Circle', 'Circle', 'Diamond', 'Pentagon']",0.285714286
100,19,15,color,6,3,1.5,15.5986949,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Pentagon']","['Diamond', 'Circle', 'Diamond', 'Diamond', 'Diamond', 'Pentagon']",0.5
100,20,3,color,5,5,1.5,13.2203269,"['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Pentagon']",1
100,21,22,color,7,3,1.5,19.8416755,"['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon', 'Diamond', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Diamond', 'Pentagon', 'Diamond']",0.428571429
100,22,11,color,6,6,1.5,17.2805519,"['Pentagon', 'Diamond', 'Circle', 'Circle', 'Circle', 'Pentagon']","['Pentagon', 'Diamond', 'Circle', 'Circle', 'Circle', 'Pentagon']",1
100,23,20,color,7,4,1.5,18.9600989,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Pentagon', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Diamond', 'Diamond']",0.571428571
100,24,1,color,5,5,1.5,15.1080782,"['Diamond', 'Circle', 'Pentagon', 'Circle', 'Diamond']","['Diamond', 'Circle', 'Pentagon', 'Circle', 'Diamond']",1
101,1,3,color,5,2,1.5,21.3077243,"['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Pentagon']",0.4
101,2,17,color,7,6,1.5,36.7353787,"['Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond']","['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon', 'Pentagon', 'Diamond']",0.857142857
101,3,10,color,6,4,1.5,29.8157908,"['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon']","['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon']",0.666666667
101,4,8,color,5,5,1.5,20.5607039,"['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']","['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']",1
101,5,22,color,7,3,1.5,23.2113754,"['Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle', 'Pentagon', 'Circle']","['Diamond', 'Circle', 'Pentagon', 'Circle', 'Circle', 'Diamond', 'Pentagon']",0.428571429
101,6,1,color,5,5,1.5,16.1309492,"['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Diamond']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Diamond']",1
101,7,23,color,7,5,1.5,20.2946311,"['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Diamond', 'Diamond', 'Diamond']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Diamond', 'Diamond', 'Diamond']",0.714285714
101,8,16,color,6,6,1.5,18.8964596,"['Circle', 'Diamond', 'Pentagon', 'Circle', 'Circle', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Circle', 'Circle', 'Diamond']",1
101,9,6,color,5,5,1.5,16.8758749,"['Diamond', 'Circle', 'Pentagon', 'Circle', 'Circle']","['Diamond', 'Circle', 'Pentagon', 'Circle', 'Circle']",1
101,10,9,color,6,6,1.5,18.708164,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Diamond', 'Circle']","['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Diamond', 'Circle']",1
101,11,14,color,6,6,1.5,19.6746331,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond', 'Pentagon']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond', 'Pentagon']",1
101,12,11,color,6,4,1.5,18.4156561,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Circle', 'Circle', 'Circle']",0.666666667
101,13,20,color,7,7,1.5,22.6797786,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Circle', 'Pentagon']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Circle', 'Pentagon']",1
101,14,18,color,7,6,1.5,21.5652184,"['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Diamond']",0.857142857
101,15,5,color,5,3,1.5,19.423603,"['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond']",0.6
101,16,24,color,7,7,1.5,18.9836193,"['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Diamond', 'Diamond', 'Diamond']","['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Diamond', 'Diamond', 'Diamond']",1
101,17,21,color,7,4,1.5,24.2853626,"['Diamond', 'Pentagon', 'Circle', 'Circle', 'Pentagon', 'Circle', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Pentagon']",0.571428571
101,18,13,color,6,3,1.5,18.5665626,"['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon']","['Circle', 'Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Diamond']",0.5
101,19,2,color,5,5,1.5,15.1158298,"['Circle', 'Diamond', 'Pentagon', 'Circle', 'Circle']","['Circle', 'Diamond', 'Pentagon', 'Circle', 'Circle']",1
101,20,15,color,6,2,1.5,21.6709205,"['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Circle', 'Pentagon']","['Pentagon', 'Diamond', 'Circle', 'Circle', 'Diamond', 'Pentagon']",0.333333333
101,21,19,color,7,4,1.5,22.6207847,"['Diamond', 'Circle', 'Pentagon', 'Circle', 'Pentagon', 'Diamond', 'Pentagon']","['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond', 'Circle', 'Pentagon']",0.571428571
101,22,4,color,5,1,1.5,25.3963682,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Pentagon']",0.2
101,23,12,color,6,4,1.5,22.3649515,"['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Diamond']",0.666666667
101,24,7,color,5,5,1.5,14.8460307,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Pentagon']","['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Pentagon']",1
101,1,23,space,7,4,1.5,31.1544188,"['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Circle', 'Diamond', 'Pentagon']","['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon', 'Circle', 'Pentagon']",0.571428571
101,2,17,space,7,5,1.5,22.9872852,"['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Circle', 'Pentagon', 'Diamond']","['Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Diamond', 'Pentagon', 'Circle']",0.714285714
101,3,13,space,6,6,1.5,16.4378024,"['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Diamond', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Diamond', 'Diamond']",1
101,4,20,space,7,6,1.5,21.6297318,"['Circle', 'Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle', 'Pentagon']","['Circle', 'Diamond', 'Pentagon', 'Circle', 'Circle', 'Diamond', 'Pentagon']",0.857142857
101,5,10,space,6,3,1.5,24.5372093,"['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Pentagon']","['Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon']",0.5
101,6,15,space,6,2,1.5,22.4859853,"['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Circle', 'Pentagon']",0.333333333
101,7,8,space,5,3,1.5,16.080641,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Circle']",0.6
101,8,7,space,5,1,1.5,20.1837174,"['Diamond', 'Circle', 'Pentagon', 'Circle', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Circle']",0.2
101,9,19,space,7,5,1.5,23.6759877,"['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']",0.714285714
101,10,6,space,5,5,1.5,16.3465169,"['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond']",1
101,11,3,space,5,5,1.5,19.6156013,"['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']","['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon']",1
101,12,14,space,6,6,1.5,20.2383501,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Circle', 'Circle']",1
101,13,4,space,5,5,1.5,16.1966699,"['Circle', 'Diamond', 'Pentagon', 'Circle', 'Pentagon']","['Circle', 'Diamond', 'Pentagon', 'Circle', 'Pentagon']",1
101,14,5,space,5,5,1.5,16.199803,"['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Diamond']","['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Diamond']",1
101,15,18,space,7,7,1.5,19.1953039,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Circle', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Circle', 'Circle']",1
101,16,1,space,5,3,1.5,16.7339961,"['Diamond', 'Pentagon', 'Circle', 'Circle', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Circle', 'Circle']",0.6
101,17,12,space,6,4,1.5,18.5884731,"['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Pentagon', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Diamond', 'Diamond']",0.666666667
101,18,2,space,5,5,1.5,14.8410976,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle']",1
101,19,22,space,7,7,1.5,23.3622051,"['Diamond', 'Circle', 'Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon']","['Diamond', 'Circle', 'Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon']",1
101,20,9,space,6,4,1.5,23.5492842,"['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Circle', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Circle', 'Pentagon']",0.666666667
