EndDate,CTS_ID,Sex,Age,Race,Hisp,AQ7,AQ8,IPPA_1m_1,IPPA_1m_2,IPPA_1m_3,IPPA_1m_4,IPPA_1m_5,IPPA_1m_6,IPPA_1m_7,IPPA_1m_8,IPPA_1m_9,IPPA_1m_10,IPPA_1m_11,IPPA_1m_12,IPPA_1m_13,IPPA_1m_14,IPPA_1m_15,IPPA_1m_16,IPPA_1m_17,IPPA_1m_18,IPPA_1m_19,IPPA_1m_20,IPPA_1m_21,IPPA_1m_22,IPPA_1m_23,IPPA_1m_24,IPPA_1m_25,IPPA_2m_1,IPPA_2m_2,IPPA_2m_3,IPPA_2m_4,IPPA_2m_5,IPPA_2m_6,IPPA_2m_7,IPPA_2m_8,IPPA_2m_9,IPPA_2m_10,IPPA_2m_11,IPPA_2m_12,IPPA_2m_13,IPPA_2m_14,IPPA_2m_15,IPPA_2m_16,IPPA_2m_17,IPPA_2m_18,IPPA_2m_19,IPPA_2m_20,IPPA_2m_21,IPPA_2m_22,IPPA_2m_23,IPPA_2m_24,IPPA_2m_25,IPPA_1f_1,IPPA_1f_2,IPPA_1f_3,IPPA_1f_4,IPPA_1f_5,IPPA_1f_6,IPPA_1f_7,IPPA_1f_8,IPPA_1f_9,IPPA_1f_10,IPPA_1f_11,IPPA_1f_12,IPPA_1f_13,IPPA_1f_14,IPPA_1f_15,IPPA_1f_16,IPPA_1f_17,IPPA_1f_18,IPPA_1f_19,IPPA_1f_20,IPPA_1f_21,IPPA_1f_22,IPPA_1f_23,IPPA_1f_24,IPPA_1f_25,IPPA_2f_1,IPPA_2f_2,IPPA_2f_3,IPPA_2f_4,IPPA_2f_5,IPPA_2f_6,IPPA_2f_7,IPPA_2f_8,IPPA_2f_9,IPPA_2f_10,IPPA_2f_11,IPPA_2f_12,IPPA_2f_13,IPPA_2f_14,IPPA_2f_15,IPPA_2f_16,IPPA_2f_17,IPPA_2f_18,IPPA_2f_19,IPPA_2f_20,IPPA_2f_21,IPPA_2f_22,IPPA_2f_23,IPPA_2f_24,IPPA_2f_25,IPPA_peer_1,IPPA_peer_2,IPPA_peer_3,IPPA_peer_4,IPPA_peer_5,IPPA_peer_6,IPPA_peer_7,IPPA_peer_8,IPPA_peer_9,IPPA_peer_10,IPPA_peer_11,IPPA_peer_12,IPPA_peer_13,IPPA_peer_14,IPPA_peer_15,IPPA_peer_16,IPPA_peer_17,IPPA_peer_18,IPPA_peer_19,IPPA_peer_20,IPPA_peer_21,IPPA_peer_22,IPPA_peer_23,IPPA_peer_24,IPPA_peer_25,LS1,LS2,LS3,LS4,LS5,LS6,LS7,LS8,LS9,LS10,LS11,LS12,LS13,LS14,LS15,LS16,LS17,LS18,LS19,LS20
11/22/2019 12:28,CTS011,2,18,"4,6",0,1,3,2,2,3,2,1,1,1,5,4,4,5,2,2,4,1,1,5,4,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,1,5,1,5,5,5,5,1,3,5,1,1,5,4,1,1,1,1,1,1,1,4,4,5,1,1,4,5,5,5,2,2,4,5,4,5,5,5,2,5,5,5,3,2,5,4,2,3,3,3,1,1,3,3,2,2,4,3,3,4,2,3,3,4,3,3
11/22/2019 14:55,CTS012,2,18,4,0,0,2,3,4,2,3,2,2,5,2,4,5,5,4,3,4,2,2,4,1,3,2,3,4,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,3,5,2,4,1,3,2,3,5,5,3,3,5,3,2,4,4,4,4,3,4,4,4,4,3,4,5,2,1,1,5,5,5,1,1,4,1,4,1,5,1,1,1,5,5,2,1,2,4,3,4,2,2,4,4,3,3,4,3,4,4,2,2,3,4,3,3
11/22/2019 18:05,CTS013,1,18,6,0,0,1,5,5,1,4,5,3,4,3,1,2,4,4,5,3,4,3,1,1,4,5,5,5,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,4,4,3,2,2,2,2,5,4,5,4,3,3,1,1,4,4,4,5,2,3,3,5,3,4,4,1,3,3,3,4,3,2,4,4,5,3,3,4,1,3,4,4,3,1,4,4,3,1,2,3,3,3,2,2,2,3,3,2,2,3,3,4,3,3,3,4
11/25/2019 17:46,CTS014,2,18,2,0,0,1,3,4,1,5,4,3,4,4,3,3,4,2,2,2,1,3,3,1,3,2,2,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,1,4,2,5,3,3,2,4,5,4,3,5,3,2,2,1,3,3,3,3,3,2,3,5,5,4,1,1,3,5,5,5,1,2,5,5,5,4,5,5,2,5,5,5,2,2,5,5,3,4,3,4,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
11/25/2019 19:16,CTS015,2,19,4,0,0,1,5,5,1,5,5,1,5,1,1,1,2,5,5,1,5,5,1,1,5,5,5,5,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,5,5,1,5,1,1,1,2,5,5,1,5,5,1,1,5,5,5,5,1,5,5,5,3,5,1,3,4,5,5,5,1,2,5,5,5,5,3,5,1,4,5,5,1,1,5,5,4,3,1,2,3,3,2,1,4,3,2,1,1,1,4,4,1,1,4,4
11/26/2019 16:41,CTS016,2,18,1,0,1,2,4,3,1,3,1,5,1,4,1,1,5,3,2,5,1,1,1,5,1,2,4,4,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,2,5,5,5,5,4,5,5,3,5,1,1,1,1,1,1,1,3,5,1,5,5,5,5,1,3,4,5,5,5,2,5,5,4,4,5,5,5,1,5,5,5,5,4,5,4,3,3,4,4,2,3,4,1,3,3,4,2,4,4,4,2,2,4,2,2
12/3/2019 11:28,CTS017,2,19,4,0,0,1,3,4,1,5,5,1,5,1,1,5,3,3,4,1,4,3,3,3,4,3,4,4,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,4,4,1,5,1,1,2,1,3,5,1,5,5,2,2,5,5,4,4,1,4,5,5,5,5,1,1,5,5,5,2,1,1,5,5,5,5,5,5,1,5,5,5,1,1,5,5,4,1,1,3,2,3,3,2,3,3,3,3,3,1,4,4,3,3,4,4
12/3/2019 16:42,CTS018,2,18,"2,4",0,0,3,3,3,3,5,3,3,5,1,1,5,1,3,4,1,3,5,4,1,3,5,4,5,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,5,2,1,5,1,1,1,1,5,5,3,2,4,1,1,5,5,5,5,1,5,5,4,3,5,1,2,5,2,5,4,3,2,4,4,5,5,3,4,1,5,5,5,1,2,5,3,4,1,2,3,2,4,2,1,4,3,2,2,2,3,3,4,1,3,3,3
12/4/2019 10:35,CTS019,1,18,"2,4",0,0,1,5,5,1,5,4,1,4,1,1,1,2,5,5,2,3,3,1,1,4,5,3,5,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,5,5,2,3,2,2,3,2,4,4,2,3,3,2,2,4,5,4,5,2,4,3,4,3,5,2,3,4,3,5,3,2,1,4,4,5,5,5,5,2,5,5,5,2,1,5,3,4,2,2,2,3,4,2,2,3,3,2,1,3,1,4,4,2,2,4,4
12/4/2019 13:32,CTS020,1,19,4,0,0,3,3,3,1,5,3,3,5,2,2,2,2,3,3,4,5,3,1,1,3,3,4,4,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,4,3,4,2,2,1,1,3,4,5,5,5,3,1,1,2,3,3,5,3,2,2,5,3,5,1,2,5,5,5,5,1,1,4,5,5,5,5,5,2,5,5,5,2,2,5,5,4,3,2,3,4,4,2,3,4,4,3,2,3,1,1,4,3,3,4,4
12/4/2019 19:35,CTS021,2,18,2,0,0,1,3,4,1,3,5,4,3,2,1,3,5,2,5,1,3,4,1,4,2,4,3,4,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,2,4,3,5,3,3,4,5,5,5,5,2,2,1,1,1,3,4,5,4,2,4,4,1,3,5,3,4,3,5,5,4,3,2,3,3,1,1,3,1,4,3,3,5,4,4,3,2,3,3,4,2,2,4,3,2,2,4,3,4,3,2,2,4,3,2,2
12/5/2019 18:09,CTS022,2,19,2,0,0,1,5,5,1,5,4,3,2,5,2,2,5,4,5,3,2,1,1,1,1,3,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,5,4,3,4,4,2,3,5,4,4,3,1,3,1,1,3,4,3,4,3,3,4,3,4,4,1,4,3,2,4,5,4,4,4,3,4,2,3,4,2,4,2,3,2,2,4,2,2,4,3,4,2,2,4,3,2,2,3,3,4,4,2,2,3,4,2,3
12/11/2019 10:19,CTS023,2,19,4,0,0,2,3,4,3,3,2,3,2,2,4,5,5,3,2,2,1,3,5,1,1,2,2,2,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,1,5,1,1,3,5,5,3,3,1,1,1,5,1,1,1,1,1,5,1,1,5,4,2,1,4,1,1,5,3,5,3,2,3,2,1,1,4,5,2,2,2,5,4,2,1,1,4,4,4,1,1,4,4,1,1,4,4,4,4,3,3,4,4,2,2
1/6/2020 11:44,CTS024,2,19,4,0,0,2,5,5,1,5,5,2,3,2,2,1,5,5,5,3,5,4,1,1,4,4,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,2,5,1,5,4,4,5,2,1,5,1,1,3,3,1,2,2,4,5,1,1,2,2,5,3,4,2,2,3,5,5,2,3,3,3,3,3,3,3,2,3,4,4,2,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1/6/2020 16:07,CTS025,2,18,2,0,0,1,4,5,1,4,4,3,3,2,2,2,1,2,2,3,3,3,2,1,3,3,2,5,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,4,4,3,3,2,1,1,1,4,4,3,3,2,1,1,3,4,3,5,3,4,2,3,3,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,4,3,3,3,3,3,3,3,2,3,4,4
1/7/2020 11:00,CTS026,2,18,1,0,0,1,4,5,1,5,5,3,5,4,1,2,2,5,4,3,5,5,1,1,5,4,5,5,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,1,4,5,5,4,3,1,5,5,5,4,4,5,1,4,4,4,3,2,4,4,4,2,2,2,3,3,2,2,3,3,2,2,3,2,3,3,2,2,3,4
1/7/2020 17:45,CTS027,2,18,5,1,1,3,4,5,1,5,4,1,5,1,2,1,2,5,5,2,4,4,1,1,4,4,4,5,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,1,1,4,5,5,2,2,1,4,4,4,4,4,4,1,4,4,4,2,1,4,4,3,2,1,2,3,4,1,2,3,3,2,3,2,2,4,4,2,1,4,4
1/7/2020 19:23,CTS028,2,18,2,0,0,1,4,4,1,4,4,2,4,3,2,2,4,3,3,3,4,4,2,1,4,4,4,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,3,5,2,2,4,5,4,3,1,4,3,2,5,2,2,2,1,2,5,3,2,4,2,4,2,2,4,3,2,3,2,3,4,4,3,4,3,3,1,3,3,3,3,2,4,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,2,2,4,3,2,2
1/9/2020 17:13,CTS029,2,19,4,0,0,1,4,5,1,5,5,5,2,5,4,1,5,2,3,5,2,1,2,2,1,3,3,3,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,4,4,5,1,5,5,5,5,1,1,5,2,1,2,4,2,2,2,3,5,2,1,5,5,5,1,1,5,5,5,5,2,2,5,5,5,5,5,5,1,5,5,5,5,1,5,5,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,2,3,2,3,3
1/9/2020 19:23,CTS030,2,18,2,0,0,1,4,4,1,4,3,3,2,3,3,3,4,4,3,5,1,1,2,2,1,3,2,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,3,3,3,2,2,4,3,3,3,3,1,1,2,2,2,2,3,3,3,3,3,3,5,4,5,1,1,5,5,5,3,1,1,5,5,5,5,5,5,1,5,5,5,3,1,5,5,3,2,1,2,4,3,1,2,3,4,2,2,1,2,3,3,2,2,4,4
1/10/2020 11:39,CTS031,2,18,4,1,1,3,5,5,1,5,5,3,5,2,2,3,4,5,5,3,5,5,1,1,5,5,5,5,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,5,5,4,5,3,3,2,4,5,5,2,5,5,1,1,5,5,5,5,3,5,5,5,5,5,1,1,5,5,5,5,1,1,5,5,5,5,5,5,1,5,5,5,2,1,5,5,4,2,1,1,4,4,1,1,3,3,1,1,1,1,3,3,2,2,3,3
1/13/2020 10:42,CTS032,2,18,2,0,1,2,5,5,1,3,3,4,2,1,1,1,4,3,3,3,4,3,1,1,4,4,3,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,5,3,2,4,2,3,1,3,5,2,2,5,1,1,4,5,1,1,2,2,5,1,2,5,5,5,2,1,5,5,5,5,3,2,5,5,5,5,5,5,1,5,5,5,2,1,5,5,3,1,1,3,4,3,2,1,3,4,1,1,1,2,4,3,3,2,4,4
1/13/2020 13:32,CTS035,2,18,2,0,0,2,4,4,3,4,4,4,3,3,3,3,2,4,4,2,2,2,2,1,2,2,3,4,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,1,4,1,5,3,3,4,4,3,4,1,1,3,3,4,1,1,3,2,1,1,4,3,5,2,2,3,4,5,4,2,2,5,5,5,4,4,5,1,5,5,5,1,1,5,4,3,1,3,3,3,3,3,2,2,3,3,1,2,2,4,3,3,3,3,3
1/13/2020 15:07,CTS033,2,18,6,1,0,2,3,3,2,3,2,4,2,3,3,4,4,2,2,5,2,2,2,2,3,2,2,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,2,4,2,4,5,5,5,1,2,4,1,1,4,3,1,1,1,1,1,1,1,3,2,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,1,2,4,3,2,2,4,3,4,4,3,3,3,3,2,2
1/13/2020 18:12,CTS034,1,19,2,0,0,1,5,5,2,5,5,1,4,1,1,2,2,4,4,1,4,5,1,1,5,5,4,5,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,4,4,2,3,1,1,2,2,4,4,1,4,3,1,2,3,4,4,5,2,3,3,4,4,4,1,2,4,5,5,5,2,2,4,5,4,4,3,4,1,4,4,4,4,1,4,4,3,3,1,3,3,2,1,3,3,3,3,3,3,3,2,3,3,3,4,4
1/16/2020 17:34,CTS036,2,18,6,1,1,3,4,4,1,5,2,3,2,3,2,4,4,4,5,1,2,1,1,2,1,3,3,5,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,5,1,3,2,1,4,1,5,3,5,1,1,1,1,3,1,2,1,5,5,2,1,5,5,5,3,1,5,5,5,3,1,1,5,5,5,5,5,5,1,5,5,5,2,1,5,5,3,3,3,3,4,3,1,3,3,2,3,3,4,2,2,4,3,3,4,4
1/16/2020 19:46,CTS037,2,18,2,0,0,1,5,5,1,5,5,2,3,3,2,3,3,4,4,4,5,3,2,1,5,5,5,5,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,5,3,3,3,3,2,4,4,2,4,5,3,2,3,3,1,2,2,4,5,3,1,5,5,5,1,2,5,5,5,5,1,1,5,5,5,5,5,5,2,5,5,5,2,1,5,5,3,3,2,3,3,3,2,3,4,3,2,3,2,1,4,4,2,3,4,4
1/16/2020 19:48,CTS038,2,18,4,0,0,1,5,5,1,5,2,3,3,3,2,2,3,4,3,3,3,2,2,2,2,5,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,4,4,3,4,3,3,2,3,4,3,3,3,2,2,2,2,4,3,4,3,2,4,3,3,3,3,2,3,2,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1/17/2020 11:29,CTS039,1,19,2,0,1,1,4,4,2,5,3,3,4,2,2,2,3,4,4,5,4,3,2,1,2,4,3,5,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,4,1,1,2,4,3,3,3,2,4,5,2,1,4,2,1,3,3,3,3,3,3,5,5,5,2,1,4,5,5,5,3,2,5,5,5,3,4,4,2,4,4,4,3,1,4,4,3,3,3,3,2,2,2,3,2,2,2,2,3,3,2,2,3,3,4,4
1/17/2020 13:39,CTS040,2,18,5,1,1,3,5,5,1,4,4,2,5,1,1,3,4,4,4,1,3,3,1,2,5,4,4,5,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,5,5,1,5,4,1,1,5,5,5,3,5,2,1,1,5,5,5,5,1,5,5,5,5,5,2,1,4,5,5,5,1,1,5,5,5,5,5,5,1,5,5,5,5,1,5,5,2,3,2,2,3,4,3,2,3,4,2,1,1,1,4,4,2,2,4,4
1/17/2020 15:51,CTS041,2,19,4,0,0,1,4,5,1,5,4,1,3,1,1,2,2,4,5,3,4,4,1,1,4,5,5,5,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,5,5,1,3,1,1,1,1,5,5,1,5,4,1,1,5,5,5,5,2,5,3,5,5,5,1,1,5,2,5,4,1,1,5,5,5,5,5,5,1,5,5,5,5,1,5,5,4,1,1,2,4,3,1,2,4,4,2,1,1,1,4,4,2,1,4,4
1/20/2020 10:30,CTS042,2,18,2,0,0,1,4,5,1,4,4,1,3,2,1,1,4,4,4,2,4,1,1,1,1,2,1,5,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,3,3,1,1,5,2,5,1,1,1,5,1,1,1,4,1,1,1,4,1,1,2,5,3,5,1,1,4,5,5,2,1,1,5,5,5,5,5,5,1,5,5,5,2,1,5,5,3,1,1,1,4,3,2,2,3,3,2,1,1,1,4,2,3,3,4,4
